Title,Note,URL,Tags,Comment
,,,,
Aso,,https://www.google.com/maps/place/Aso/data=!4m2!3m1!1s0x354126736426f53b:0x783b1c8fd3811948,,
Sun Messe Nichinan,,https://www.google.com/maps/place/Sun+Messe+Nichinan/data=!4m2!3m1!1s0x3538da8c9c6079af:0x31e3e67395660879,,
İnciraltı Tavern,,https://www.google.com/maps/place/%C4%B0nciralt%C4%B1+Tavern/data=!4m2!3m1!1s0x14cab7d63c5b3e11:0xc9e69117fdebc289,,
Buuzecedi Restaurant,,https://www.google.com/maps/place/Buuzecedi+Restaurant/data=!4m2!3m1!1s0x14cabba2030dbbc9:0x601f9d3f0c792098,,
Kanaat Lokantası,,https://www.google.com/maps/place/Kanaat+Lokantas%C4%B1/data=!4m2!3m1!1s0x14cab78eac9c9879:0x7268bf9eb8b0a4cb,,
Siirt Şeref Buryan1892,,https://www.google.com/maps/place/Siirt+%C5%9Eeref+Buryan1892/data=!4m2!3m1!1s0x14cab9e43a49239d:0xdfe633f168e01444,,
Yeraltı Mosque,,https://www.google.com/maps/place/Yeralt%C4%B1+Mosque/data=!4m2!3m1!1s0x14cab9c2aa31cadf:0xbbafb0038ddd2071,,
Pera Palace Hotel,,https://www.google.com/maps/place/Pera+Palace+Hotel/data=!4m2!3m1!1s0x14cab9e04e7c644b:0x727bcda761f172c3,,
Pierre Loti Hill,,https://www.google.com/maps/place/Pierre+Loti+Hill/data=!4m2!3m1!1s0x14cab0bceaf1f4b1:0xf92860d18281e574,,
Vedat Tek Evi,,https://www.google.com/maps/place/Vedat+Tek+Evi/data=!4m2!3m1!1s0x14cab75f42fbf5c3:0x5bcd6b5e8acfa494,,
The Museum of the Ancient Orient,,https://www.google.com/maps/place/The+Museum+of+the+Ancient+Orient/data=!4m2!3m1!1s0x14cab9bf48eba281:0x31e33f80b20e3417,,
Topkapi Palace Museum,,https://www.google.com/maps/place/Topkapi+Palace+Museum/data=!4m2!3m1!1s0x14cab9b8afa5f833:0x15aa1943c3015300,,
Serpent Column,,https://www.google.com/maps/place/Serpent+Column/data=!4m2!3m1!1s0x14cab9961977e587:0xb392b815015a2638,,
German Fountain,,https://www.google.com/maps/place/German+Fountain/data=!4m2!3m1!1s0x14cab9bd8fdbe55f:0x334ea51437908a99,,
Miniaturk,,https://www.google.com/maps/place/Miniaturk/data=!4m2!3m1!1s0x14cab0ca49006bf5:0x3189508ccec2d71c,,
Tünel Tramvay,,https://www.google.com/maps/place/T%C3%BCnel+Tramvay/data=!4m2!3m1!1s0x14cab9eec7c99b21:0xd52bea34c44c6638,,
The Museum of Innocence,,https://www.google.com/maps/place/The+Museum+of+Innocence/data=!4m2!3m1!1s0x14cab9df5e035479:0xebff09e3817e54c1,,
Panorama 1453 History Museum,,https://www.google.com/maps/place/Panorama+1453+History+Museum/data=!4m2!3m1!1s0x14cab9c7105a0f71:0x56e3e445f89b58c6,,
Vlora Hanı,,https://www.google.com/maps/place/Vlora+Han%C4%B1/data=!4m2!3m1!1s0x14cab9eab7c9478b:0x603b9abb2b580551,,
Piri Reis Parkı,,https://www.google.com/maps/place/Piri+Reis+Park%C4%B1/data=!4m2!3m1!1s0x14caa50f9f7435c9:0x3531dcfa5753e932,,
Kamondo Stairs,,https://www.google.com/maps/place/Kamondo+Stairs/data=!4m2!3m1!1s0x14cab9eb8a64dfbb:0x8f785a3e73c35f47,,
Obelisk of Theodosius,,https://www.google.com/maps/place/Obelisk+of+Theodosius/data=!4m2!3m1!1s0x14cab997e9f681f3:0xce53203fdb74a68c,,
Sultan Ahmet Tomb,,https://www.google.com/maps/place/Sultan+Ahmet+Tomb/data=!4m2!3m1!1s0x14cab9bd96973fd9:0x515f6a7d1c835a89,,
Kedi Tombili Heykeli,,https://www.google.com/maps/place/Kedi+Tombili+Heykeli/data=!4m2!3m1!1s0x14cab876e76fcf13:0xcc6c4a099dbae9c5,,
Beylerbeyi Palace,,https://www.google.com/maps/place/Beylerbeyi+Palace/data=!4m2!3m1!1s0x14cab7da02210c0f:0xaa4ea6c2e70ee70a,,
Basilica Cistern,,https://www.google.com/maps/place/Basilica+Cistern/data=!4m2!3m1!1s0x14cab9bde0c66ac9:0x60c02fe1ee6d8471,,
Passage of the merchants,,https://www.google.com/maps/place/Passage+of+the+merchants/data=!4m2!3m1!1s0x14a1bd3c6c6d6fd7:0x55945decf975bd0c,,
Holy Church of Hagia Dynamis (Sacred Power),,https://www.google.com/maps/place/Holy+Church+of+Hagia+Dynamis+(Sacred+Power)/data=!4m2!3m1!1s0x14a1bd3db575469f:0x89f79dfb21871df3,,
Dromeas (The Runner),,https://www.google.com/maps/place/Dromeas+(The+Runner)/data=!4m2!3m1!1s0x14a1bd451dbfffff:0xdcd28de940a60fbd,,
Chien Dan Cham Towers,,https://www.google.com/maps/place/Chien+Dan+Cham+Towers/data=!4m2!3m1!1s0x3169dd932aa80289:0x35b596c0164c2642,,
Quảng Phú Cầu,,https://www.google.com/maps/place/Qu%E1%BA%A3ng+Ph%C3%BA+C%E1%BA%A7u/data=!4m2!3m1!1s0x3135b52b8344e1c1:0x9cbf02d8e2aa705b,,
Paradise Cave,,https://www.google.com/maps/place/Paradise+Cave/data=!4m2!3m1!1s0x3138b743627e56ed:0x369b5b3e6824df37,,
Hồ B52,,https://www.google.com/maps/place/H%E1%BB%93+B52/data=!4m2!3m1!1s0x3135ab0a24d4af2b:0x9c4ce010c393fcb7,,
Bún chả Hương Liên,,https://www.google.com/maps/place/B%C3%BAn+ch%E1%BA%A3+H%C6%B0%C6%A1ng+Li%C3%AAn/data=!4m2!3m1!1s0x3135abf2a4ba685d:0x7e67963f30fa90e7,,
Ba Na Hills,,https://www.google.com/maps/place/Ba+Na+Hills/data=!4m2!3m1!1s0x3141f7b5026661c9:0x847bab3e51ad7ea2,,
