Title,Note,URL,Tags,Comment
,,,,
Tropical Nomad Coworking Space,,https://www.google.com/maps/place/Tropical+Nomad+Coworking+Space/data=!4m2!3m1!1s0x2dd245ba7f02febd:0x1634a240b1215319,,
Amed Kunara Guest House,,https://www.google.com/maps/place/Amed+Kunara+Guest+House/data=!4m2!3m1!1s0x2dd20060ea153fe3:0x34778b12cc3b1556,,
Outpost Ubud Penestanan,,https://www.google.com/maps/place/Outpost+Ubud+Penestanan/data=!4m2!3m1!1s0x2dd23d23acd9a90f:0xb446417a11220caa,,
Bali Bustle Coliving Space Bali and Coworking Space Bali,,https://www.google.com/maps/place/Bali+Bustle+Coliving+Space+Bali+and+Coworking+Space+Bali/data=!4m2!3m1!1s0x2dd24779ec4dc6ff:0x730f6865c74b25f5,,
Agung Homestay Canggu,,https://www.google.com/maps/place/Agung+Homestay+Canggu/data=!4m2!3m1!1s0x2dd2387d04e3b875:0xfdf758afa5005807,,
Canvas Escape,,https://www.google.com/maps/place/Canvas+Escape/data=!4m2!3m1!1s0x2dd23de738ca8ba9:0x646dfdc615ed1280,,
U Tube Hotel,,https://www.google.com/maps/place/U+Tube+Hotel/data=!4m2!3m1!1s0x2dd25b2d98e550c9:0x5bf5057baee9df96,,
Outsite Bali - Pererenan,,https://www.google.com/maps/place/Outsite+Bali+-+Pererenan/data=!4m2!3m1!1s0x2dd2386f04a0e369:0x9846f95de88f9dc8,,
Villa Pastis 7,,https://www.google.com/maps/place/Villa+Pastis+7/data=!4m2!3m1!1s0x2dd247e0327bed01:0xa745c0f562ee57fe,,
O'brothers Cafe&Bar,,https://www.google.com/maps/place/O'brothers+Cafe%26Bar/data=!4m2!3m1!1s0x2dd23920b7c8fc23:0xd50837eab966b73a,,
Nirvana breeze villa,,https://www.google.com/maps/place/Nirvana+breeze+villa/data=!4m2!3m1!1s0x2dd239250f30815b:0x4f9476f52c89581,,
Layur Guesthouse,,https://www.google.com/maps/place/Layur+Guesthouse/data=!4m2!3m1!1s0x2dd2479b5877845d:0x554f552fc620d5d8,,
Villa Valle,,https://www.google.com/maps/place/Villa+Valle/data=!4m2!3m1!1s0x2dd239d2f1dd27c9:0xb06b3803060002f4,,
THE BLOCK,,https://www.google.com/maps/place/THE+BLOCK/data=!4m2!3m1!1s0x2dd23957b681b03b:0xc69f80836ae8a482,,
Lost Creator House,,https://www.google.com/maps/place/Lost+Creator+House/data=!4m2!3m1!1s0x2dd2394c53c48f2b:0x3ea7d25128fa9e3,,
Deniswara Villa,,https://www.google.com/maps/place/Deniswara+Villa/data=!4m2!3m1!1s0x2dd2392827e4aa73:0x33b5c3dfa6f464ab,,
Pondok Lulik Seseh Beach,,https://www.google.com/maps/place/Pondok+Lulik+Seseh+Beach/data=!4m2!3m1!1s0x2dd239a199a0a45b:0xe898563fe0e1e50c,,
Villa Babadan,,https://www.google.com/maps/place/Villa+Babadan/data=!4m2!3m1!1s0x2dd239bae5f1bd4b:0x52408c451063fe4d,,
Villa Dasa,,https://www.google.com/maps/place/Villa+Dasa/data=!4m2!3m1!1s0x2dd2393e59e0d459:0x785e2dc2c16fddd1,,
Tribal Bali Coworking Hostel,,https://www.google.com/maps/place/Tribal+Bali+Coworking+Hostel/data=!4m2!3m1!1s0x2dd23932dab28a1f:0x8775acc4a8b7ac20,,
Villa Niki,,https://www.google.com/maps/place/Villa+Niki/data=!4m2!3m1!1s0x2dd23972def6dcaf:0xb97c345b935aa843,,
Villa Yeh Gangga,,https://www.google.com/maps/place/Villa+Yeh+Gangga/data=!4m2!3m1!1s0x2dd23900554993cb:0xbeaa61a8d7c8ba0,,
TheWahyuVilla,,https://www.google.com/maps/place/TheWahyuVilla/data=!4m2!3m1!1s0x2dd25b0076e53a29:0xc1277c26fb880ecf,,
Monstera Villa,,https://www.google.com/maps/place/Monstera+Villa/data=!4m2!3m1!1s0x2dd2471c5860c2a3:0x8ce1d1aa44d2ecbf,,
Villa Selalu,,https://www.google.com/maps/place/Villa+Selalu/data=!4m2!3m1!1s0x2dd2396c34cb37cb:0xd5a448cfe78d8cf0,,
Villa River,,https://www.google.com/maps/place/Villa+River/data=!4m2!3m1!1s0x2dd239bbc9b7d42b:0x2bbf184f6ac9b6b2,,
Casa Doma,,https://www.google.com/maps/place/Casa+Doma/data=!4m2!3m1!1s0x2dd239004bf2899d:0x869a2e1e7d77aa7,,
El Suites Berawa (Canggu),,https://www.google.com/maps/place/El+Suites+Berawa+(Canggu)/data=!4m2!3m1!1s0x2dd247eed7810445:0xd5d6853454383fc,,
CASA SERAYA,,https://www.google.com/maps/place/CASA+SERAYA/data=!4m2!3m1!1s0x2dd239fa156152bd:0xad0afda9294e88b6,,
Villa Manggala,,https://www.google.com/maps/place/Villa+Manggala/data=!4m2!3m1!1s0x2dd24783d45cfe97:0x2a872e2988f11cb1,,
Pondok Canggu Homestay,,https://www.google.com/maps/place/Pondok+Canggu+Homestay/data=!4m2!3m1!1s0x2dd2387c3841a7e7:0xae363c4395874270,,
Om Cemagi Beach Villa,,https://www.google.com/maps/place/Om+Cemagi+Beach+Villa/data=!4m2!3m1!1s0x2dd239002db4552b:0x9e5c8e418d2de11e,,
Baliwood Residence by BREIG,,https://www.google.com/maps/place/Baliwood+Residence+by+BREIG/data=!4m2!3m1!1s0x2dd239cdaf795079:0x5903f6ce1faae166,,
Villa Nadia,,https://www.google.com/maps/place/Villa+Nadia/data=!4m2!3m1!1s0x2dd2399651baeaaf:0x2710b497ca6f6e3d,,
Palazzo Pappagallo by RE|VIVE,,https://www.google.com/maps/place/Palazzo+Pappagallo+by+RE%7CVIVE/data=!4m2!3m1!1s0x2dd2399298bbdf4f:0x5fbd8eebd60522e5,,
Amerta Home,,https://www.google.com/maps/place/Amerta+Home/data=!4m2!3m1!1s0x2dd2396120b42b93:0x248b2a3eb07f4c82,,
Villa Berkat Berawa,,https://www.google.com/maps/place/Villa+Berkat+Berawa/data=!4m2!3m1!1s0x2dd23958837af549:0xade36f4897338167,,
Okamura Bali,,https://www.google.com/maps/place/Okamura+Bali/data=!4m2!3m1!1s0x2dd2474161c9ea4d:0x3ba0648e7b75bad4,,
Casa de WidyAs by AsThree Villa's,,https://www.google.com/maps/place/Casa+de+WidyAs+by+AsThree+Villa's/data=!4m2!3m1!1s0x2dd24700266eaf0b:0x6415594be4cb36db,,
