Title,Note,URL,Tags,Comment
,,,☕️ Cafes,
PEYALA,,https://www.google.com/maps/place/PEYALA/data=!4m2!3m1!1s0x3755c78aff27cf71:0xfd39b7d19c68bdf4,☕️ Cafes,
NORTH END coffee roasters Concord Baksh Tower,,https://www.google.com/maps/place/NORTH+END+coffee+roasters+Concord+Baksh+Tower/data=!4m2!3m1!1s0x3755c7131da09587:0x904d6d19e4f30dd8,☕️ Cafes,
Umai,,https://www.google.com/maps/place/Umai/data=!4m2!3m1!1s0x3755c70867602393:0xd133208685b37b4d,,
Jatra Flagship Chattogram City Centre,,https://www.google.com/maps/place/Jatra+Flagship+Chattogram+City+Centre/data=!4m2!3m1!1s0x30acd95c19dd7125:0x52173a3a361da0f8,,
Sreemangal,,https://www.google.com/maps/place/Sreemangal/data=!4m2!3m1!1s0x37517a7a9ac91745:0x50f827893a88c955,,
Atlantis Dine,,https://www.google.com/maps/place/Atlantis+Dine/data=!4m2!3m1!1s0x30adc9c65635c631:0xefa9d39153183dff,,
Salt Bistro & Cafe,,https://www.google.com/maps/place/Salt+Bistro+%26+Cafe/data=!4m2!3m1!1s0x30adc8655a31efcb:0x5da86c8f26b26ec3,,
Allegro Art Cafe & Gallery,,https://www.google.com/maps/place/Allegro+Art+Cafe+%26+Gallery/data=!4m2!3m1!1s0x30adc9e6e6cb0031:0xc2d96eae9fe08775,☕️ Cafes,
Moveon Coffee,,https://www.google.com/maps/place/Moveon+Coffee/data=!4m2!3m1!1s0x30adc9002f7c2fe9:0x4122cb3b6f8b5f6f,,
Arabika Coffee,,https://www.google.com/maps/place/Arabika+Coffee/data=!4m2!3m1!1s0x30adc700584064a1:0x9b13883e5f28391b,,
Coffee Time Cox's Bazar,,https://www.google.com/maps/place/Coffee+Time+Cox's+Bazar/data=!4m2!3m1!1s0x30adc900397fe8d5:0xa7bcfe5c213406ab,,
Sweetopia Café & Eatery,,https://www.google.com/maps/place/Sweetopia+Caf%C3%A9+%26+Eatery/data=!4m2!3m1!1s0x30adc945b901f02b:0x48f7b20821dce4c8,☕️ Cafes,
Hotel Green Land Bandarban,,https://www.google.com/maps/place/Hotel+Green+Land+Bandarban/data=!4m2!3m1!1s0x30ad6b38cb492611:0xf2bbfa416823b43b,,
Shorisha Bari,,https://www.google.com/maps/place/Shorisha+Bari/data=!4m2!3m1!1s0x30acd93ea7d349bf:0xfd58bd0941b65578,,
Meghla Park Lake,,https://www.google.com/maps/place/Meghla+Park+Lake/data=!4m2!3m1!1s0x30ad6a53ff640449:0x25dc5e2fbb83b4cb,,
Nafakhum Waterfall,,https://www.google.com/maps/place/Nafakhum+Waterfall/data=!4m2!3m1!1s0x30b279bf0e41a0bb:0xdcf8842c72dbe2d9,,
Nilgiri,,https://www.google.com/maps/place/Nilgiri/data=!4m2!3m1!1s0x30ad795b933dcc0d:0xa1c5f3505b15115d,,
Bahaddarhat Bus Stop,,https://www.google.com/maps/place/Bahaddarhat+Bus+Stop/data=!4m2!3m1!1s0x30ad2777ac199221:0xa4a3fb214ecfa7a3,,
Patenga Sea Beach,,https://www.google.com/maps/place/Patenga+Sea+Beach/data=!4m2!3m1!1s0x30acde2c8d9eadf3:0xe8d981f0a04481dd,,
Nisasu sea beach,,https://www.google.com/maps/place/Nisasu+sea+beach/data=!4m2!3m1!1s0x30acd10060002c43:0xbb31156e249bc9dc,,
Faujdarhat,,https://www.google.com/maps/place/Faujdarhat/data=!4m2!3m1!1s0x30acd98ae9633061:0x7fb19033c7a3c849,,
