Title,Note,URL,Tags,Comment
,,,🛌 Where to stay;🤡 Misc;🎏 Things to do;☕️ Cafes;🍲 Where to eat,
The Farmhouse Market and Cafe,,https://www.google.com/maps/place/The+Farmhouse+Market+and+Cafe/data=!4m2!3m1!1s0x8f5c9b0048319b75:0xb1ffac35526512e1,,
The Beach Bar & Grill,,https://www.google.com/maps/place/The+Beach+Bar+%26+Grill/data=!4m2!3m1!1s0x8f5c9ba79690d2bd:0xc022be2f0c01cdd,🍲 Where to eat,
San Pedro Belize Express Water Taxi,,https://www.google.com/maps/place/San+Pedro+Belize+Express+Water+Taxi/data=!4m2!3m1!1s0x8f5c5814da938fcd:0xac10fe075a1f15aa,🤡 Misc,
San Pedro Belize Express Water Taxi LTD,,https://www.google.com/maps/place/San+Pedro+Belize+Express+Water+Taxi+LTD/data=!4m2!3m1!1s0x8f5c9b005df6b60d:0x5d791777bd16d9a4,🤡 Misc,
The Baker,,https://www.google.com/maps/place/The+Baker/data=!4m2!3m1!1s0x8f5c9b0875ae4f39:0x11295967001d819c,☕️ Cafes,
La Divina Providencia Store & Restaurant,,https://www.google.com/maps/place/La+Divina+Providencia+Store+%26+Restaurant/data=!4m2!3m1!1s0x8f5c9b0410b1a5a5:0xf7bf36e6f83b141b,🍲 Where to eat,
South Station,,https://www.google.com/maps/place/South+Station/data=!4m2!3m1!1s0x8f5c9beb0510ebff:0x5866e02769377400,,
Belize Pro Dive Center,,https://www.google.com/maps/place/Belize+Pro+Dive+Center/data=!4m2!3m1!1s0x8f5c9b07ed8bc2d1:0x91e39daaaee47165,🤡 Misc,
Tolacca Smokehouse BBQ,,https://www.google.com/maps/place/Tolacca+Smokehouse+BBQ/data=!4m2!3m1!1s0x8f5e671b130c6d51:0x37f49c45232a969f,🍲 Where to eat,
Purple Pelican Restaurant,,https://www.google.com/maps/place/Purple+Pelican+Restaurant/data=!4m2!3m1!1s0x8f5c9b79e27e0107:0x118bdc1a0294d2ed,🍲 Where to eat,
Palapa Bar and Grill,,https://www.google.com/maps/place/Palapa+Bar+and+Grill/data=!4m2!3m1!1s0x8f5c9bf613164c01:0x54d3e4d87b3f7d0,🍲 Where to eat,
Cool Beans Cafe Restaurant & Bar,,https://www.google.com/maps/place/Cool+Beans+Cafe+Restaurant+%26+Bar/data=!4m2!3m1!1s0x8f5c9bbdf358b5df:0x4e0925187502e4f2,☕️ Cafes,
"Alaia Belize, Autograph Collection",,"https://www.google.com/maps/place/Alaia+Belize,+Autograph+Collection/data=!4m2!3m1!1s0x8f5c9b064cbe3275:0xcb70361e92cb38d0",🛌 Where to stay,
Elvi's Kitchen,,https://www.google.com/maps/place/Elvi's+Kitchen/data=!4m2!3m1!1s0x8f5c9b97a5eda07f:0x3429aa3bb9eceddd,🍲 Where to eat,
Aji Tapa Bar and Restaurant,,https://www.google.com/maps/place/Aji+Tapa+Bar+and+Restaurant/data=!4m2!3m1!1s0x8f5c9c05e1c4cec9:0x340dc25b9559644,🍲 Where to eat,
"17°55'38.1""N 87°57'25.2""W",Boat pickup ,"https://www.google.com/maps/search/17.9272467,-87.9569892",🤡 Misc,
Sandbar Beachfront Hotel & Hostel,,https://www.google.com/maps/place/Sandbar+Beachfront+Hotel+%26+Hostel/data=!4m2!3m1!1s0x8f5c9b96c0ecbc67:0xc056a77a4cc40099,☕️ Cafes,
Marbucks Coffee House | Bed & Breakfast,,https://www.google.com/maps/place/Marbucks+Coffee+House+%7C+Bed+%26+Breakfast/data=!4m2!3m1!1s0x8f5c9bf60972f911:0x92446914b44251ab,☕️ Cafes,
The Mayan at Lina Point,,https://www.google.com/maps/place/The+Mayan+at+Lina+Point/data=!4m2!3m1!1s0x8f5c9bcda02ac54b:0xd4c94ace88a8d835,,
