Title,Note,URL,Tags,Comment
,,,🎏 Things to do,
Phuentsholing,,https://www.google.com/maps/place/Phuentsholing/data=!4m2!3m1!1s0x39e3cb2f8020e499:0x864c9045669d2d1d,🎏 Things to do,
Paro Taktsang,,https://www.google.com/maps/place/Paro+Taktsang/data=!4m2!3m1!1s0x39e175adae4236bb:0x9dae44bcf95400b1,🎏 Things to do,
Bhutan Postal Museum,,https://www.google.com/maps/place/Bhutan+Postal+Museum/data=!4m2!3m1!1s0x39e19416a30cc5cf:0x1261b636ec355adc,🎏 Things to do,
Takin Preserve (National Animal of Bhutan),,https://www.google.com/maps/place/Takin+Preserve+(National+Animal+of+Bhutan)/data=!4m2!3m1!1s0x39e195000ac945ef:0xacbb0ca8a113f0e8,🎏 Things to do,
National Institute for Zorig Chusum,,https://www.google.com/maps/place/National+Institute+for+Zorig+Chusum/data=!4m2!3m1!1s0x39e19423bce31d2d:0xa6550edafceebc05,🎏 Things to do,
Yarn and Yathra House,,https://www.google.com/maps/place/Yarn+and+Yathra+House/data=!4m2!3m1!1s0x39e19567e413f2fd:0x9e9f10d2c112cb6,🎏 Things to do,
Jungshi Handmade Paper Factory,,https://www.google.com/maps/place/Jungshi+Handmade+Paper+Factory/data=!4m2!3m1!1s0x39e1946b5483fb51:0x612c6d98d6609638,🎏 Things to do,
Wangdue Phodrang Dzong དབང་འདུས་ཕོ་བྲང་།,,https://www.google.com/maps/place/Wangdue+Phodrang+Dzong+%E0%BD%91%E0%BD%96%E0%BD%84%E0%BC%8B%E0%BD%A0%E0%BD%91%E0%BD%B4%E0%BD%A6%E0%BC%8B%E0%BD%95%E0%BD%BC%E0%BC%8B%E0%BD%96%E0%BE%B2%E0%BD%84%E0%BC%8B%E0%BC%8D/data=!4m2!3m1!1s0x39e1e68df1d93547:0x9b64816539925686,🎏 Things to do,
Dochula Pass,,https://www.google.com/maps/place/Dochula+Pass/data=!4m2!3m1!1s0x39e1ebba7aa3a55d:0xeacc61d2b03a128e,🎏 Things to do,
Tashichho Dzong,,https://www.google.com/maps/place/Tashichho+Dzong/data=!4m2!3m1!1s0x39e1957ae429707d:0xf6d6e916f04640f4,🎏 Things to do,
Royal Takin Preserve,,https://www.google.com/maps/place/Royal+Takin+Preserve/data=!4m2!3m1!1s0x39e19697767cb05b:0x818ebdbd6ccc5e86,🎏 Things to do,
Buddha Dordenma,,https://www.google.com/maps/place/Buddha+Dordenma/data=!4m2!3m1!1s0x39e1938d61826dff:0x5d3aed462a790537,🎏 Things to do,
Chimi Lhakhang,,https://www.google.com/maps/place/Chimi+Lhakhang/data=!4m2!3m1!1s0x39e1e797f1f54d95:0x5972830a7719526b,🎏 Things to do,
"Black-necked Crane Visitor Centre, Phobjikha",,"https://www.google.com/maps/place/Black-necked+Crane+Visitor+Centre,+Phobjikha/data=!4m2!3m1!1s0x375f43670aa62979:0x47a5570d0bd4479",🎏 Things to do,
Gangtey Nature Trail,,https://www.google.com/maps/place/Gangtey+Nature+Trail/data=!4m2!3m1!1s0x375f43103b77ff91:0x7a9fa45404cfd37d,🎏 Things to do,
Gangtey Monastery,,https://www.google.com/maps/place/Gangtey+Monastery/data=!4m2!3m1!1s0x375f433e98bf44bd:0xcce8a1bf915774f3,,
Phobjikha Valley,,https://www.google.com/maps/place/Phobjikha+Valley/data=!4m2!3m1!1s0x375edc65eaf0b68b:0x2e636a964a63d70a,🎏 Things to do,
