Title,Note,URL,Tags,Comment
,,,,
Atix Hotel,,https://www.google.com/maps/place/Atix+Hotel/data=!4m2!3m1!1s0x915f213aafa55215:0xc001cccb40b69682,,
Hotel Palacio de Sal,,https://www.google.com/maps/place/Hotel+Palacio+de+Sal/data=!4m2!3m1!1s0x959f819ed0aafbbb:0x2ebd9941566daa98,,
Creative Women Accomodation,,https://www.google.com/maps/place/Creative+Women+Accomodation/data=!4m2!3m1!1s0x915f2064a2c1afe1:0x80372fe3c140b259,,
Cafe Typica,,https://www.google.com/maps/place/Cafe+Typica/data=!4m2!3m1!1s0x915f206188d2e3d1:0xa3ce4d4662df2722,,
Biofilia Café,,https://www.google.com/maps/place/Biofilia+Caf%C3%A9/data=!4m2!3m1!1s0x915f21a766ce2345:0xe44a1bca2d30b4c3,,
Roaster Specialty Coffee,,https://www.google.com/maps/place/Roaster+Specialty+Coffee/data=!4m2!3m1!1s0x915f2130815cf4bd:0x1a00ecbbe95060e5,,
Manq'a Restaurante,,https://www.google.com/maps/place/Manq'a+Restaurante/data=!4m2!3m1!1s0x915f21c4cdfa0df7:0x15d2bfa733a5b7b9,,
LAVAZUL CENTRAL,,https://www.google.com/maps/place/LAVAZUL+CENTRAL/data=!4m2!3m1!1s0x915f21ffd0aded33:0xe8fc828a5b9e2fdb,,
Nina Brasas con Altura,,https://www.google.com/maps/place/Nina+Brasas+con+Altura/data=!4m2!3m1!1s0x915f21165c137335:0x2563275b537ab035,,
AMTA CAFÉ CULTURAL,,https://www.google.com/maps/place/AMTA+CAF%C3%89+CULTURAL/data=!4m2!3m1!1s0x915edf0ecbd476cb:0xb230e54fa28ea3e5,,
Ichuri Coffee - Restaurant,,https://www.google.com/maps/place/Ichuri+Coffee+-+Restaurant/data=!4m2!3m1!1s0x915f2073f0a81ca1:0xd06e1389c3fa1902,,
Vinapho San Miguel,,https://www.google.com/maps/place/Vinapho+San+Miguel/data=!4m2!3m1!1s0x915f21cbe1f713ab:0x9ead82f0fae9b6c,,
Gustu,,https://www.google.com/maps/place/Gustu/data=!4m2!3m1!1s0x915f212faaadc201:0xef7687296684686b,,
Terminal de Buses La Paz,,https://www.google.com/maps/place/Terminal+de+Buses+La+Paz/data=!4m2!3m1!1s0x915f200a454f708b:0x4bce1c2a20759b6,,
The Carrot Tree Centro,,https://www.google.com/maps/place/The+Carrot+Tree+Centro/data=!4m2!3m1!1s0x915f20743f7e268b:0x5f84cd05247d9b64,,
Hb Bronze Coffeebar,,https://www.google.com/maps/place/Hb+Bronze+Coffeebar/data=!4m2!3m1!1s0x915f206e2278a201:0x53177d5745cfbd1c,,
Café del Mundo,,https://www.google.com/maps/place/Caf%C3%A9+del+Mundo/data=!4m2!3m1!1s0x915f20769f245e65:0x6577b82373449d0,,
Mirador de carretera de la muerte,,https://www.google.com/maps/place/Mirador+de+carretera+de+la+muerte/data=!4m2!3m1!1s0x915f13e6c84a7cbb:0x7573821523b413b9,,
Ch'iyar Quta,,https://www.google.com/maps/place/Ch'iyar+Quta/data=!4m2!3m1!1s0x915ef94bd0454963:0x477d18d1defdd40c,,
Huayna Potosí,,https://www.google.com/maps/place/Huayna+Potos%C3%AD/data=!4m2!3m1!1s0x915efd64fda136ef:0x87e81b46234db18c,,
Cascadas de Hampaturi,,https://www.google.com/maps/place/Cascadas+de+Hampaturi/data=!4m2!3m1!1s0x915f1944b68e4721:0x4fd28703ebbc30cd,,
Chualluma,,https://www.google.com/maps/place/Chualluma/data=!4m2!3m1!1s0x91675c038cfc13af:0x25cb971c3aa33c4b,,
Mirador Killi Killi,,https://www.google.com/maps/place/Mirador+Killi+Killi/data=!4m2!3m1!1s0x915f206c399293b5:0xeeccaa41dc4e12f0,,
VALLE DE LAS AGUJAS7,,https://www.google.com/maps/place/VALLE+DE+LAS+AGUJAS7/data=!4m2!3m1!1s0x915f23cea77e1d41:0xc5dbff792c8ebe62,,
Jinchumuruni hidden lagoon,,https://www.google.com/maps/place/Jinchumuruni+hidden+lagoon/data=!4m2!3m1!1s0x915f11a66ec2fd55:0xbac85a384034cefd,,
The Witches Market,,https://www.google.com/maps/place/The+Witches+Market/data=!4m2!3m1!1s0x915f207439731737:0xaf07a47c5afb510d,,
Serranías del Valle De Las Animas,,https://www.google.com/maps/place/Serran%C3%ADas+del+Valle+De+Las+Animas/data=!4m2!3m1!1s0x915f2479d06405b9:0x4b8c0b617dd50184,,
Salvador Dalí Desert,,https://www.google.com/maps/place/Salvador+Dal%C3%AD+Desert/data=!4m2!3m1!1s0x96a9f3e2cb13949d:0x1ad4ac00c6136fe2,,
Laguna Colorada,,https://www.google.com/maps/place/Laguna+Colorada/data=!4m2!3m1!1s0x96aa3fc6825f40a1:0xddd3172cd23ada87,,
Camino de la muerte,,https://www.google.com/maps/place/Camino+de+la+muerte/data=!4m2!3m1!1s0x915f132ede207b9d:0x6317e49af0797800,,
Cholitas Wrestling,,https://www.google.com/maps/place/Cholitas+Wrestling/data=!4m2!3m1!1s0x915edf9ef816aa07:0xa37771021bcd72c5,,
