Title,Note,URL,Tags,Comment
,,,🍜 Eats;🎏 Things to do;☕️ Cafes,
"Subbstation Restaurant, Bandar Branch",,"https://www.google.com/maps/place/Subbstation+Restaurant,+Bandar+Branch/data=!4m2!3m1!1s0x32228b5a6522c3c9:0x6d60c35dcc6efec4",🍜 Eats,
Kafe & Sajian Syazwan Cafe,,https://www.google.com/maps/place/Kafe+%26+Sajian+Syazwan+Cafe/data=!4m2!3m1!1s0x32228ad17e425577:0x24067b4f672e4e09,🍜 Eats,
Cawan Cafe Brunei,,https://www.google.com/maps/place/Cawan+Cafe+Brunei/data=!4m2!3m1!1s0x32228b000bb17da9:0x9acfe4bb9166c7d6,☕️ Cafes,
Istana Nurul Iman,,https://www.google.com/maps/place/Istana+Nurul+Iman/data=!4m2!3m1!1s0x32228a96c165725d:0xbbb90a2b1fec4256,🎏 Things to do,
Caffe Verve,,https://www.google.com/maps/place/Caffe+Verve/data=!4m2!3m1!1s0x3222f567c79994c1:0x3722aabd2464e5cd,☕️ Cafes,
Jame' Asr Hassanil Bolkiah Mosque,,https://www.google.com/maps/place/Jame'+Asr+Hassanil+Bolkiah+Mosque/data=!4m2!3m1!1s0x3222f54c0a5dca8b:0x5e0b381976a72fcc,🎏 Things to do,
Aminah Arif Restaurant,,https://www.google.com/maps/place/Aminah+Arif+Restaurant/data=!4m2!3m1!1s0x3222f56645a1392f:0x68f39425dceb086b,🍜 Eats,
Batches Coffee,,https://www.google.com/maps/place/Batches+Coffee/data=!4m2!3m1!1s0x32228b3d31263755:0x382eb32a0b342e98,☕️ Cafes,
Omar Ali Saifuddien Mosque,,https://www.google.com/maps/place/Omar+Ali+Saifuddien+Mosque/data=!4m2!3m1!1s0x32228acdf2e1c185:0x2f44da106aa49f0d,🎏 Things to do,
Salt:ed Café,,https://www.google.com/maps/place/Salt:ed+Caf%C3%A9/data=!4m2!3m1!1s0x32228b00530bf985:0x20c46200fa01a24b,☕️ Cafes,
Abdul Razak Hotel Apartment,,https://www.google.com/maps/place/Abdul+Razak+Hotel+Apartment/data=!4m2!3m1!1s0x32228ac88c460847:0x1ebd3321ebbe29bd,,
