Title,Note,URL,Tags,Comment
,,,,
El Cimarrón,,https://www.google.com/maps/place/El+Cimarr%C3%B3n/data=!4m2!3m1!1s0x858ce5043c62827d:0x18086e6bf6f2dd58,,
Dirección General de los Registros Públicos,,https://www.google.com/maps/place/Direcci%C3%B3n+General+de+los+Registros+P%C3%BAblicos/data=!4m2!3m1!1s0x945da8dd263a9dc3:0xde9a58bbf730083a,,
Juzgado de Paz de la Encarnación,,https://www.google.com/maps/place/Juzgado+de+Paz+de+la+Encarnaci%C3%B3n/data=!4m2!3m1!1s0x945d09bf7622a12d:0xb3a469d22547caff,,
Direccion de Recaudacion y Oficinas Regionales,,https://www.google.com/maps/place/Direccion+de+Recaudacion+y+Oficinas+Regionales/data=!4m2!3m1!1s0x945da7edfcc3a041:0xd0688f6450d02c45,,
Passaporte Foz do Iguaçu,,https://www.google.com/maps/place/Passaporte+Foz+do+Igua%C3%A7u/data=!4m2!3m1!1s0x94f6911c4a40089d:0x400fc330ca052445,,
SET - Dirección General de Grandes Contribuyentes,,https://www.google.com/maps/place/SET+-+Direcci%C3%B3n+General+de+Grandes+Contribuyentes/data=!4m2!3m1!1s0x945da7f1093386dd:0x9c1a187f4a1b9e38,,
Migration Board,,https://www.google.com/maps/place/Migration+Board/data=!4m2!3m1!1s0x945da7ee6b85b26b:0x9537096923ded1e7,,
Justice Palace - Supreme Court of Justice,,https://www.google.com/maps/place/Justice+Palace+-+Supreme+Court+of+Justice/data=!4m2!3m1!1s0x945d0819e0b92dd1:0x38c62693abe943f7,,
Foto Carnet,,https://www.google.com/maps/place/Foto+Carnet/data=!4m2!3m1!1s0x945da7be87adf7a7:0x9f981fc29fb5f794,,
Comandancia de la Policía Nacional,,https://www.google.com/maps/place/Comandancia+de+la+Polic%C3%ADa+Nacional/data=!4m2!3m1!1s0x945da7f25dd7cef1:0xa2c3793730312878,,
"Dirección de Legalizaciones - Ministerio de Relaciones Exteriores de 
Paraguay",,https://www.google.com/maps/place/Direcci%C3%B3n+de+Legalizaciones+-+Ministerio+de+Relaciones+Exteriores+de+%0AParaguay/data=!4m2!3m1!1s0x945da7f3fd78b0ad:0xdf7fe859d2c58c11,,
"Dpto.Personal Policía Nacional, Paraguay",,"https://www.google.com/maps/place/Dpto.Personal+Polic%C3%ADa+Nacional,+Paraguay/data=!4m2!3m1!1s0x945da88c38f1e6ef:0xcc836f93e7878311",,
Dpto. de Investigacion de Delitos de la Policía Nacional,,https://www.google.com/maps/place/Dpto.+de+Investigacion+de+Delitos+de+la+Polic%C3%ADa+Nacional/data=!4m2!3m1!1s0x945da7e5c299dddd:0xdf8aacbaf38f9c33,,
"ANDE "" Oficina De Cobranzas""",,https://www.google.com/maps/place/ANDE+%22+Oficina+De+Cobranzas%22/data=!4m2!3m1!1s0x945da7f41607bf09:0x935b535c4eef07c9,,
Escribanía Miret,,https://www.google.com/maps/place/Escriban%C3%ADa+Miret/data=!4m2!3m1!1s0x945da774c2b3a4ed:0xa34c7e548d8b9080,,
Foto Prado Laboratorio Fotográfico,,https://www.google.com/maps/place/Foto+Prado+Laboratorio+Fotogr%C3%A1fico/data=!4m2!3m1!1s0x945da7e5d26bb9d5:0xc8e2c3d662a3687a,,
centro de salud,,https://www.google.com/maps/place/centro+de+salud/data=!4m2!3m1!1s0x945da7df8942cb55:0x3d177e4dc3c95d48,,
Meyer Lab,,https://www.google.com/maps/place/Meyer+Lab/data=!4m2!3m1!1s0x945da7de68b85c31:0x5419d7d4d195953d,,
The 3rd police station. Metropolitana,,https://www.google.com/maps/place/The+3rd+police+station.+Metropolitana/data=!4m2!3m1!1s0x945da7f741e39c6f:0xe805e07e58d48090,,
Ministry of Public Health and Social Welfare,,https://www.google.com/maps/place/Ministry+of+Public+Health+and+Social+Welfare/data=!4m2!3m1!1s0x945da7e1543f2d55:0x522baf8a646015f7,,
Interpol,,https://www.google.com/maps/place/Interpol/data=!4m2!3m1!1s0x945d082219f8007b:0x51f1ada8fc7614c0,,
Foreign Ministry DGAE,,https://www.google.com/maps/place/Foreign+Ministry+DGAE/data=!4m2!3m1!1s0x945da7f4605ac757:0x116c609e179c94,,
Department of Identifications,,https://www.google.com/maps/place/Department+of+Identifications/data=!4m2!3m1!1s0x945da8b83e577fdb:0xb6555f085f225fe1,,
Hospital Universitario Ntra. Ms. Asuncion,,https://www.google.com/maps/place/Hospital+Universitario+Ntra.+Ms.+Asuncion/data=!4m2!3m1!1s0x945da8b021f27f89:0x50ab62688934ff87,,
