Title,Note,URL,Tags,Comment
,,,,
Selina Pucón,,https://www.google.com/maps/place/Selina+Puc%C3%B3n/data=!4m2!3m1!1s0x96147f06531cec9b:0xc3648a0acfa1562d,,
Montaña Mágica Lodge,,https://www.google.com/maps/place/Monta%C3%B1a+M%C3%A1gica+Lodge/data=!4m2!3m1!1s0x9611550f701fab4b:0x46ce8a0d00a315e,,
Terminal de Buses San Pedro de Atacama,,https://www.google.com/maps/place/Terminal+de+Buses+San+Pedro+de+Atacama/data=!4m2!3m1!1s0x96a974ff051501b3:0x872ecffad0ba7dfc,,
Entrada Observatorio ALMA,,https://www.google.com/maps/place/Entrada+Observatorio+ALMA/data=!4m2!3m1!1s0x96a9a73863a2b567:0xb8744845f150552c,,
Piedras Rojas Hostal,,https://www.google.com/maps/place/Piedras+Rojas+Hostal/data=!4m2!3m1!1s0x96a974ff7907e2ff:0x982206f4f3e80110,,
Hotel Tambo Norte,,https://www.google.com/maps/place/Hotel+Tambo+Norte/data=!4m2!3m1!1s0x96a9745587d9b195:0x3454c77eb2ed1755,,
Hostal Sumaj,,https://www.google.com/maps/place/Hostal+Sumaj/data=!4m2!3m1!1s0x96a974f40a084451:0x80108cdfb4e003d3,,
Chaxa,,https://www.google.com/maps/place/Chaxa/data=!4m2!3m1!1s0x96a974fe422c369d:0x400ce38dbef1343,,
Hostal Nuevo Amanecer,,https://www.google.com/maps/place/Hostal+Nuevo+Amanecer/data=!4m2!3m1!1s0x96a9745581e8d4df:0x9db8a6d59a9fcd01,,
Vicuña Lodge,,https://www.google.com/maps/place/Vicu%C3%B1a+Lodge/data=!4m2!3m1!1s0x96a974ff212b3ffd:0xadce4ecabff7e931,,
Parque Nacional Queulat,,https://www.google.com/maps/place/Parque+Nacional+Queulat/data=!4m2!3m1!1s0xbdf4f427965f4ed1:0xb5c539358cb56c14,,
Fitz Roy,,https://www.google.com/maps/place/Fitz+Roy/data=!4m2!3m1!1s0xbdbd1a8b7e17beed:0xe1862b88429e5d,,
Puerto Natales,,https://www.google.com/maps/place/Puerto+Natales/data=!4m2!3m1!1s0xbdafe7e2d70d725b:0x8fc7c55d2a5eba9f,,
Marble Caves,,https://www.google.com/maps/place/Marble+Caves/data=!4m2!3m1!1s0xbd925614d5d5ff29:0xf457f3a4bfd0b78b,,
Tulor,,https://www.google.com/maps/place/Tulor/data=!4m2!3m1!1s0x96a90cabb9ade497:0xfa19a3b73143cb54,,
Piedras Rojas,,https://www.google.com/maps/place/Piedras+Rojas/data=!4m2!3m1!1s0x96a80bb34e78af23:0xbcc27bc16d39c5a7,,
Túnel de Catarpe,,https://www.google.com/maps/place/T%C3%BAnel+de+Catarpe/data=!4m2!3m1!1s0x96a9770059c560a7:0x68379abcf27aebd6,,
Devil's Throat,,https://www.google.com/maps/place/Devil's+Throat/data=!4m2!3m1!1s0x96a9769f5503f07d:0x5438fa2d5ebae766,,
Ediciones del Desierto - Librería del Desierto,,https://www.google.com/maps/place/Ediciones+del+Desierto+-+Librer%C3%ADa+del+Desierto/data=!4m2!3m1!1s0x96a9752e23272b29:0x20abc10eb6b7dd56,,
Reserva de Coservación Puritama,,https://www.google.com/maps/place/Reserva+de+Coservaci%C3%B3n+Puritama/data=!4m2!3m1!1s0x96a98483396e9473:0x2f4b6470944601ad,,
Cotahuasi Canyon,,https://www.google.com/maps/place/Cotahuasi+Canyon/data=!4m2!3m1!1s0x916ae36680b87ce5:0x4d6f997b2eeaa0f8,,
Torres de Paine,,https://www.google.com/maps/place/Torres+de+Paine/data=!4m2!3m1!1s0xbda537c267b7b999:0x7e8b6d8326aad37b,,
Punta Arenas,,https://www.google.com/maps/place/Punta+Arenas/data=!4m2!3m1!1s0xbc52ca58b309cc21:0xfa616a8b65456916,,
San Pedro de Atacama,,https://www.google.com/maps/place/San+Pedro+de+Atacama/data=!4m2!3m1!1s0x96a84c7aa92abf3f:0x7af4614cacf997d1,,
Very Large Telescope,,https://www.google.com/maps/place/Very+Large+Telescope/data=!4m2!3m1!1s0x96a54b61d20df8a7:0xffc2d3eef16a026b,,
The Tarapacá Giant,,https://www.google.com/maps/place/The+Tarapac%C3%A1+Giant/data=!4m2!3m1!1s0x9153d4ed56dd2ae9:0x58ffe1bdecdbfc25,,
Hand of the Desert,,https://www.google.com/maps/place/Hand+of+the+Desert/data=!4m2!3m1!1s0x96aff1f28e6d5def:0x27cf6a6415efee6c,,
Largest pool in the world,,https://www.google.com/maps/place/Largest+pool+in+the+world/data=!4m2!3m1!1s0x966213ce4ef30325:0xce9a824889325d15,,
Atacama Large Millimeter Array - ALMA Radio Telescope,,https://www.google.com/maps/place/Atacama+Large+Millimeter+Array+-+ALMA+Radio+Telescope/data=!4m2!3m1!1s0x96a9c7796689b38f:0x166b24c7c79757b2,,
Easter Island,,https://www.google.com/maps/place/Easter+Island/data=!4m2!3m1!1s0x9947f017a8d4ae2b:0xbbe5b3edc02a2db6,,
Lagunas Escondidas de Baltinache,,https://www.google.com/maps/place/Lagunas+Escondidas+de+Baltinache/data=!4m2!3m1!1s0x96a91800fd163967:0x9ad84752bb8237ee,,
Valley of the Moon,,https://www.google.com/maps/place/Valley+of+the+Moon/data=!4m2!3m1!1s0x96a972ff8dc8582d:0x7ad176d2c4b12f43,,
Valle del Arcoiris,,https://www.google.com/maps/place/Valle+del+Arcoiris/data=!4m2!3m1!1s0x96a97dd67a8a3bc9:0x8be5c315a1b95035,,
Magic Bus Atacama,,https://www.google.com/maps/place/Magic+Bus+Atacama/data=!4m2!3m1!1s0x96a96d58d1e78bb7:0x4c68dd2e874e811f,,
