Title,Note,URL,Tags,Comment
,,,,
Beijing Da Dong,,https://www.google.com/maps/place/Beijing+Da+Dong/data=!4m2!3m1!1s0x35f1ac8b37940aeb:0x7e19569eeed6e770,,
The Bookworm,,https://www.google.com/maps/place/The+Bookworm/data=!4m2!3m1!1s0x35f052e3b3531d8f:0x6507414335500533,,
Yangshuo County,,https://www.google.com/maps/place/Yangshuo+County/data=!4m2!3m1!1s0x36a5a57e11955265:0x470be458aeee0005,,
Journey Hostel 掘旅,,https://www.google.com/maps/place/Journey+Hostel+%E6%8E%98%E6%97%85/data=!4m2!3m1!1s0x346e768dc4f44823:0x3292e61d90a2d8c,,
Turkish Mum Restaurant,,https://www.google.com/maps/place/Turkish+Mum+Restaurant/data=!4m2!3m1!1s0x35f1ac8c9bfcc31d:0x8326489c04949ec2,,
Longqingxia Scenic Area,,https://www.google.com/maps/place/Longqingxia+Scenic+Area/data=!4m2!3m1!1s0x35f0b8ee0d3961ff:0xc8fd762537933a08,,
Temple of the Sun,,https://www.google.com/maps/place/Temple+of+the+Sun/data=!4m2!3m1!1s0x35f1ad1f97a4af2b:0xf506f0fb3c8d81ec,,
Nan Luo Gu Xiang,,https://www.google.com/maps/place/Nan+Luo+Gu+Xiang/data=!4m2!3m1!1s0x35f0533b4ab295e9:0x8e18a10ae773a65e,,
The Place,,https://www.google.com/maps/place/The+Place/data=!4m2!3m1!1s0x35f1ace28fef8015:0xbec50fe741acf462,,
Zhangjiajie Yijiaqin Hotel,,https://www.google.com/maps/place/Zhangjiajie+Yijiaqin+Hotel/data=!4m2!3m1!1s0x369bafc94e2d0947:0x28b1d0fc37a3a59b,,
Metroplace Boutique,,https://www.google.com/maps/place/Metroplace+Boutique/data=!4m2!3m1!1s0x340400b3ea56ad01:0x90db53a63ca93398,,
Metro-City,,https://www.google.com/maps/place/Metro-City/data=!4m2!3m1!1s0x35b26531625465c5:0x71daec966fb6d59e,,
Summer Palace,,https://www.google.com/maps/place/Summer+Palace/data=!4m2!3m1!1s0x3402f8c7b9c38f3f:0x45d9b1774c04a132,,
Xizang Nan Lu,,https://www.google.com/maps/place/Xizang+Nan+Lu/data=!4m2!3m1!1s0x35b270658d1bf513:0x53c64ded4b2f7975,,
Zhouzhuang,,https://www.google.com/maps/place/Zhouzhuang/data=!4m2!3m1!1s0x35b303cb38877c13:0x28d028f382dc6eaa,,
Beijing Dongyue Temple,,https://www.google.com/maps/place/Beijing+Dongyue+Temple/data=!4m2!3m1!1s0x35f1ace76a9691bd:0xa565bd0f4cc62f35,,
Apple ifc mall,,https://www.google.com/maps/place/Apple+ifc+mall/data=!4m2!3m1!1s0x34040063ac5bbdd5:0x42bdfb6bb033cf2b,,
Blueprint Culture & Creative Park,,https://www.google.com/maps/place/Blueprint+Culture+%26+Creative+Park/data=!4m2!3m1!1s0x346e767bd141b7b5:0x58fa83c5a93881d4,,
Hongcunzhen,,https://www.google.com/maps/place/Hongcunzhen/data=!4m2!3m1!1s0x3435d385f8cbfd3d:0x1f11f73341bf8086,,
Tianzifang,,https://www.google.com/maps/place/Tianzifang/data=!4m2!3m1!1s0x35b27aa1ef08e5db:0x11324f6e78c0f18f,,
悬空寺,,https://www.google.com/maps/place/%E6%82%AC%E7%A9%BA%E5%AF%BA/data=!4m2!3m1!1s0x35e3143512ab84c3:0x7ef5f694a4d2797f,,
後面還有 小酒館,,https://www.google.com/maps/place/%E5%BE%8C%E9%9D%A2%E9%82%84%E6%9C%89+%E5%B0%8F%E9%85%92%E9%A4%A8/data=!4m2!3m1!1s0x346e7664ad013b2b:0xb7c642b9063f7e27,,
Yu Garden,,https://www.google.com/maps/place/Yu+Garden/data=!4m2!3m1!1s0x35ad874131d9d389:0x84a0e976b888d7db,,
Dunhuang,,https://www.google.com/maps/place/Dunhuang/data=!4m2!3m1!1s0x37eac14a4a737231:0x7461bfc0c6bfc872,,
Zhangjiajie Zhijue Art Hotel,,https://www.google.com/maps/place/Zhangjiajie+Zhijue+Art+Hotel/data=!4m2!3m1!1s0x369bafd237f90623:0x2fea1438e3d3adcd,,
Zhangjiajie Grand Canyon （Southwest Gate）,,https://www.google.com/maps/place/Zhangjiajie+Grand+Canyon+%EF%BC%88Southwest+Gate%EF%BC%89/data=!4m2!3m1!1s0x369b0d4639644869:0xd42c41dc6ef300b2,,
Metropolitan Plaza,,https://www.google.com/maps/place/Metropolitan+Plaza/data=!4m2!3m1!1s0x3402f8874e257d5d:0xde08fed95513e0f9,,
Ürümqi,,https://www.google.com/maps/place/%C3%9Cr%C3%BCmqi/data=!4m2!3m1!1s0x3806008cfd7b4dab:0xaa5952ebac7a708a,,
Shell Fujian Xiamen Siming District Daxue Road Xiada Hotel,,https://www.google.com/maps/place/Shell+Fujian+Xiamen+Siming+District+Daxue+Road+Xiada+Hotel/data=!4m2!3m1!1s0x34148368390ea623:0x2452c2695454630d,,
Sanlitun,,https://www.google.com/maps/place/Sanlitun/data=!4m2!3m1!1s0x35f1ac94973630a7:0x509c7077e9841087,,
Oriental Pearl TV Tower,,https://www.google.com/maps/place/Oriental+Pearl+TV+Tower/data=!4m2!3m1!1s0x35b270fb25b0d4db:0x163e9f3be2e08565,,
"700, Taiwan, Tainan City, West Central District, 神農街",,"https://www.google.com/maps/place/700,+Taiwan,+Tainan+City,+West+Central+District,+%E7%A5%9E%E8%BE%B2%E8%A1%97/data=!4m2!3m1!1s0x346e766682a1869f:0xc585b5abec019646",,
Jazz Garden,,https://www.google.com/maps/place/Jazz+Garden/data=!4m2!3m1!1s0x3403f1f40b009931:0x6fd9a89774c3a241,,
石精臼牛肉湯,,https://www.google.com/maps/place/%E7%9F%B3%E7%B2%BE%E8%87%BC%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m2!3m1!1s0x346e766170bcd8c1:0x7b09cd92102e08f4,,
Temple of Heaven,,https://www.google.com/maps/place/Temple+of+Heaven/data=!4m2!3m1!1s0x35f04d6019ff91eb:0x372c15453b110e6a,,
Yuanwang Digital Mall Back Gate Convenience Store,,https://www.google.com/maps/place/Yuanwang+Digital+Mall+Back+Gate+Convenience+Store/data=!4m2!3m1!1s0x3403f449d5fbbd79:0x362d8a314b883515,,
106,,https://www.google.com/maps/place/106/data=!4m2!3m1!1s0x346e761d91a5e477:0x4e2d1d068a484eec,,
Wuzhizhou,,https://www.google.com/maps/place/Wuzhizhou/data=!4m2!3m1!1s0x315abaac8f3c6653:0x7133279fc2e60b07,,
Kaiserdom Changsha West Bus Terminal,,https://www.google.com/maps/place/Kaiserdom+Changsha+West+Bus+Terminal/data=!4m2!3m1!1s0x34274b8559ee2ff1:0x430f41f4379a04f9,,
Victoria Harbour,,https://www.google.com/maps/place/Victoria+Harbour/data=!4m2!3m1!1s0x34040113cce77647:0x587125733e6b87ae,,
宝安中心区,,https://www.google.com/maps/place/%E5%AE%9D%E5%AE%89%E4%B8%AD%E5%BF%83%E5%8C%BA/data=!4m2!3m1!1s0x3403ec3fddfe50f1:0x13ca7d1a982ef33b,,
好好吃鱔魚意麵,,https://www.google.com/maps/place/%E5%A5%BD%E5%A5%BD%E5%90%83%E9%B1%94%E9%AD%9A%E6%84%8F%E9%BA%B5/data=!4m2!3m1!1s0x346e76770bd9f4ad:0x3323126800835917,,
