Title,Note,URL,Tags,Comment
,,,🤡 Misc;🍸 Where to drink;🧘‍♂️ Wellness;☕️ Cafe;🛌 Where to stay;🎏 Things to do;🍝 Where to eat,
Outsite Medellín - Manila,,https://www.google.com/maps/place/Outsite+Medell%C3%ADn+-+Manila/data=!4m2!3m1!1s0x8e4429b6f1c7c5e3:0xff35b189f3665ef6,🛌 Where to stay,
Socialtel Medellin,,https://www.google.com/maps/place/Socialtel+Medellin/data=!4m2!3m1!1s0x8e442828108b8341:0xddac84f16063b76c,🛌 Where to stay,
Socialtel Cartagena,,https://www.google.com/maps/place/Socialtel+Cartagena/data=!4m2!3m1!1s0x8ef62f69a267520d:0x4bedd0880b88e5d7,🛌 Where to stay,
Socialtel Parque 93,,https://www.google.com/maps/place/Socialtel+Parque+93/data=!4m2!3m1!1s0x8e3f9b1deed4b037:0xfed006523b681808,🛌 Where to stay,
Masaya Casas Viejas,,https://www.google.com/maps/place/Masaya+Casas+Viejas/data=!4m2!3m1!1s0x8ef4f0ecfae4da85:0x9c3df2fa3df24db,🛌 Where to stay,
Bohemia Beach Tayrona,,https://www.google.com/maps/place/Bohemia+Beach+Tayrona/data=!4m2!3m1!1s0x8ef4c0042c478071:0x8b3b3e05461e0ada,🛌 Where to stay,
Los Hermanos Beach Hostal & Bar,,https://www.google.com/maps/place/Los+Hermanos+Beach+Hostal+%26+Bar/data=!4m2!3m1!1s0x8ef4954016b87c7d:0x6692640fa51ad026,🛌 Where to stay,
Costeño Beach Hostal,,https://www.google.com/maps/place/Coste%C3%B1o+Beach+Hostal/data=!4m2!3m1!1s0x8ef49558dc647441:0xfbf7d4c7f52be128,🛌 Where to stay,
Glamping Guajira Paradise (Hostel),,https://www.google.com/maps/place/Glamping+Guajira+Paradise+(Hostel)/data=!4m2!3m1!1s0x8ef4b7e917478c4f:0xffc17193d1b7f4b7,🛌 Where to stay,
Rio Hostel Buritaca,,https://www.google.com/maps/place/Rio+Hostel+Buritaca/data=!4m2!3m1!1s0x8ef4c0a4dda07385:0xb726f6e5f184b71a,🛌 Where to stay,
Masaya Santa Marta,,https://www.google.com/maps/place/Masaya+Santa+Marta/data=!4m2!3m1!1s0x8ef4f564c7415f2b:0x99097c4dfd4838b5,🛌 Where to stay,
Delgadillo Hotel By Socialtel,,https://www.google.com/maps/place/Delgadillo+Hotel+By+Socialtel/data=!4m2!3m1!1s0x8e3f99a8a30c6e3b:0xd01d1aab49291ce7,🛌 Where to stay,
Selina Villa de Leyva,,https://www.google.com/maps/place/Selina+Villa+de+Leyva/data=!4m2!3m1!1s0x8e41d713d5c48ac3:0xca499a07dbef682,🛌 Where to stay,
OpenSpace,,https://www.google.com/maps/place/OpenSpace/data=!4m2!3m1!1s0x8e4429382a3efe5d:0xca7d4f83b343abd4,,
Azahar Coffee Parque 93,,https://www.google.com/maps/place/Azahar+Coffee+Parque+93/data=!4m2!3m1!1s0x8e3f9a9288d82205:0xbd01febc4366003a,☕️ Cafe,
OnFly Innova,,https://www.google.com/maps/place/OnFly+Innova/data=!4m2!3m1!1s0x8e468290912e9b15:0x4407ef6ab59f861d,🤡 Misc,
La Careta El Poblado,,https://www.google.com/maps/place/La+Careta+El+Poblado/data=!4m2!3m1!1s0x8e4429cf48bd197d:0x77ed4f3a7bb5bd1a,🤡 Misc,
Juan Valdez - Parque 93,,https://www.google.com/maps/place/Juan+Valdez+-+Parque+93/data=!4m2!3m1!1s0x8e3f9b5b88f7af91:0x1eb37993ca763ea2,☕️ Cafe,
Ichiraku Ramen Medellín,,https://www.google.com/maps/place/Ichiraku+Ramen+Medell%C3%ADn/data=!4m2!3m1!1s0x8e4429540c30c951:0x66bc954d108c6461,🍝 Where to eat,
Restaurante Kaime - Comida Vegana,,https://www.google.com/maps/place/Restaurante+Kaime+-+Comida+Vegana/data=!4m2!3m1!1s0x8e44292655842613:0x91c39ad92df6676d,🍝 Where to eat,
Restaurante Cuon,,https://www.google.com/maps/place/Restaurante+Cuon/data=!4m2!3m1!1s0x8e44282af7f91cf5:0x66422dfbc04aa73,🍝 Where to eat,
Hollywood Mall,,https://www.google.com/maps/place/Hollywood+Mall/data=!4m2!3m1!1s0x8e4428558e7b5c47:0x84f30229469e5b2e,,
Alambique,,https://www.google.com/maps/place/Alambique/data=!4m2!3m1!1s0x8e44282bd472c605:0x809158f3af3c4193,🍝 Where to eat,
Mercado del Río,,https://www.google.com/maps/place/Mercado+del+R%C3%ADo/data=!4m2!3m1!1s0x8e4429cac347588f:0xc5161940357a8cc0,🍝 Where to eat,
Naan,,https://www.google.com/maps/place/Naan/data=!4m2!3m1!1s0x8e4682827fae92e3:0xa26ed4fb7c64bb75,,
The Altar,,https://www.google.com/maps/place/The+Altar/data=!4m2!3m1!1s0x8e442966a699262b:0x36da577b9cdfa82a,🍝 Where to eat,
Semilla Cafe Coworking S.A.S.,,https://www.google.com/maps/place/Semilla+Cafe+Coworking+S.A.S./data=!4m2!3m1!1s0x8e4429a370956db7:0x23d7f714db65fc05,☕️ Cafe,
Café Macanas,,https://www.google.com/maps/place/Caf%C3%A9+Macanas/data=!4m2!3m1!1s0x8e46539d337867d5:0xc9001c9f9ca35d5c,☕️ Cafe,
Parque de Boston,,https://www.google.com/maps/place/Parque+de+Boston/data=!4m2!3m1!1s0x8e442858a7a0a2e3:0xaebd4e1445b8b457,🎏 Things to do,
Tailor - La Solución,,https://www.google.com/maps/place/Tailor+-+La+Soluci%C3%B3n/data=!4m2!3m1!1s0x8e442829bdb8408f:0x8c5f589ca7ee0c17,🤡 Misc,
Chef Burger Provenza,,https://www.google.com/maps/place/Chef+Burger+Provenza/data=!4m2!3m1!1s0x8e44282be607448d:0x476562ca62456156,🍝 Where to eat,
Mad Radio Medellín,,https://www.google.com/maps/place/Mad+Radio+Medell%C3%ADn/data=!4m2!3m1!1s0x8e4428282f7e02b1:0x2d1a38b0b94bdd58,🍸 Where to drink,
