Title,Note,URL,Tags,Comment
,,,,
Beach Jadrija,,https://www.google.com/maps/place/Beach+Jadrija/data=!4m2!3m1!1s0x1335263f340d36bb:0xcd5d2f7e68161827,,
Kasjuni Beach,,https://www.google.com/maps/place/Kasjuni+Beach/data=!4m2!3m1!1s0x1335677ea6b6c3cb:0xb54e43bb97ff2a90,,
Caffe Bar Kult,,https://www.google.com/maps/place/Caffe+Bar+Kult/data=!4m2!3m1!1s0x4761fa6eeb4d8c8f:0x6961d0bf912f45c9,,
Dugi otok,,https://www.google.com/maps/place/Dugi+otok/data=!4m2!3m1!1s0x47620015c670e1df:0xf5623705331cee03,,
Hotel Resnik,,https://www.google.com/maps/place/Hotel+Resnik/data=!4m2!3m1!1s0x133542934244c755:0x251a149c135f5ee,,
Papaya bar,,https://www.google.com/maps/place/Papaya+bar/data=!4m2!3m1!1s0x1335698433b58c8d:0xbe04be19a1e5c350,,
Male Vrulje Beach,,https://www.google.com/maps/place/Male+Vrulje+Beach/data=!4m2!3m1!1s0x133529142c8077ad:0x39d700f90fb85487,,
Premantura,,https://www.google.com/maps/place/Premantura/data=!4m2!3m1!1s0x47632bc9960f6cad:0x398eeeae814dda8f,,
Krka National Park,,https://www.google.com/maps/place/Krka+National+Park/data=!4m2!3m1!1s0x13352dceeb0b369d:0x12e1d4d5d0103938,,
Mljet,,https://www.google.com/maps/place/Mljet/data=!4m2!3m1!1s0x134bb88fa0af9aa3:0xd0adaf419f1911ef,,
Caffe 72,,https://www.google.com/maps/place/Caffe+72/data=!4m2!3m1!1s0x4761fa6f25dfc26f:0x33e3ac08fd6fa06a,,
Luka Ice Cream & Cakes,,https://www.google.com/maps/place/Luka+Ice+Cream+%26+Cakes/data=!4m2!3m1!1s0x13355dfc3087d5b7:0xf2aaac93776c63cb,,
Slano,,https://www.google.com/maps/place/Slano/data=!4m2!3m1!1s0x134b8e4e82ab0d23:0x2600ad515335f742,,
Plaža Ambrela,,https://www.google.com/maps/place/Pla%C5%BEa+Ambrela/data=!4m2!3m1!1s0x477cd36717770a4f:0x94e9e96d504ea738,,
Proizd,,https://www.google.com/maps/place/Proizd/data=!4m2!3m1!1s0x134a76d98e56800f:0xa67eac0557d3e926,,
Golden Wave Beach,,https://www.google.com/maps/place/Golden+Wave+Beach/data=!4m2!3m1!1s0x4761fa67b2c8b80f:0xa75c00f95a164f1a,,
Rovinj,,https://www.google.com/maps/place/Rovinj/data=!4m2!3m1!1s0x477cbf634d5c86ff:0xffc69f61c598ae53,,
Bene Beach,,https://www.google.com/maps/place/Bene+Beach/data=!4m2!3m1!1s0x13355d86f02e5c7f:0xb7b4a224c25bdb9c,,
Verudela,,https://www.google.com/maps/place/Verudela/data=!4m2!3m1!1s0x477cd367f14d6051:0xf969c0f4e4faa95d,,
Korčula,,https://www.google.com/maps/place/Kor%C4%8Dula/data=!4m2!3m1!1s0x134a5026a9ac0041:0x144e6b767bab0a7f,,
Pavja Luka,,https://www.google.com/maps/place/Pavja+Luka/data=!4m2!3m1!1s0x134a4f7e5cfbaa8d:0x37d0b8c9a0f9d8f2,,
