Title,Note,URL,Tags,Comment
,,,,
Bratislava Castle,,https://www.google.com/maps/place/Bratislava+Castle/data=!4m2!3m1!1s0x476c895d93b150c5:0x2fd320efbc06a139,,
Charles Bridge,,https://www.google.com/maps/place/Charles+Bridge/data=!4m2!3m1!1s0x470b94e5e58eb59f:0x75209738d1d3b126,,
St. Nicholas Church (Malá Strana),,https://www.google.com/maps/place/St.+Nicholas+Church+(Mal%C3%A1+Strana)/data=!4m2!3m1!1s0x470b94e182d6c123:0x6ab2a62c0bf51fc,,
Petrin Tower,,https://www.google.com/maps/place/Petrin+Tower/data=!4m2!3m1!1s0x470b94fd0d4bbd77:0x71df31ffc1afc191,,
Crème de la Crème,,https://www.google.com/maps/place/Cr%C3%A8me+de+la+Cr%C3%A8me/data=!4m2!3m1!1s0x470b94ef27b818eb:0x32e84541bb1e3222,,
Municipal Library of Prague,,https://www.google.com/maps/place/Municipal+Library+of+Prague/data=!4m2!3m1!1s0x470b94e8b8139d8f:0xd0becabf9fe74183,,
Jazz Dock,,https://www.google.com/maps/place/Jazz+Dock/data=!4m2!3m1!1s0x470b94f9f5560257:0x4784f570148075bb,,
Vyšehrad,,https://www.google.com/maps/place/Vy%C5%A1ehrad/data=!4m2!3m1!1s0x470b94673d77dd09:0x4c9f4f645f532866,,
MANUFAKTURA,,https://www.google.com/maps/place/MANUFAKTURA/data=!4m2!3m1!1s0x470b94ebde125945:0xbe76d69944d69efb,,
Lennon Wall,,https://www.google.com/maps/place/Lennon+Wall/data=!4m2!3m1!1s0x470b94e388b5f8dd:0x47fac776113df4ff,,
U Rudolfina,,https://www.google.com/maps/place/U+Rudolfina/data=!4m2!3m1!1s0x470b94e61ed421b7:0xfd30ff07ff6371d6,,
Dlouhá,,https://www.google.com/maps/place/Dlouh%C3%A1/data=!4m2!3m1!1s0x470b94ea2272bbb5:0xeb4fccb5bf3a2eff,,
Mirror Maze in Petrin Park,,https://www.google.com/maps/place/Mirror+Maze+in+Petrin+Park/data=!4m2!3m1!1s0x470b94fd5d644041:0x93a2ef94ed6fffcd,,
Čůrající postavy,,https://www.google.com/maps/place/%C4%8C%C5%AFraj%C3%ADc%C3%AD+postavy/data=!4m2!3m1!1s0x470b94e6a3049f35:0x71fe386a628fa812,,
Cantina,,https://www.google.com/maps/place/Cantina/data=!4m2!3m1!1s0x470b94fcb3cde6cd:0x6d7b5ec9eae8206b,,
Lehká hlava - vegetarian restaurant,,https://www.google.com/maps/place/Lehk%C3%A1+hlava+-+vegetarian+restaurant/data=!4m2!3m1!1s0x470b94ef838c6d5d:0xa5f9ed4d8226bb9b,,
St. Vitus Cathedral,,https://www.google.com/maps/place/St.+Vitus+Cathedral/data=!4m2!3m1!1s0x470b951e38024f5b:0x69ad3850f2d989a2,,
JAZZ REPUBLIC Live Music Club Prague,,https://www.google.com/maps/place/JAZZ+REPUBLIC+Live+Music+Club+Prague/data=!4m2!3m1!1s0x470b94edcd011ddd:0xa6df67fbcd5c71e8,,
Restaurace Mincovna,,https://www.google.com/maps/place/Restaurace+Mincovna/data=!4m2!3m1!1s0x470b94e90e75639b:0xbeba1616ce9cbaff,,
Waldstein Palace (Wallenstein Palace),,https://www.google.com/maps/place/Waldstein+Palace+(Wallenstein+Palace)/data=!4m2!3m1!1s0x470b94e1059a1c43:0xcb542ee3b4523a66,,
Kaprova 14/13,,https://www.google.com/maps/place/Kaprova+14%2F13/data=!4m2!3m1!1s0x470b94e8e8a34f5b:0xc4f938d6481da6f5,,
Cubist Lamp Post,,https://www.google.com/maps/place/Cubist+Lamp+Post/data=!4m2!3m1!1s0x470b94ec52967aab:0x7a10f4bbf5c2610a,,
Langhans - Cafe and Center for People in Need,,https://www.google.com/maps/place/Langhans+-+Cafe+and+Center+for+People+in+Need/data=!4m2!3m1!1s0x470b94ed6c66d4bb:0x3f4cfd1fa407155a,,
Klementinum,,https://www.google.com/maps/place/Klementinum/data=!4m2!3m1!1s0x470b94ef35324235:0xb234ae92107e0d9f,,
National Theatre,,https://www.google.com/maps/place/National+Theatre/data=!4m2!3m1!1s0x470b94e8bf53ab29:0x9df10604144e9bfe,,
Brasileiro Restaurant,,https://www.google.com/maps/place/Brasileiro+Restaurant/data=!4m2!3m1!1s0x470b94eb6dcd60d5:0x5794222cc5406bd7,,
Strahov Monastery,,https://www.google.com/maps/place/Strahov+Monastery/data=!4m2!3m1!1s0x470b936721e269bb:0xcf35623df3761af0,,
Krčma,,https://www.google.com/maps/place/Kr%C4%8Dma/data=!4m2!3m1!1s0x470b94e9aaf341a5:0x84b7c6ebefa66113,,
Cross Club,,https://www.google.com/maps/place/Cross+Club/data=!4m2!3m1!1s0x470b94b515a8114d:0x7fd1e0aa024c3673,,
Max's Steakhouse,,https://www.google.com/maps/place/Max's+Steakhouse/data=!4m2!3m1!1s0x470b94f1e87da96d:0x4136849852c60cab,,
Old Jewish Cemetery,,https://www.google.com/maps/place/Old+Jewish+Cemetery/data=!4m2!3m1!1s0x470b94ec00000001:0x87ac82039f145fd5,,
Na Můstku 404/2,,https://www.google.com/maps/place/Na+M%C5%AFstku+404%2F2/data=!4m2!3m1!1s0x470b94ec22a57b95:0x6614c5f41a5dc95,,
Yami Sushi House,,https://www.google.com/maps/place/Yami+Sushi+House/data=!4m2!3m1!1s0x470b94e98eb26bd3:0xf3b4b1457dd82a6,,
Náplavka,,https://www.google.com/maps/place/N%C3%A1plavka/data=!4m2!3m1!1s0x470b9458ab2c1753:0xb1ee7b6b4753272d,,
FUTURA Gallery,,https://www.google.com/maps/place/FUTURA+Gallery/data=!4m2!3m1!1s0x470b945555b7225d:0x9a9dfe9e0e5f8980,,
Cafe Slavia,,https://www.google.com/maps/place/Cafe+Slavia/data=!4m2!3m1!1s0x470b94f003cf77db:0x93eb4fbe7519bdf2,,
Dancing House,,https://www.google.com/maps/place/Dancing+House/data=!4m2!3m1!1s0x470b94f6c2373f17:0x93016537050b3344,,
R2-D2 Ventilation Shaft (Folimanka Park Bunker),,https://www.google.com/maps/place/R2-D2+Ventilation+Shaft+(Folimanka+Park+Bunker)/data=!4m2!3m1!1s0x470b946285dd0e6f:0x7ca5d3239a39c966,,
Angelato,,https://www.google.com/maps/place/Angelato/data=!4m2!3m1!1s0x470b94fcbb4dfaed:0xb557f09896dce06a,,
Prague Astronomical Clock,,https://www.google.com/maps/place/Prague+Astronomical+Clock/data=!4m2!3m1!1s0x470b94e939c02f49:0xf17b44b25aa20696,,
Havelská Koruna,,https://www.google.com/maps/place/Havelsk%C3%A1+Koruna/data=!4m2!3m1!1s0x470b94eea8fb7ff7:0xf30748d5c1b38432,,
National Museum,,https://www.google.com/maps/place/National+Museum/data=!4m2!3m1!1s0x470b948d824eafb9:0x428e5a03743d49a6,,
Trojský zámek,,https://www.google.com/maps/place/Trojsk%C3%BD+z%C3%A1mek/data=!4m2!3m1!1s0x470bead5a9a67e83:0x5ca54c1b5db2b7e0,,
Municipal house,,https://www.google.com/maps/place/Municipal+house/data=!4m2!3m1!1s0x470b94eb1eb8402f:0x6a3150920d279a10,,
Prague New City Hall,,https://www.google.com/maps/place/Prague+New+City+Hall/data=!4m2!3m1!1s0x470b94e8ce3f5205:0x26b2d33ef39ada91,,
Scout Institute,,https://www.google.com/maps/place/Scout+Institute/data=!4m2!3m1!1s0x470b94e9398a9f61:0x2198fee0a1d688e8,,
Ovocný Světozor,,https://www.google.com/maps/place/Ovocn%C3%BD+Sv%C4%9Btozor/data=!4m2!3m1!1s0x470b94ed6b2b4901:0x903a72560e94902f,,
Church of Our Lady before Týn,,https://www.google.com/maps/place/Church+of+Our+Lady+before+T%C3%BDn/data=!4m2!3m1!1s0x470b936721e269bb:0x8afc5f9c6346421c,,
Národní galerie Praha - Palác Kinských,,https://www.google.com/maps/place/N%C3%A1rodn%C3%AD+galerie+Praha+-+Pal%C3%A1c+Kinsk%C3%BDch/data=!4m2!3m1!1s0x470b94e96d41b329:0x3598c33a90e24309,,
Kafe Damu,,https://www.google.com/maps/place/Kafe+Damu/data=!4m2!3m1!1s0x470b94ef3a12ba03:0x63ebe518dd38ad89,,
Old Town Square,,https://www.google.com/maps/place/Old+Town+Square/data=!4m2!3m1!1s0x470b94e93451fa21:0x97ef2407c21e72c4,,
