Title,Note,URL,Tags,Comment
,,,🤡 Misc;🥘 Where to eat;🍸 Where to drink;☕️ Café;🎏 Things to do;🛌 Where to stay,
Da Tommy - L’Angolo di Napoli,,https://www.google.com/maps/place/Da+Tommy+-+L%E2%80%99Angolo+di+Napoli/data=!4m2!3m1!1s0x8eaefbe29abd8475:0x3802e222ef041fbf,🥘 Where to eat,
Baraka,,https://www.google.com/maps/place/Baraka/data=!4m2!3m1!1s0x8eaefb80dd6ac3df:0x266fea0f33f4bf34,🥘 Where to eat,
La Paneria Italian Bakery,,https://www.google.com/maps/place/La+Paneria+Italian+Bakery/data=!4m2!3m1!1s0x8eaefbdb168d1db9:0x593980a6f3f169f9,🥘 Where to eat,
Ristorante Pizzeria Nonna Teresa,,https://www.google.com/maps/place/Ristorante+Pizzeria+Nonna+Teresa/data=!4m2!3m1!1s0x8eaefb5357df2e9d:0x90a5ba0bc031b31f,🥘 Where to eat,
Peninsula Tours - Agency Las Terrenas,,https://www.google.com/maps/place/Peninsula+Tours+-+Agency+Las+Terrenas/data=!4m2!3m1!1s0x8eaefa773cf8c8bb:0xcb7ad3c9dd367244,🤡 Misc,
Tropik Bowl las terrenas,,https://www.google.com/maps/place/Tropik+Bowl+las+terrenas/data=!4m2!3m1!1s0x8eaefb8d8184bad1:0xf95cca9133cd1a8,🥘 Where to eat,
Sol & Fresh,,https://www.google.com/maps/place/Sol+%26+Fresh/data=!4m2!3m1!1s0x8eaefb612b8a8261:0x7d847d1a87067a54,🥘 Where to eat,
Zu Ceviche and Grill by Alex,,https://www.google.com/maps/place/Zu+Ceviche+and+Grill+by+Alex/data=!4m2!3m1!1s0x8eaefa78efdaaaa5:0x43f306181a88e7aa,🥘 Where to eat,
Charles Seafood,,https://www.google.com/maps/place/Charles+Seafood/data=!4m2!3m1!1s0x8eaefa6e295ac8eb:0xa3e84e44a427a0c6,🥘 Where to eat,
Grupo Bonyé,,https://www.google.com/maps/place/Grupo+Bony%C3%A9/data=!4m2!3m1!1s0x8eaf883e69c0ec9b:0x332fbf85762f9ac4,🎏 Things to do,
Mama Mambo,,https://www.google.com/maps/place/Mama+Mambo/data=!4m2!3m1!1s0x8eaf89d5ea85aecd:0xb972af1989e5aa04,🛌 Where to stay,
