Title,Note,URL,Tags,Comment
,,,,
奈良ドリームランド,,https://www.google.com/maps/place/%E5%A5%88%E8%89%AF%E3%83%89%E3%83%AA%E3%83%BC%E3%83%A0%E3%83%A9%E3%83%B3%E3%83%89/data=!4m2!3m1!1s0x60013b0030a02f0f:0xdcae7c3ec90be294,,
Naruto Whirlpools,,https://www.google.com/maps/place/Naruto+Whirlpools/data=!4m2!3m1!1s0x35536118bdc6cfb5:0xdcd988261016960f,,
Jigokudani Yaen-Koen,,https://www.google.com/maps/place/Jigokudani+Yaen-Koen/data=!4m2!3m1!1s0x601df3ec4ca220cf:0xf64d8b73ef8dd61f,,
Kawachi Fujien,,https://www.google.com/maps/place/Kawachi+Fujien/data=!4m2!3m1!1s0x3543cf7e0837a8cd:0x9ec2fbe1be6b26d1,,
Aoshima Island,cat island,https://www.google.com/maps/place/Aoshima+Island/data=!4m2!3m1!1s0x3538c7abfeec4a5d:0xd1662ff459a0c819,,
North Toraja Regency,,https://www.google.com/maps/place/North+Toraja+Regency/data=!4m2!3m1!1s0x2d93c15594bf5fe7:0x3bd5d554371f59fa,,
Ōkunoshima,,https://www.google.com/maps/place/%C5%8Ckunoshima/data=!4m2!3m1!1s0x3550453047d04345:0x48c667e9a04c14fa,,
Aokigahara Forest,,https://www.google.com/maps/place/Aokigahara+Forest/data=!4m2!3m1!1s0x601be721e912db77:0xed043493c8ad92e1,,
Hashima Island,,https://www.google.com/maps/place/Hashima+Island/data=!4m2!3m1!1s0x3515469d4b782379:0xa8d331536ecbeea4,,
"松島新地Matsushima Shinchi ( Matsushima-yukaku,Red-light-district of Matsushima)",Red light district,"https://www.google.com/maps/place/%E6%9D%BE%E5%B3%B6%E6%96%B0%E5%9C%B0Matsushima+Shinchi+(+Matsushima-yukaku,Red-light-district+of+Matsushima)/data=!4m2!3m1!1s0x6000e7cf5a0965df:0x8c1b31e2364831ea",,
Gate Tower Building,,https://www.google.com/maps/place/Gate+Tower+Building/data=!4m2!3m1!1s0x6000e68ae47255b5:0x9aae6d783f880d09,,
Majuli,,https://www.google.com/maps/place/Majuli/data=!4m2!3m1!1s0x3746c41068c5707f:0x3dd7532bf70e8c60,,
Mayang,,https://www.google.com/maps/place/Mayang/data=!4m2!3m1!1s0x375ae5b4466de059:0xa7db38acb26ccf57,,
Roop Kund,,https://www.google.com/maps/place/Roop+Kund/data=!4m2!3m1!1s0x39a76d282cc7ef03:0x378d02ccdd8d2c01,,
