Title,Note,URL,Tags,Comment
,,,,
White Desert National Park,,https://www.google.com/maps/place/White+Desert+National+Park/data=!4m2!3m1!1s0x14698f820dd216bb:0x7d7fc510e8b79ede,,
The Great Pyramid of Giza,,https://www.google.com/maps/place/The+Great+Pyramid+of+Giza/data=!4m2!3m1!1s0x14584587ac8f291b:0x810c2f3fa2a52424,,
The Cave Church,,https://www.google.com/maps/place/The+Cave+Church/data=!4m2!3m1!1s0x145841d482db7d87:0x7fc83c2d62c97d76,,
Siwa Oasis,,https://www.google.com/maps/place/Siwa+Oasis/data=!4m2!3m1!1s0x147aaef8c649a39d:0x43c597bf7bfa09b7,,
Ralph's German Bakery.Dahab,,https://www.google.com/maps/place/Ralph's+German+Bakery.Dahab/data=!4m2!3m1!1s0x15ab4b29aa802105:0x49a015566313a0dc,,
Clever Degla,,https://www.google.com/maps/place/Clever+Degla/data=!4m2!3m1!1s0x145839352c4ac30d:0xe0760845b6acab39,,
WE BUS Dahab,,https://www.google.com/maps/place/WE+BUS+Dahab/data=!4m2!3m1!1s0x15ab4bb9bdc0b40d:0xcefaf4281424774c,,
Estro - an Italian Rooftop,,https://www.google.com/maps/place/Estro+-+an+Italian+Rooftop/data=!4m2!3m1!1s0x145839b0b6909bfb:0x9234f258546fe120,,
Khufu's Restaurant,,https://www.google.com/maps/place/Khufu's+Restaurant/data=!4m2!3m1!1s0x14584ff8c7822e11:0x3808da3c343895d2,,
Gingko,,https://www.google.com/maps/place/Gingko/data=!4m2!3m1!1s0x145841bb2af9a2c9:0xb7e7f85b693d50d8,,
Sogoq Cairo,,https://www.google.com/maps/place/Sogoq+Cairo/data=!4m2!3m1!1s0x145839d0924685b9:0xd29ecefc8de7f25c,,
Cava Maadi,,https://www.google.com/maps/place/Cava+Maadi/data=!4m2!3m1!1s0x1458396d516c3017:0xc28777a7e3acd05f,,
The Four Fat Ladies,,https://www.google.com/maps/place/The+Four+Fat+Ladies/data=!4m2!3m1!1s0x1458386d0dbc101b:0xaaa686cd745d407a,,
CINÉ BAR,,https://www.google.com/maps/place/CIN%C3%89+BAR/data=!4m2!3m1!1s0x1458471b4b1c4eab:0x4bdde3256325099d,,
