Title,Note,URL,Tags,Comment
,,,,
Tallinn Creative Hub,,https://www.google.com/maps/place/Tallinn+Creative+Hub/data=!4m2!3m1!1s0x4692936455ed3ccf:0xa13fd07369728645,,
Hestia Hotel Ilmarine,,https://www.google.com/maps/place/Hestia+Hotel+Ilmarine/data=!4m2!3m1!1s0x46929364ddc18697:0xb1e36c7564a1b00d,,
Erinevate Tubade Klubi,,https://www.google.com/maps/place/Erinevate+Tubade+Klubi/data=!4m2!3m1!1s0x4692937dfa2bacfb:0xf4cd113f868c7ae7,,
Pudel,,https://www.google.com/maps/place/Pudel/data=!4m2!3m1!1s0x4692937df0698a4b:0xaff0e5070e1377d8,,
Kaja Pizza Köök,,https://www.google.com/maps/place/Kaja+Pizza+K%C3%B6%C3%B6k/data=!4m2!3m1!1s0x469294806e724dbd:0x6a7a9805cd374440,,
Rude Rats,,https://www.google.com/maps/place/Rude+Rats/data=!4m2!3m1!1s0x4692937db87bac45:0xffa68fe1d1f7cc78,,
Bob W Tallinn Telliskivi,,https://www.google.com/maps/place/Bob+W+Tallinn+Telliskivi/data=!4m2!3m1!1s0x46929481f1f98e8f:0xc64825d8350569b9,,
Jajaa Ltd,,https://www.google.com/maps/place/Jajaa+Ltd/data=!4m2!3m1!1s0x4692949ee0272f75:0x1b82e4fbc43ac768,,
Energy Discovery Centre,,https://www.google.com/maps/place/Energy+Discovery+Centre/data=!4m2!3m1!1s0x46929364532516f3:0xd4c1b7db98b0bc9e,,
Tbilisi,,https://www.google.com/maps/place/Tbilisi/data=!4m2!3m1!1s0x4692949d95c21f25:0x831e1280eb90edb7,,
RUMMU,,https://www.google.com/maps/place/RUMMU/data=!4m2!3m1!1s0x4692afe81a982a1f:0x983853ae7882a969,,
Pastoraat,,https://www.google.com/maps/place/Pastoraat/data=!4m2!3m1!1s0x46ecfd862368da27:0x90996a03d860a883,,
Spa Hotel Tervise Paradiis,,https://www.google.com/maps/place/Spa+Hotel+Tervise+Paradiis/data=!4m2!3m1!1s0x46ecfd1e49770345:0xbe4195aa3b6ff3d3,,
APTEK,,https://www.google.com/maps/place/APTEK/data=!4m2!3m1!1s0x46ecfd22bc288b43:0x55b0d58e5cf33e58,,
Surf Paradiis,,https://www.google.com/maps/place/Surf+Paradiis/data=!4m2!3m1!1s0x46f31c67f706f075:0x3a2d2910392db6d,,
Düün,,https://www.google.com/maps/place/D%C3%BC%C3%BCn/data=!4m2!3m1!1s0x46ecfd5c0a047acd:0xf66dc679e56e7f6d,,
Old City Harbor (Port of Tallinn),,https://www.google.com/maps/place/Old+City+Harbor+(Port+of+Tallinn)/data=!4m2!3m1!1s0x46929369b694ec5b:0x516a3596f8ad201,,
Rohuküla,,https://www.google.com/maps/place/Rohuk%C3%BCla/data=!4m2!3m1!1s0x46f2a1324be57c15:0x81026d16eac2ccc7,,
Plastik Record Store,,https://www.google.com/maps/place/Plastik+Record+Store/data=!4m2!3m1!1s0x469293ee4f562d51:0xbc0e49f3bb89c8a5,,
Kristiine Sport,,https://www.google.com/maps/place/Kristiine+Sport/data=!4m2!3m1!1s0x4692945e66ee3e33:0xbd9f54f488c106e9,,
K-Rauta Haabersti,,https://www.google.com/maps/place/K-Rauta+Haabersti/data=!4m2!3m1!1s0x469294398e146a4b:0xc7293079aa4cec40,,
PROMO Cash&Carry,,https://www.google.com/maps/place/PROMO+Cash%26Carry/data=!4m2!3m1!1s0x4692eca5b32f81d9:0x14ac564afd7b16bc,,
Lasnamäe Kaupmees,,https://www.google.com/maps/place/Lasnam%C3%A4e+Kaupmees/data=!4m2!3m1!1s0x4692eca2e2d9da0f:0x4d3ed37f87446dcd,,
Haabneeme,,https://www.google.com/maps/place/Haabneeme/data=!4m2!3m1!1s0x4692929c80816465:0xa00b36f6fe4e210,,
Lennusadam,,https://www.google.com/maps/place/Lennusadam/data=!4m2!3m1!1s0x469293773663134d:0xec0edb5c3bcface2,,
Seljametsa järv,,https://www.google.com/maps/place/Seljametsa+j%C3%A4rv/data=!4m2!3m1!1s0x46ecfae6413e9e89:0x232abe82067a950d,,
Mustamäe Family Health Center LLC,,https://www.google.com/maps/place/Mustam%C3%A4e+Family+Health+Center+LLC/data=!4m2!3m1!1s0x469295aae6bd46ab:0x4da851f35c88793f,,
Kaspervik,,https://www.google.com/maps/place/Kaspervik/data=!4m2!3m1!1s0x4693ad567f02ad07:0x80d6993533ab8d2c,,
Tilgu sadam,,https://www.google.com/maps/place/Tilgu+sadam/data=!4m2!3m1!1s0x4692970b6726e48d:0x6ebda0f80e1249ad,,
Karneval,,https://www.google.com/maps/place/Karneval/data=!4m2!3m1!1s0x4692949ec4b68d73:0x5a59ecd8e5733f81,,
Viirelaid,,https://www.google.com/maps/place/Viirelaid/data=!4m2!3m1!1s0x46ed7bcc415ae333:0xeecb7c8e3a518b41,,
Mustamäe Public Youth Center,,https://www.google.com/maps/place/Mustam%C3%A4e+Public+Youth+Center/data=!4m2!3m1!1s0x469294541f138129:0x6720927457ac2537,,
Invisa Fiduciary Services OÜ,,https://www.google.com/maps/place/Invisa+Fiduciary+Services+O%C3%9C/data=!4m2!3m1!1s0x4692935de6660205:0x8525c9b804937243,,
Medicum Tervishoiuteenused AS,,https://www.google.com/maps/place/Medicum+Tervishoiuteenused+AS/data=!4m2!3m1!1s0x4692ed250e6fb7c9:0xdeedea5285fcd95f,,
