Title,Note,URL,Tags,Comment
,,,,
B&B HOTEL Berlin-Mitte,,https://www.google.com/maps/place/B%26B+HOTEL+Berlin-Mitte/data=!4m2!3m1!1s0x47a851c1c42a3dab:0xb42989aeaa8f2eba,,
Berlin Cathedral,,https://www.google.com/maps/place/Berlin+Cathedral/data=!4m2!3m1!1s0x47a851def3c2d14b:0x780e68d5b02f8afc,,
://about blank,,https://www.google.com/maps/place/:%2F%2Fabout+blank/data=!4m2!3m1!1s0x47a84ef9ee28277f:0x9ba3bce436e2b6ae,,
Generator Berlin Mitte,,https://www.google.com/maps/place/Generator+Berlin+Mitte/data=!4m2!3m1!1s0x47a851e8677acff3:0x375e4adc733c1b14,,
Ryong,,https://www.google.com/maps/place/Ryong/data=!4m2!3m1!1s0x47a8510439dcdfeb:0xa5a4cbad65f3ebe1,,
Monarch Bar,,https://www.google.com/maps/place/Monarch+Bar/data=!4m2!3m1!1s0x47a84e349ccf20e9:0x136f98de05866291,,
Berlinische Galerie,,https://www.google.com/maps/place/Berlinische+Galerie/data=!4m2!3m1!1s0x47a84e2a78b01a35:0x57eadfcbf59b66f5,,
Computer Games Museum,,https://www.google.com/maps/place/Computer+Games+Museum/data=!4m2!3m1!1s0x47a84e6a0d4f0095:0x2a3680498c207ab8,,
Mustafa's Gemüse Kebap,,https://www.google.com/maps/place/Mustafa's+Gem%C3%BCse+Kebap/data=!4m2!3m1!1s0x47a85029195b7e73:0xa934dc3108889d2f,,
DDR Museum,,https://www.google.com/maps/place/DDR+Museum/data=!4m2!3m1!1s0x47a851de53463a57:0x2d0c99bfca279864,,
Techno club HALL,,https://www.google.com/maps/place/Techno+club+HALL/data=!4m2!3m1!1s0x469293781a826c71:0x559da5880ae7804c,,
Sisyphos Nightclub,,https://www.google.com/maps/place/Sisyphos+Nightclub/data=!4m2!3m1!1s0x47a84edee9d20aa7:0x3587c2ca47fc0903,,
House of Small Wonder,,https://www.google.com/maps/place/House+of+Small+Wonder/data=!4m2!3m1!1s0x47a851e9b5d3277d:0x2f26d6e733969d0b,,
Dada Falafel,,https://www.google.com/maps/place/Dada+Falafel/data=!4m2!3m1!1s0x47a851e97293d45b:0x5f9cfa4a956733ea,,
Toca Rouge,,https://www.google.com/maps/place/Toca+Rouge/data=!4m2!3m1!1s0x47a851ef2c4750f5:0x43079a7d023f3cc3,,
