Title,Note,URL,Tags,Comment
,,,,
Safestay Athens Monastiraki,,https://www.google.com/maps/place/Safestay+Athens+Monastiraki/data=!4m2!3m1!1s0x14a1bd23068056f3:0x89ca35745f5328b4,,
"Skylark, Aluma Hotel & Resort (Formerly Lighthouse)",,"https://www.google.com/maps/place/Skylark,+Aluma+Hotel+%26+Resort+(Formerly+Lighthouse)/data=!4m2!3m1!1s0x14a1bd2fe2041bf9:0x9e038a1285db449d",,
Zakynthos,,https://www.google.com/maps/place/Zakynthos/data=!4m2!3m1!1s0x136740cadc7b5abf:0x27a074dbe04c2ad1,,
Meteora,,https://www.google.com/maps/place/Meteora/data=!4m2!3m1!1s0x13590faee8327f39:0x7127add4d8bc32ff,,
Lycabettus Hill Funicular,,https://www.google.com/maps/place/Lycabettus+Hill+Funicular/data=!4m2!3m1!1s0x14a1bd48a0d5a731:0xa89264395044a7a8,,
The Makers Athens,,https://www.google.com/maps/place/The+Makers+Athens/data=!4m2!3m1!1s0x14a1bdcf3940e32f:0x4afd8b017502c65c,,
Myller Coffee Shop,,https://www.google.com/maps/place/Myller+Coffee+Shop/data=!4m2!3m1!1s0x14a1bd7dbb6fafd7:0x5f0498b540d79282,,
Thanasis,,https://www.google.com/maps/place/Thanasis/data=!4m2!3m1!1s0x14a1bd22de5e4785:0xed206abed9960390,,
Stani,,https://www.google.com/maps/place/Stani/data=!4m2!3m1!1s0x14a1bd30267deebd:0x19ff924c0bdf9f1f,,
Ariston,,https://www.google.com/maps/place/Ariston/data=!4m2!3m1!1s0x14a1bd3c177d79a1:0xbff5d74f61cbaaa1,,
LUKUMAΔΕΣ,,https://www.google.com/maps/place/LUKUMA%CE%94%CE%95%CE%A3/data=!4m2!3m1!1s0x14a1bd3cd2b5c53f:0xeadb95bb43cf5947,,
Zisis,,https://www.google.com/maps/place/Zisis/data=!4m2!3m1!1s0x14a1bd3ce9ce5513:0xf8ae3b8da80c8fe5,,
Pax burgers,,https://www.google.com/maps/place/Pax+burgers/data=!4m2!3m1!1s0x14a1bda2a934a57f:0x5db324ae9154c542,,
"Καφενείον ""Η Ωραία Ελλάς"" / Kafeneio Oraia Ellas",,https://www.google.com/maps/place/%CE%9A%CE%B1%CF%86%CE%B5%CE%BD%CE%B5%CE%AF%CE%BF%CE%BD+%22%CE%97+%CE%A9%CF%81%CE%B1%CE%AF%CE%B1+%CE%95%CE%BB%CE%BB%CE%AC%CF%82%22+%2F+Kafeneio+Oraia+Ellas/data=!4m2!3m1!1s0x14a1bd22d1c926bb:0x5a2f60ea798e5576,,
Diporto,,https://www.google.com/maps/place/Diporto/data=!4m2!3m1!1s0x14a1bd24e9616e5b:0x5841a6222a13396a,,
Little Kook,,https://www.google.com/maps/place/Little+Kook/data=!4m2!3m1!1s0x14a1bd23a64123af:0x3788ec5c0bfa59b9,,
Kosta,,https://www.google.com/maps/place/Kosta/data=!4m2!3m1!1s0x14a1bd3cc9e3e383:0x64034facda0ebdcd,,
Tylixto | Monastiraki,,https://www.google.com/maps/place/Tylixto+%7C+Monastiraki/data=!4m2!3m1!1s0x14a1a4aaceb4d2cf:0x18ec104f9f9c2da1,,
hoocut,,https://www.google.com/maps/place/hoocut/data=!4m2!3m1!1s0x14a1bd3cce30baeb:0x6967827830b5119,,
