Title,Note,URL,Tags,Comment
,,,🤡 Misc;☕️ Cafes;🍲 Where to eat;🏨 Where to stay;🎏 Things to do,
Alamo-Enterprise-National Rent a Car,,https://www.google.com/maps/place/Alamo-Enterprise-National+Rent+a+Car/data=!4m2!3m1!1s0x8f5f8db731bf5511:0xcf79e0fa9392697e,🤡 Misc,
Cajero BI,,https://www.google.com/maps/place/Cajero+BI/data=!4m2!3m1!1s0x85890fdb740be52b:0xa757f65b9e12f1b6,,
Restaurante Big fish,,https://www.google.com/maps/place/Restaurante+Big+fish/data=!4m2!3m1!1s0x8f5f8d6ee91346a7:0xe74f0d3bb0f15540,🍲 Where to eat,
Restaurante Raices,,https://www.google.com/maps/place/Restaurante+Raices/data=!4m2!3m1!1s0x8f5f8cdbc046cec3:0xc36bb40fa609aa00,🍲 Where to eat,
El Cimarrón,,https://www.google.com/maps/place/El+Cimarr%C3%B3n/data=!4m2!3m1!1s0x858ce5043c62827d:0x18086e6bf6f2dd58,🎏 Things to do,
Hotel Casona de La Isla,,https://www.google.com/maps/place/Hotel+Casona+de+La+Isla/data=!4m2!3m1!1s0x8f5f8cdc01ccfc7d:0x91a0c5f861d0ac86,🏨 Where to stay,
Café Mena,,https://www.google.com/maps/place/Caf%C3%A9+Mena/data=!4m2!3m1!1s0x8f5f8dd622a02ae3:0x42c5ce58003ce4a9,☕️ Cafes,
"El Tropico, (Taco center)",,"https://www.google.com/maps/place/El+Tropico,+(Taco+center)/data=!4m2!3m1!1s0x8f5f8d0006a686b7:0x3ae67f7a881bc640",🍲 Where to eat,
ALIOLI Coffee Shop,,https://www.google.com/maps/place/ALIOLI+Coffee+Shop/data=!4m2!3m1!1s0x8f5f8d00309b8361:0x5d6d7ce763f15cc,☕️ Cafes,
Bistro Puertas del Cielo,,https://www.google.com/maps/place/Bistro+Puertas+del+Cielo/data=!4m2!3m1!1s0x8f5f8dd0d43fb5c3:0xf9c04e2a470ee6de,🍲 Where to eat,
L’IDIOT,,https://www.google.com/maps/place/L%E2%80%99IDIOT/data=!4m2!3m1!1s0x8f5f8d3c1144520d:0xe009c4c41e87a5b8,🍲 Where to eat,
"Cuevas de Candelaria, Los Nacimientos",,"https://www.google.com/maps/place/Cuevas+de+Candelaria,+Los+Nacimientos/data=!4m2!3m1!1s0x858a869854415763:0x76bd0a0290961223",🎏 Things to do,
Reserva Sachichaj,,https://www.google.com/maps/place/Reserva+Sachichaj/data=!4m2!3m1!1s0x858a5b2841e7c943:0xef7820b9946710e7,🎏 Things to do,
Acropolis Norte Yaxha,,https://www.google.com/maps/place/Acropolis+Norte+Yaxha/data=!4m2!3m1!1s0x8f5fb2ca11aae6ab:0xe4cd934d516740e3,🎏 Things to do,
Cuevas de K’anba,,https://www.google.com/maps/place/Cuevas+de+K%E2%80%99anba/data=!4m2!3m1!1s0x8f61d91bbdddfc9f:0x65da8331475ecee7,🎏 Things to do,
Restaurante Bella Vista,,https://www.google.com/maps/place/Restaurante+Bella+Vista/data=!4m2!3m1!1s0x8589f5663a329f2d:0x8f36b60b80dd4368,🍲 Where to eat,
Cueva de Chicoy,,https://www.google.com/maps/place/Cueva+de+Chicoy/data=!4m2!3m1!1s0x858a17474994ce4d:0x803d4012fc116988,🎏 Things to do,
Biotopo del Quetzal,,https://www.google.com/maps/place/Biotopo+del+Quetzal/data=!4m2!3m1!1s0x858a199a28e4a15b:0x6509a6c968cab7fe,🎏 Things to do,
Alamo Rent-A-Car,,https://www.google.com/maps/place/Alamo+Rent-A-Car/data=!4m2!3m1!1s0x85890fd638043005:0x98991a20cd756353,🤡 Misc,
La Bodegona,,https://www.google.com/maps/place/La+Bodegona/data=!4m2!3m1!1s0x85890e0c44675f95:0x569a8850abccfffe,🤡 Misc,
Café Lito,,https://www.google.com/maps/place/Caf%C3%A9+Lito/data=!4m2!3m1!1s0x85890ffdb8f3ee59:0x2ebb807fcedf849,☕️ Cafes,
Cafe Sky Bar,,https://www.google.com/maps/place/Cafe+Sky+Bar/data=!4m2!3m1!1s0x85890e719e073c35:0x30c7edc79147fc65,☕️ Cafes;🤡 Misc,
Volcán Pacaya,,https://www.google.com/maps/place/Volc%C3%A1n+Pacaya/data=!4m2!3m1!1s0x8589a9ffd1230299:0x1833f4fd47acd074,🎏 Things to do,
Los amates,,https://www.google.com/maps/place/Los+amates/data=!4m2!3m1!1s0x85883b509404164f:0x15ddefb16238c008,🏨 Where to stay,
Fuentes Georginas,,https://www.google.com/maps/place/Fuentes+Georginas/data=!4m2!3m1!1s0x858ebc2afaffffff:0x2d79eb830a721d88,🎏 Things to do,
Volcán de Fuego,,https://www.google.com/maps/place/Volc%C3%A1n+de+Fuego/data=!4m2!3m1!1s0x858917891266c2c3:0x361e7cff7a340f60,🎏 Things to do,
