Title,Note,URL,Tags,Comment
,,,,
Szentendre,,https://www.google.com/maps/place/Szentendre/data=!4m2!3m1!1s0x4741d60360a36671:0x400c4290c1e1c20,,
Esztergom,,https://www.google.com/maps/place/Esztergom/data=!4m2!3m1!1s0x476a6227b1317923:0xbe2a180c05793793,,
Aggtelek National Park,,https://www.google.com/maps/place/Aggtelek+National+Park/data=!4m2!3m1!1s0x473f9f3fd3cbc583:0x60e97828e94de91,,
Dohány Street Synagogue,,https://www.google.com/maps/place/Doh%C3%A1ny+Street+Synagogue/data=!4m2!3m1!1s0x4741dc42507d41cf:0x4128af63d0508608,,
Castle Hill,,https://www.google.com/maps/place/Castle+Hill/data=!4m2!3m1!1s0x4741dc22e3aabd2b:0x977a623f871c1899,,
St. Stephen's Basilica,,https://www.google.com/maps/place/St.+Stephen's+Basilica/data=!4m2!3m1!1s0x4741c15e3aa3cdf7:0xdd42fcacae7fbccb,,
Fisherman's Bastion,,https://www.google.com/maps/place/Fisherman's+Bastion/data=!4m2!3m1!1s0x4741dc227fb4a99d:0x2f263ca844235e46,,
Budapest Orthodox Synagogue,,https://www.google.com/maps/place/Budapest+Orthodox+Synagogue/data=!4m2!3m1!1s0x4741dc684ea8ee37:0x38b35c766c0cea53,,
Citadel,,https://www.google.com/maps/place/Citadel/data=!4m2!3m1!1s0x4741dc491e961c5b:0xe49186a2f42ccda9,,
Bokodi Floating Village,,https://www.google.com/maps/place/Bokodi+Floating+Village/data=!4m2!3m1!1s0x476a3964f1565a57:0x59417acb4373ec05,,
Buda Castle,,https://www.google.com/maps/place/Buda+Castle/data=!4m2!3m1!1s0x4741dc3cea360f0f:0x3dce3a5fa9012576,,
Gellért Hill Cave,,https://www.google.com/maps/place/Gell%C3%A9rt+Hill+Cave/data=!4m2!3m1!1s0x4741dc4eecb9b3bf:0xe4276ed6af22ada2,,
Central Market Hall,,https://www.google.com/maps/place/Central+Market+Hall/data=!4m2!3m1!1s0x4741dc4fe2b1c2f7:0xa08c351e7bba2ecc,,
Visegrád Castle - Citadel,,https://www.google.com/maps/place/Visegr%C3%A1d+Castle+-+Citadel/data=!4m2!3m1!1s0x476a80ae09eff7fb:0x7182c7f61f04a978,,
Szimpla Kert,,https://www.google.com/maps/place/Szimpla+Kert/data=!4m2!3m1!1s0x4741dc42a0d20de5:0x267742d3fb311da4,,
Libri Book Palace,,https://www.google.com/maps/place/Libri+Book+Palace/data=!4m2!3m1!1s0x4741dc42cc35f243:0x34efbc6a8f3340df,,
Memento Park,,https://www.google.com/maps/place/Memento+Park/data=!4m2!3m1!1s0x4741e76cbfdf46bb:0xb7f9917af5ce63cc,,
