Title,Note,URL,Tags,Comment
,,,🧘‍♂️ Wellness;🎏 Things to do;🏨 Places to stay;🤡 Misc;☕️ Cafes;🍜 Eats,
Poshtel VNS by Minimalist Hotels,,https://www.google.com/maps/place/Poshtel+VNS+by+Minimalist+Hotels/data=!4m2!3m1!1s0x398e2db465da2d59:0x3006e6cf6536d880,🏨 Places to stay,
Moustache Agra,,https://www.google.com/maps/place/Moustache+Agra/data=!4m2!3m1!1s0x3974710fde2eb245:0x7109b6d33771cc02,🏨 Places to stay,
Golden Tulip Essential,,https://www.google.com/maps/place/Golden+Tulip+Essential/data=!4m2!3m1!1s0x390d035b4e73c2ff:0x9fecd1ddbd09b86d,🏨 Places to stay,
Joey's Hostel Agra,,https://www.google.com/maps/place/Joey's+Hostel+Agra/data=!4m2!3m1!1s0x39747180c824327f:0x54fd5b4efad641af,🏨 Places to stay,
HOTEL STAY BANARAS,,https://www.google.com/maps/place/HOTEL+STAY+BANARAS/data=!4m2!3m1!1s0x398e2dfb0076323d:0x8032af11a9b63cf3,,
"Park Boulevard Hotel, New Delhi",,"https://www.google.com/maps/place/Park+Boulevard+Hotel,+New+Delhi/data=!4m2!3m1!1s0x390d1fc48052aba9:0xd34d31b172d5d217",🏨 Places to stay,
Zostel Varkala,,https://www.google.com/maps/place/Zostel+Varkala/data=!4m2!3m1!1s0x3b05efb23edaf027:0xd9e604d94ef41679,🏨 Places to stay,
"Bedzzz, Varanasi",,"https://www.google.com/maps/place/Bedzzz,+Varanasi/data=!4m2!3m1!1s0x398e2e02ec326885:0x359d153345980aaf",🏨 Places to stay,
Villa Nova,,https://www.google.com/maps/place/Villa+Nova/data=!4m2!3m1!1s0x3bbfea298400e5e9:0xba7b2254eeabaa5e,🏨 Places to stay,
Boketto Stay & Spaces,,https://www.google.com/maps/place/Boketto+Stay+%26+Spaces/data=!4m2!3m1!1s0x3b08853ae2b59ead:0x26448446daad78b2,🏨 Places to stay,
goSTOPS Lite Alleppey,,https://www.google.com/maps/place/goSTOPS+Lite+Alleppey/data=!4m2!3m1!1s0x3b088455bdf3224b:0xe03efbbee30d8ad1,🏨 Places to stay,
The River House Panangad Kochi,,https://www.google.com/maps/place/The+River+House+Panangad+Kochi/data=!4m2!3m1!1s0x3b0873098d382a1f:0xbe2519cf7ecc315b,🏨 Places to stay,
The Mudhouse Marayoor,,https://www.google.com/maps/place/The+Mudhouse+Marayoor/data=!4m2!3m1!1s0x3b078251fe6e5abd:0x856ada2852febf74,🏨 Places to stay,
Zostel Kochi (Fort Kochi),,https://www.google.com/maps/place/Zostel+Kochi+(Fort+Kochi)/data=!4m2!3m1!1s0x3b086d30c9bd42ad:0xccecd01b288b2e2,🏨 Places to stay,
ChristVille Homestay,,https://www.google.com/maps/place/ChristVille+Homestay/data=!4m2!3m1!1s0x3b086d30d2d264d5:0x70dcaf5c1158b23f,🏨 Places to stay,
Māwsynrām,,https://www.google.com/maps/place/M%C4%81wsynr%C4%81m/data=!4m2!3m1!1s0x37509495e5bc131b:0x9db24bbe6c10df77,🎏 Things to do,
Isha Yoga Center - Coimbatore,,https://www.google.com/maps/place/Isha+Yoga+Center+-+Coimbatore/data=!4m2!3m1!1s0x3ba86158ecff7983:0xd2912012a9db31ab,,
Sulabh International Museum Of Toilets,,https://www.google.com/maps/place/Sulabh+International+Museum+Of+Toilets/data=!4m2!3m1!1s0x390ce2c8109d9791:0x1763f10a1df01856,🎏 Things to do,
Taj Mahal,,https://www.google.com/maps/place/Taj+Mahal/data=!4m2!3m1!1s0x39747121d702ff6d:0xdd2ae4803f767dde,🎏 Things to do,
Amber Palace,,https://www.google.com/maps/place/Amber+Palace/data=!4m2!3m1!1s0x396db05acbd20dfb:0x6221df6747147e2b,🎏 Things to do,
Swaminarayan Akshardham,,https://www.google.com/maps/place/Swaminarayan+Akshardham/data=!4m2!3m1!1s0x390ce35b9975b1fb:0x69a09f265ef3b22a,🎏 Things to do,
Jal Mahal,,https://www.google.com/maps/place/Jal+Mahal/data=!4m2!3m1!1s0x396db11be9767295:0x97d34f11a313abd2,🎏 Things to do,
Hawa Mahal,,https://www.google.com/maps/place/Hawa+Mahal/data=!4m2!3m1!1s0x396db14b1bd30ba5:0x860e5d531eccb20c,🎏 Things to do,
The City Palace,,https://www.google.com/maps/place/The+City+Palace/data=!4m2!3m1!1s0x396db40b8620b0c1:0x44801531017d7b60,🎏 Things to do,
Shri Galta Peeth,,https://www.google.com/maps/place/Shri+Galta+Peeth/data=!4m2!3m1!1s0x396db72924ac989d:0x9d7ca8b4f7de8e40,🎏 Things to do,
Karni Mata Temple,,https://www.google.com/maps/place/Karni+Mata+Temple/data=!4m2!3m1!1s0x393ffb097861b639:0x33d6f39cad95e6ac,🎏 Things to do,
Hampi,,https://www.google.com/maps/place/Hampi/data=!4m2!3m1!1s0x3bb77fd95d4be823:0x6e52e05076df36b8,🎏 Things to do,
Shri Kashi Vishwanath Temple,,https://www.google.com/maps/place/Shri+Kashi+Vishwanath+Temple/data=!4m2!3m1!1s0x398e2e21ee940b17:0x48600e4fcdfb7b13,🎏 Things to do,
Jantar Mantar,,https://www.google.com/maps/place/Jantar+Mantar/data=!4m2!3m1!1s0x396db14c7ff57069:0xe94a0429a18dabbe,🎏 Things to do,
Madurai,,https://www.google.com/maps/place/Madurai/data=!4m2!3m1!1s0x3b00c582b1189633:0xdc955b7264f63933,🎏 Things to do,
Group of Monuments at Hampi,,https://www.google.com/maps/place/Group+of+Monuments+at+Hampi/data=!4m2!3m1!1s0x3bb77fd958fa57ed:0x6cf1440d1bf92de2,🎏 Things to do,
Vijayapura,,https://www.google.com/maps/place/Vijayapura/data=!4m2!3m1!1s0x3bc6557d98aa706f:0xedd4a1794e8fe8d2,🎏 Things to do,
