Title,Note,URL,Tags,Comment
,,,,
Ai Beling Waterfall,,https://www.google.com/maps/place/Ai+Beling+Waterfall/data=!4m2!3m1!1s0x2dcb8f9000000001:0x94a0c98ee6315f14,,
ehomestay scar reef,,https://www.google.com/maps/place/ehomestay+scar+reef/data=!4m2!3m1!1s0x2dcc5f0040c36dcd:0xf5b5c0ad7997ae2b,,
Mantar Hill,,https://www.google.com/maps/place/Mantar+Hill/data=!4m2!3m1!1s0x2dcc6922c1d9463f:0x2a5683f1419567d1,,
Komodo Island,,https://www.google.com/maps/place/Komodo+Island/data=!4m2!3m1!1s0x2db5ada92a52a3a5:0xe9e06cbb76876cf1,,
Raja Ampat Regency,,https://www.google.com/maps/place/Raja+Ampat+Regency/data=!4m2!3m1!1s0x2d5c3eaaccb47097:0x7851bd844c4cdf44,,
Mt Batur,,https://www.google.com/maps/place/Mt+Batur/data=!4m2!3m1!1s0x2dd1f403c8e8ee3f:0xd38045afa18670b4,,
Batudulang,,https://www.google.com/maps/place/Batudulang/data=!4m2!3m1!1s0x2dcb8eafa0c7fdf9:0x37e7e85d0efe3908,,
Mantun Hill,,https://www.google.com/maps/place/Mantun+Hill/data=!4m2!3m1!1s0x2dccf59ed1e9e2d1:0x2e35ef1ed3b73fb3,,
Mata Jitu Waterfall,,https://www.google.com/maps/place/Mata+Jitu+Waterfall/data=!4m2!3m1!1s0x2dcbdfe5acb20927:0x199bf03325b621ad,,
Ijen,,https://www.google.com/maps/place/Ijen/data=!4m2!3m1!1s0x2dd149f2110ae607:0x7c04ef029d5e39bc,,
Wakatobi National Park,,https://www.google.com/maps/place/Wakatobi+National+Park/data=!4m2!3m1!1s0x2da70432508addb7:0x5d26a2de09c86794,,
Tam Coc - Bich Dong,,https://www.google.com/maps/place/Tam+Coc+-+Bich+Dong/data=!4m2!3m1!1s0x31367a597a9869a5:0x151f502fd648df0a,,
Bảo Tháp Đại Bi,,https://www.google.com/maps/place/B%E1%BA%A3o+Th%C3%A1p+%C4%90%E1%BA%A1i+Bi/data=!4m2!3m1!1s0x313674b6ff232f8f:0xa629949a99a63054,,
Mt Bromo,,https://www.google.com/maps/place/Mt+Bromo/data=!4m2!3m1!1s0x2dd637aaab794a41:0xada40d36ecd2a5dd,,
Bena Traditional Village (Thatched Roof Village),,https://www.google.com/maps/place/Bena+Traditional+Village+(Thatched+Roof+Village)/data=!4m2!3m1!1s0x2db2de9fb4132d15:0x37927d1166e19c6e,,
Bukit Merese,,https://www.google.com/maps/place/Bukit+Merese/data=!4m2!3m1!1s0x2dcdb3a83b5a599f:0xf8cf6a8d2d088cc,,
Sade Village,,https://www.google.com/maps/place/Sade+Village/data=!4m2!3m1!1s0x2dcda9172d983baf:0xfa9eed5a2752a97c,,
Tiu Kelep Waterfall,,https://www.google.com/maps/place/Tiu+Kelep+Waterfall/data=!4m2!3m1!1s0x2dcdd5e7dc164b5b:0x8bcfd632c76d21a7,,
Taman Nasional Tanjung Puting,,https://www.google.com/maps/place/Taman+Nasional+Tanjung+Puting/data=!4m2!3m1!1s0x2e09a5fcc9bb3c5d:0xddb88e3644e9ea03,,
Bunaken National Marine Park,,https://www.google.com/maps/place/Bunaken+National+Marine+Park/data=!4m2!3m1!1s0x2d7873db0880843f:0x606df49ef663eff7,,
Rammang Rammang Karst Village,,https://www.google.com/maps/place/Rammang+Rammang+Karst+Village/data=!4m2!3m1!1s0x2dbe59e388afe0ad:0x3590926b8cb4858a,,
Waikuri Lagoon,,https://www.google.com/maps/place/Waikuri+Lagoon/data=!4m2!3m1!1s0x2c4ab9f3e14e9847:0x3915b7886efa48b6,,
Mojo Island,,https://www.google.com/maps/place/Mojo+Island/data=!4m2!3m1!1s0x2dcbddbb75e340e5:0x6353a025d54e994d,,
Agal Waterfall,,https://www.google.com/maps/place/Agal+Waterfall/data=!4m2!3m1!1s0x2dcc73121cdb618d:0xd6d0f7b7c046fcb0,,
Bungin Island,,https://www.google.com/maps/place/Bungin+Island/data=!4m2!3m1!1s0x2dcc0d8373fe54b5:0xf2bff8317a99da4c,,
Maluk beach,,https://www.google.com/maps/place/Maluk+beach/data=!4m2!3m1!1s0x2dccf45fa627e1b1:0x7944b4cf78d60017,,
Derawan Islands,,https://www.google.com/maps/place/Derawan+Islands/data=!4m2!3m1!1s0x3212abcef5b94afb:0xe4cf7029473436a9,,
Air terjun Semporon Tangkel waterfall,,https://www.google.com/maps/place/Air+terjun+Semporon+Tangkel+waterfall/data=!4m2!3m1!1s0x2dcc602e8fbf0f1f:0x6b0bc8e2fb5f000,,
Bukit mantar,,https://www.google.com/maps/place/Bukit+mantar/data=!4m2!3m1!1s0x2dcc693e8a48f903:0x8881e88ecd605c68,,
Sentul International Circuit,,https://www.google.com/maps/place/Sentul+International+Circuit/data=!4m2!3m1!1s0x2e69c12ee22c80dd:0xb48e14c9b0a9731b,,
Konsulat Amerika Serikat,,https://www.google.com/maps/place/Konsulat+Amerika+Serikat/data=!4m2!3m1!1s0x2dd2405c70aa70f5:0x5b692c63c492971d,,
Rental Motor Bike & Car - Surf Board,,https://www.google.com/maps/place/Rental+Motor+Bike+%26+Car+-+Surf+Board/data=!4m2!3m1!1s0x2dccf4f7c8f5b5d7:0x9697c6fb932ac622,,
Waw Roti & Donat,,https://www.google.com/maps/place/Waw+Roti+%26+Donat/data=!4m2!3m1!1s0x2dcc6975c4b0fff3:0x29e3ca2dd23c7045,,
Dentist | Kama Bali Dental,,https://www.google.com/maps/place/Dentist+%7C+Kama+Bali+Dental/data=!4m2!3m1!1s0x2dd247fcd0045155:0x8b000d87e9c70adb,,
Churros & Coffee,,https://www.google.com/maps/place/Churros+%26+Coffee/data=!4m2!3m1!1s0x2dd2388100000001:0xa7b1f82ef9ea2d2a,,
UD Kusuma Jaya Bengkel motor,,https://www.google.com/maps/place/UD+Kusuma+Jaya+Bengkel+motor/data=!4m2!3m1!1s0x2dd238846b9cabf9:0x1f1f783d6852320f,,
