Title,Note,URL,Tags,Comment
,,,,
New Generation Hostel Urban Brera,,https://www.google.com/maps/place/New+Generation+Hostel+Urban+Brera/data=!4m2!3m1!1s0x4786c6b5dce625b3:0xd7451bfafc14654c,,
Hasta Siempre,,https://www.google.com/maps/place/Hasta+Siempre/data=!4m2!3m1!1s0x1313e32eb5e54ae3:0x2c7cc67ec320ee2d,,
"Statua ""La Nike""",,https://www.google.com/maps/place/Statua+%22La+Nike%22/data=!4m2!3m1!1s0x131411d737bdaddb:0x340be087277d5e16,,
Via Crociferi,,https://www.google.com/maps/place/Via+Crociferi/data=!4m2!3m1!1s0x1313e3294d7d872f:0x9b3fd3bcc01874a9,,
Mamita's Beach Garden,,https://www.google.com/maps/place/Mamita's+Beach+Garden/data=!4m2!3m1!1s0x1319770e98994ccd:0x73c321375cdb74b,,
Timbuktu Ostello - Hostel,,https://www.google.com/maps/place/Timbuktu+Ostello+-+Hostel/data=!4m2!3m1!1s0x131976de9a42277f:0xbafa0911cd2fc0c6,,
Le Crepes di Stefano,,https://www.google.com/maps/place/Le+Crepes+di+Stefano/data=!4m2!3m1!1s0x131976dcd49d7eb7:0x62a3dbca049cf743,,
Ristorantino L'Amuri,,https://www.google.com/maps/place/Ristorantino+L'Amuri/data=!4m2!3m1!1s0x131976dc56f4e9b7:0xf5b8bc70118bba5a,,
Panificio Plaia,,https://www.google.com/maps/place/Panificio+Plaia/data=!4m2!3m1!1s0x131976e7011c6f75:0x1c841eb80b4ea921,,
Via Pescherie Vecchie,,https://www.google.com/maps/place/Via+Pescherie+Vecchie/data=!4m2!3m1!1s0x477fd4be37ed8bdd:0x85120e749055df87,,
Biblioteca Salaborsa,,https://www.google.com/maps/place/Biblioteca+Salaborsa/data=!4m2!3m1!1s0x477fd4bfc278adc1:0xc266fcbe4097cdfd,,
Fondazione Lucio Dalla / Casa Lucio Dalla,,https://www.google.com/maps/place/Fondazione+Lucio+Dalla+%2F+Casa+Lucio+Dalla/data=!4m2!3m1!1s0x477fd495833bb65d:0x4a115b3c2db26be9,,
Basilica Santuario Santo Stefano - Complesso delle Sette Chiese,,https://www.google.com/maps/place/Basilica+Santuario+Santo+Stefano+-+Complesso+delle+Sette+Chiese/data=!4m2!3m1!1s0x477fd5b452722fc1:0xe05c963953602828,,
Palazzo Schifanoia,,https://www.google.com/maps/place/Palazzo+Schifanoia/data=!4m2!3m1!1s0x477e4e44778284c9:0x7587ac7c5b9aba5c,,
Torre dell'Orologio,,https://www.google.com/maps/place/Torre+dell'Orologio/data=!4m2!3m1!1s0x477fd56edba5fbe1:0xb3ff9e960ae6657b,,
Osteria Francescana,,https://www.google.com/maps/place/Osteria+Francescana/data=!4m2!3m1!1s0x477fef12d42cf17f:0x19607398f8f8e95d,,
Palazzo dei Diamanti,,https://www.google.com/maps/place/Palazzo+dei+Diamanti/data=!4m2!3m1!1s0x477e4e13fe2fb747:0xc19d65c25d973dfe,,
Grassilli,,https://www.google.com/maps/place/Grassilli/data=!4m2!3m1!1s0x477fd4bee9d6b925:0x38712ddc42c6f0c5,,
La Taverna Di Roberto,,https://www.google.com/maps/place/La+Taverna+Di+Roberto/data=!4m2!3m1!1s0x477fd4beafde0fed:0xe4d26520e6e5fc47,,
Lavagettone Personal Laundry Electrolux,,https://www.google.com/maps/place/Lavagettone+Personal+Laundry+Electrolux/data=!4m2!3m1!1s0x477fd4c76a90dcb5:0xaeeba0d50ca61781,,
MÒ! MORTADELLA LAB,,https://www.google.com/maps/place/M%C3%92!+MORTADELLA+LAB/data=!4m2!3m1!1s0x477fd58296a7146f:0x4aa7c22fe53b0628,,
Felicity Bistrot & Croissanterie,,https://www.google.com/maps/place/Felicity+Bistrot+%26+Croissanterie/data=!4m2!3m1!1s0x477fd48e1bca019b:0xe514ac1dfff2c390,,
Pappare' Bologna,,https://www.google.com/maps/place/Pappare'+Bologna/data=!4m2!3m1!1s0x477fd4be87a9c871:0x2bc0a489640aef96,,
Cremeria Marconi,,https://www.google.com/maps/place/Cremeria+Marconi/data=!4m2!3m1!1s0x477fd5ea8da94acf:0x4eeb22fa23732526,,
Indegno la crescentina 2.0,,https://www.google.com/maps/place/Indegno+la+crescentina+2.0/data=!4m2!3m1!1s0x477fd576d84157ad:0x9e5458f9f0ffc744,,
Ristorante Hostaria Savonarola,,https://www.google.com/maps/place/Ristorante+Hostaria+Savonarola/data=!4m2!3m1!1s0x477e4e6b592a6db3:0x21cadcdec9ba91ce,,
"Ristorante ""Il Moro""",,https://www.google.com/maps/place/Ristorante+%22Il+Moro%22/data=!4m2!3m1!1s0x477fd497bd550b21:0x85038bf0914c9698,,
Ristorante Il Sorpasso,,https://www.google.com/maps/place/Ristorante+Il+Sorpasso/data=!4m2!3m1!1s0x477e4f3f3070d90f:0x3f198aa75e95b7d7,,
Osteria dell'Orsa,,https://www.google.com/maps/place/Osteria+dell'Orsa/data=!4m2!3m1!1s0x477fd4bdaccad257:0x686922db2f5606d1,,
Osteria Broccaindosso,,https://www.google.com/maps/place/Osteria+Broccaindosso/data=!4m2!3m1!1s0x477fd4b78f4d9753:0x8deca7e567a0bbc5,,
Crown Tours,,https://www.google.com/maps/place/Crown+Tours/data=!4m2!3m1!1s0x132f6117e0069295:0x66ef264023a46d73,,
"Piazza Neghelli, 23",,"https://www.google.com/maps/place/Piazza+Neghelli,+23/data=!4m2!3m1!1s0x133b0eb3ea859247:0x850ff53e20102c42",,
