Title,Note,URL,Tags,Comment
,,,,
Gates of Dawn,,https://www.google.com/maps/place/Gates+of+Dawn/data=!4m2!3m1!1s0x46dd944063dd09b7:0x6c230215080211a,,
Three Crosses Monument,,https://www.google.com/maps/place/Three+Crosses+Monument/data=!4m2!3m1!1s0x46dd9422a0416251:0x17c70376f7053de2,,
Gediminas Castle,,https://www.google.com/maps/place/Gediminas+Castle/data=!4m2!3m1!1s0x46dd9419df4df72d:0x84cdab3f82f7f6fb,,
Naughty Squirrel Hostel,,https://www.google.com/maps/place/Naughty+Squirrel+Hostel/data=!4m2!3m1!1s0x46eecfd43ea4247f:0x19407cf03dad33e0,,
Plus Plus Plus Gastrobaras,,https://www.google.com/maps/place/Plus+Plus+Plus+Gastrobaras/data=!4m2!3m1!1s0x46dd9566ee2484ef:0x6ee6fa642a5cd402,,
Paupio g.,,https://www.google.com/maps/place/Paupio+g./data=!4m2!3m1!1s0x46dd943be67df90b:0x3a92b6b4b5cb431a,,
Kas Kas,,https://www.google.com/maps/place/Kas+Kas/data=!4m2!3m1!1s0x46dd94118eb04749:0x6ead2d9fc18c6d37,,
Jimmy Jumps House,,https://www.google.com/maps/place/Jimmy+Jumps+House/data=!4m2!3m1!1s0x46dd94158abd0575:0xed2e15b92bfce65a,,
Etno Dvaras,,https://www.google.com/maps/place/Etno+Dvaras/data=!4m2!3m1!1s0x46dd941658e31afb:0xc198e36838339291,,
