Title,Note,URL,Tags,Comment
,,,,
Hotel Ogarrio,,https://www.google.com/maps/place/Hotel+Ogarrio/data=!4m2!3m1!1s0x8680b38c859cbcbb:0xc277b3641eb6cc50,,
Selina Mexico City Downtown & Cowork,,https://www.google.com/maps/place/Selina+Mexico+City+Downtown+%26+Cowork/data=!4m2!3m1!1s0x85d1fed69f9cfbf9:0x581f47960fec905d,,
One&Only Mandarina,,https://www.google.com/maps/place/One%26Only+Mandarina/data=!4m2!3m1!1s0x842123458b805dc5:0x715d407eff8e41f1,,
Pinochueco,,https://www.google.com/maps/place/Pinochueco/data=!4m2!3m1!1s0x85d107843183ae25:0x723568dadf95a7e2,,
Selina San Miguel de Allende,,https://www.google.com/maps/place/Selina+San+Miguel+de+Allende/data=!4m2!3m1!1s0x842b51e33a54339b:0x935cb7e407d04d10,,
Hotel Tapasoli,,https://www.google.com/maps/place/Hotel+Tapasoli/data=!4m2!3m1!1s0x85d69076bef6efe3:0xce6b705c35a3eac,,
Selina Sayulita,,https://www.google.com/maps/place/Selina+Sayulita/data=!4m2!3m1!1s0x84211729e37f081d:0x9a3599613fceb47e,,
Aldea El Salto Del Meco,,https://www.google.com/maps/place/Aldea+El+Salto+Del+Meco/data=!4m2!3m1!1s0x867f457fa5998a1b:0x30ad65b8a91ddf9f,,
Exe Suites Reforma,,https://www.google.com/maps/place/Exe+Suites+Reforma/data=!4m2!3m1!1s0x85d1ff34bd8de251:0xe943741ea9df65d8,,
Jardín del Cantador,,https://www.google.com/maps/place/Jard%C3%ADn+del+Cantador/data=!4m2!3m1!1s0x842b740fa7a2a9f5:0xd087147d7539a265,,
Sofitel Mexico City Reforma,,https://www.google.com/maps/place/Sofitel+Mexico+City+Reforma/data=!4m2!3m1!1s0x85d1ff35a69a6f57:0x756ccccc9245591e,,
OYO Hostal Mich,,https://www.google.com/maps/place/OYO+Hostal+Mich/data=!4m2!3m1!1s0x842d0fc94922e507:0x13c7b349760d74ae,,
Marquis Reforma,,https://www.google.com/maps/place/Marquis+Reforma/data=!4m2!3m1!1s0x85cddfc5f22d1a75:0xf27e238720339bb1,,
Selina Puerto Escondido,,https://www.google.com/maps/place/Selina+Puerto+Escondido/data=!4m2!3m1!1s0x85b8f787a0cea84b:0xa03ca6a3b3a61c3c,,
Prol. de Aldama 115,Casa en San Miguel ,https://www.google.com/maps/place/Prol.+de+Aldama+115/data=!4m2!3m1!1s0x842b51a8abcc09e9:0xc8c3fe342e04757,,
Marley Coffee,,https://www.google.com/maps/place/Marley+Coffee/data=!4m2!3m1!1s0x8f4e433bba861cef:0x441ff4a203613462,,
Mar-Bella Fish Market - Puerto Morelos,,https://www.google.com/maps/place/Mar-Bella+Fish+Market+-+Puerto+Morelos/data=!4m2!3m1!1s0x8f4e89136cb83cfb:0x3d2b79804e69318,,
Chacchoben,,https://www.google.com/maps/place/Chacchoben/data=!4m2!3m1!1s0x8f5af7d602595945:0xd42b3faea82c8461,,
Zona Arqueológica de Ek Balam,,https://www.google.com/maps/place/Zona+Arqueol%C3%B3gica+de+Ek+Balam/data=!4m2!3m1!1s0x8f519d2cfd290dcf:0x2c8918d639ce5df9,,
Guayaberas Ramírez,,https://www.google.com/maps/place/Guayaberas+Ram%C3%ADrez/data=!4m2!3m1!1s0x8f5673db620cbbeb:0xd5db08ff2c5db27e,,
Mariscos Villa Rica Mérida,,https://www.google.com/maps/place/Mariscos+Villa+Rica+M%C3%A9rida/data=!4m2!3m1!1s0x8f567706c7f2a887:0x7a942257e399dbfd,,
Hotel Maria Bonita El Cuyo.,,https://www.google.com/maps/place/Hotel+Maria+Bonita+El+Cuyo./data=!4m2!3m1!1s0x8f5273df398e7457:0xcddda2b2fe3f2886,,
Café Bar 500 Noches,,https://www.google.com/maps/place/Caf%C3%A9+Bar+500+Noches/data=!4m2!3m1!1s0x85ed453e0f6924ab:0x50da7bd0198ab1dc,,
Cabañas Arco del tiempo,,https://www.google.com/maps/place/Caba%C3%B1as+Arco+del+tiempo/data=!4m2!3m1!1s0x85ec9fe96e200f33:0x848e9fe23e13df8a,,
Plaza Oasis,,https://www.google.com/maps/place/Plaza+Oasis/data=!4m2!3m1!1s0x8f4c2fba2e42fb6f:0x1f5e377ba6900708,,
Templo de Nuestra Señora de Guadalupe,,https://www.google.com/maps/place/Templo+de+Nuestra+Se%C3%B1ora+de+Guadalupe/data=!4m2!3m1!1s0x85ed453116c313d5:0xc7b93142590b6b3c,,
La Casa de la Esquina (Nuestro Espacio Cultural),,https://www.google.com/maps/place/La+Casa+de+la+Esquina+(Nuestro+Espacio+Cultural)/data=!4m2!3m1!1s0x85ed27299c84be9b:0x83c9461cca0db1,,
Coyoacán,,https://www.google.com/maps/place/Coyoac%C3%A1n/data=!4m2!3m1!1s0x85ce002e11342fc3:0x9a2667d831d4e080,,
