Title,Note,URL,Tags,Comment
,,,,
Hôtel Astrid,,https://www.google.com/maps/place/H%C3%B4tel+Astrid/data=!4m2!3m1!1s0xda7d29c0fa032ad:0xc330d42b08acbfc8,,
Agadir Oufella,,https://www.google.com/maps/place/Agadir+Oufella/data=!4m2!3m1!1s0xdb3b6b778463b43:0xef686a1182a072a,,
Boutique inwi,,https://www.google.com/maps/place/Boutique+inwi/data=!4m2!3m1!1s0xdafee7ce19a7127:0x9fe745402895df41,,
Snack Malak,,https://www.google.com/maps/place/Snack+Malak/data=!4m2!3m1!1s0xd9ff356c40840d3:0x12243d16a906ab1a,,
Madrasa Ben Youssef,,https://www.google.com/maps/place/Madrasa+Ben+Youssef/data=!4m2!3m1!1s0xdafee69803640af:0x5512adc5ece4a3a1,,
GOLVEN Surf Morocco- Surf & Yoga Camp Taghazout,,https://www.google.com/maps/place/GOLVEN+Surf+Morocco-+Surf+%26+Yoga+Camp+Taghazout/data=!4m2!3m1!1s0xdb24d5c37241efb:0x499cb656efbb172a,,
Masjid Dar al‑Makhzan,,https://www.google.com/maps/place/Masjid+Dar+al%E2%80%91Makhzan/data=!4m2!3m1!1s0xda7d283804af5ff:0xe08236ca2e8ae59e,,
Mama Afrika,,https://www.google.com/maps/place/Mama+Afrika/data=!4m2!3m1!1s0xdafee8a618c6169:0xa1cb939cabe1607f,,
Dar Tamo,,https://www.google.com/maps/place/Dar+Tamo/data=!4m2!3m1!1s0xd9ff350ef0649a3:0x97b2f3d8ef29895c,,
Dar Si Said Museum,,https://www.google.com/maps/place/Dar+Si+Said+Museum/data=!4m2!3m1!1s0xdafee46d607991d:0xdf38e6a33246599e,,
Merzouga,,https://www.google.com/maps/place/Merzouga/data=!4m2!3m1!1s0xd973c279834dfe5:0x5639fab2b5de4a44,,
Restaurant - Le 68 Bar à Vin Marrakech,,https://www.google.com/maps/place/Restaurant+-+Le+68+Bar+%C3%A0+Vin+Marrakech/data=!4m2!3m1!1s0xdafee8e3d42867f:0xda3413138c693d6e,,
Boulangerie Patisserie Bélvèdere,,https://www.google.com/maps/place/Boulangerie+Patisserie+B%C3%A9lv%C3%A8dere/data=!4m2!3m1!1s0xda7cd12e7e6cbcd:0x8d9a528b6c8c2207,,
Imsouane,,https://www.google.com/maps/place/Imsouane/data=!4m2!3m1!1s0xdb25e7d752b20eb:0x1598a7f8cccd6362,,
"Dar Zouar, Riad & Spa",,"https://www.google.com/maps/place/Dar+Zouar,+Riad+%26+Spa/data=!4m2!3m1!1s0xdafee6f99f23b57:0x9140b3979286fa64",,
Paradise Valley,,https://www.google.com/maps/place/Paradise+Valley/data=!4m2!3m1!1s0xdb3c705080dd0a1:0xec3370b43cba2e08,,
Zagora,,https://www.google.com/maps/place/Zagora/data=!4m2!3m1!1s0xdbc36ea58680e95:0x75e9e9fb616de232,,
Dar Yacout,,https://www.google.com/maps/place/Dar+Yacout/data=!4m2!3m1!1s0xdafee65971b70b9:0xca9edc7388c697f6,,
Al Fassia Guéliz,,https://www.google.com/maps/place/Al+Fassia+Gu%C3%A9liz/data=!4m2!3m1!1s0xdafee8fd408f4bd:0xff13680d10da8679,,
Dar el Makhzen,,https://www.google.com/maps/place/Dar+el+Makhzen/data=!4m2!3m1!1s0xd0c7f4ce1d6ee49:0x801ddebf498fcf0,,
Mellah,,https://www.google.com/maps/place/Mellah/data=!4m2!3m1!1s0xd9f8b4cc7575b8d:0x8d83a39281c34543,,
Riad Boustan,,https://www.google.com/maps/place/Riad+Boustan/data=!4m2!3m1!1s0xd9ff35422b3669d:0x368d1797c483e792,,
Agadir Medina,,https://www.google.com/maps/place/Agadir+Medina/data=!4m2!3m1!1s0xdb3b7941c6f876d:0xdc36351730a671c7,,
Mur de Souvenir Agadir,,https://www.google.com/maps/place/Mur+de+Souvenir+Agadir/data=!4m2!3m1!1s0xdb3b6f19b182931:0xadb70254039ce935,,
Saadian Tombs,,https://www.google.com/maps/place/Saadian+Tombs/data=!4m2!3m1!1s0xdafee4f1b2c320b:0xfdc76aef839e6ece,,
Bahia Palace,,https://www.google.com/maps/place/Bahia+Palace/data=!4m2!3m1!1s0xdafee4772c14bab:0x82985f4745817fdb,,
Tanneries,,https://www.google.com/maps/place/Tanneries/data=!4m2!3m1!1s0xdafee1451150d41:0x3f8a6d1719680f49,,
Riad L'Artiste,,https://www.google.com/maps/place/Riad+L'Artiste/data=!4m2!3m1!1s0xd9f8b3f1deff54d:0x674668a70cebe1a2,,
Jardin Majorelle,,https://www.google.com/maps/place/Jardin+Majorelle/data=!4m2!3m1!1s0xdafee878b66b78f:0x88ccf6c9ced0f11c,,
El Badi Palace,,https://www.google.com/maps/place/El+Badi+Palace/data=!4m2!3m1!1s0xdafee4604ce6195:0xea9a85527a0e5a61,,
Asilah,,https://www.google.com/maps/place/Asilah/data=!4m2!3m1!1s0xd0b94f019723137:0x2e207493979aea23,,
Chefchaouen,,https://www.google.com/maps/place/Chefchaouen/data=!4m2!3m1!1s0xd0b265e6402d907:0x91548980ce97ea0c,,
Taghazout,,https://www.google.com/maps/place/Taghazout/data=!4m2!3m1!1s0xdb24d4538db0173:0x3d5bf22fe7d11aca,,
Attijariwafa Bank,,https://www.google.com/maps/place/Attijariwafa+Bank/data=!4m2!3m1!1s0xdafee8e7d66fe2d:0xbb1f7ce7caae1241,,
Riad El Amine Fes,,https://www.google.com/maps/place/Riad+El+Amine+Fes/data=!4m2!3m1!1s0xd9ff355cafdc595:0x55ea0770b36a43d3,,
Koutoubia,,https://www.google.com/maps/place/Koutoubia/data=!4m2!3m1!1s0xdafee5c99d75ddf:0xd8cd38139a6e6fc2,,
Hôtel Tazi,,https://www.google.com/maps/place/H%C3%B4tel+Tazi/data=!4m2!3m1!1s0xdafee91eb655555:0x71fb64482f80c787,,
Cinéma Salam,,https://www.google.com/maps/place/Cin%C3%A9ma+Salam/data=!4m2!3m1!1s0xdb3b70010e5d381:0xca082d1e39437160,,
