Title,Note,URL,Tags,Comment
,,,,
Mimì alla Ferrovia,,https://www.google.com/maps/place/Mim%C3%AC+alla+Ferrovia/data=!4m2!3m1!1s0x133b081435ff85df:0xb632f1831c241ca3,,
Palazzo dello Spagnolo,,https://www.google.com/maps/place/Palazzo+dello+Spagnolo/data=!4m2!3m1!1s0x133b09ddfeacd7af:0xda8dbb097004bb1c,,
Fontanelle Cemetery,,https://www.google.com/maps/place/Fontanelle+Cemetery/data=!4m2!3m1!1s0x133b0863dea6cbf5:0x871c96bd0b8fb4,,
Carraturo,,https://www.google.com/maps/place/Carraturo/data=!4m2!3m1!1s0x133b08140d66c157:0x4ffebb24d18e1231,,
Il Cuoppo | San Biagio Dei Librai,,https://www.google.com/maps/place/Il+Cuoppo+%7C+San+Biagio+Dei+Librai/data=!4m2!3m1!1s0x133b0841775d5ca9:0xeb3ae9de1f74b4be,,
Pizzeria De' Figliole,,https://www.google.com/maps/place/Pizzeria+De'+Figliole/data=!4m2!3m1!1s0x133b083ffda05899:0xa45081fb151edf7e,,
Barber Men di Enzo e Andrea Cardinale,,https://www.google.com/maps/place/Barber+Men+di+Enzo+e+Andrea+Cardinale/data=!4m2!3m1!1s0x133b08539456f971:0x6a26521269fd1e5d,,
PdG Boat tours,,https://www.google.com/maps/place/PdG+Boat+tours/data=!4m2!3m1!1s0x133b9fd400aa1581:0xe62863cec4731d51,,
"Centro Estetico TreR Benessere & Solarium ( Specializzati in modellamento 
Corpo)",,https://www.google.com/maps/place/Centro+Estetico+TreR+Benessere+%26+Solarium+(+Specializzati+in+modellamento+%0ACorpo)/data=!4m2!3m1!1s0x133b0851945ddcfb:0xfa565f8f37405312,,
Villa Capri Blue Luxury,,https://www.google.com/maps/place/Villa+Capri+Blue+Luxury/data=!4m2!3m1!1s0x133b79a6a82ed273:0xaa0db8921ab93f55,,
Pepe In Grani,,https://www.google.com/maps/place/Pepe+In+Grani/data=!4m2!3m1!1s0x133a59e37570d13b:0x7b41d14a04549d2a,,
Royal Palace of Naples,,https://www.google.com/maps/place/Royal+Palace+of+Naples/data=!4m2!3m1!1s0x133b08525b44e79f:0x3f8bbbcb0c24edc9,,
Royal Palace of Caserta,,https://www.google.com/maps/place/Royal+Palace+of+Caserta/data=!4m2!3m1!1s0x133a55b22aed1333:0xc79c020a24847245,,
Piazza del Plebiscito,,https://www.google.com/maps/place/Piazza+del+Plebiscito/data=!4m2!3m1!1s0x133b085255ec54b9:0x8ad9122a45803c14,,
Spazio TRA,,https://www.google.com/maps/place/Spazio+TRA/data=!4m2!3m1!1s0x133b09924e3452a9:0x305f0fc78dda248d,,
Osteria Il Gobbetto,,https://www.google.com/maps/place/Osteria+Il+Gobbetto/data=!4m2!3m1!1s0x133b0853d159ad1b:0x974b58e0087cbf32,,
Starita,,https://www.google.com/maps/place/Starita/data=!4m2!3m1!1s0x133b0866d895ff1d:0x1e7dba27bd2d6f26,,
