Title,Note,URL,Tags,Comment
,,,🎏 Things to do;🍜 Eats;🏩 Places to stay;🤡 Misc;☕️ Cafes,
Upper Mustang Trek,,https://www.google.com/maps/place/Upper+Mustang+Trek/data=!4m2!3m1!1s0x39be6135f583b205:0x83c0e9ae887804a4,🎏 Things to do,
Manaslu,,https://www.google.com/maps/place/Manaslu/data=!4m2!3m1!1s0x399561c4f234ba25:0x147b79ae63ec0561,🎏 Things to do,
Kailashnath Mahadev Statue,2nd tallest statue of Shiva,https://www.google.com/maps/place/Kailashnath+Mahadev+Statue/data=!4m2!3m1!1s0x39eb0f753fffff8b:0xa7066333d51960b4,🎏 Things to do,
Nyatapola Temple,,https://www.google.com/maps/place/Nyatapola+Temple/data=!4m2!3m1!1s0x39eb1aafaf52a8d9:0x8552bfb072200f12,🎏 Things to do,
Dakshinkali Temple,animal sacrifices on tue-sat,https://www.google.com/maps/place/Dakshinkali+Temple/data=!4m2!3m1!1s0x39eb3d8343da7cf1:0x7e8c223bf4e3bd6,🎏 Things to do,
Freak St,,https://www.google.com/maps/place/Freak+St/data=!4m2!3m1!1s0x39eb18563f4e892f:0x83500e0136bc5e02,🎏 Things to do,
KATHI SWOYAMBHU,,https://www.google.com/maps/place/KATHI+SWOYAMBHU/data=!4m2!3m1!1s0x39eb18fe95694315:0xab1d114c5f6fa0bd,🎏 Things to do,
Indra Chowk,,https://www.google.com/maps/place/Indra+Chowk/data=!4m2!3m1!1s0x39eb18f8b1f81bb9:0x83fb48b980611efa,🎏 Things to do,
Janabaha Dyo (Seto MachhindraNath Temple),,https://www.google.com/maps/place/Janabaha+Dyo+(Seto+MachhindraNath+Temple)/data=!4m2!3m1!1s0x39eb18ff12be0b27:0xb83d92dd78421bb0,🎏 Things to do,
Embassy of India,,https://www.google.com/maps/place/Embassy+of+India/data=!4m2!3m1!1s0x39eb191e8576bc19:0x52a2988f41df8e98,🤡 Misc,
Ring Rd,Bus stop,https://www.google.com/maps/place/Ring+Rd/data=!4m2!3m1!1s0x39eb19f229e18bd5:0xb527f3b3b76e6056,🤡 Misc,
Pashupatinath Temple Cremation Complex - पशुपतिनाथ मन्दिर आर्यघाट,,https://www.google.com/maps/place/Pashupatinath+Temple+Cremation+Complex+-+%E0%A4%AA%E0%A4%B6%E0%A5%81%E0%A4%AA%E0%A4%A4%E0%A4%BF%E0%A4%A8%E0%A4%BE%E0%A4%A5+%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%BF%E0%A4%B0+%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%98%E0%A4%BE%E0%A4%9F/data=!4m2!3m1!1s0x39eb19c660451ae1:0x5c1af92dcd590731,🎏 Things to do,
Chitwan National Park,,https://www.google.com/maps/place/Chitwan+National+Park/data=!4m2!3m1!1s0x3994b0337772df43:0xafa1603d5d63a217,🎏 Things to do,
Gongabu Bus Park,,https://www.google.com/maps/place/Gongabu+Bus+Park/data=!4m2!3m1!1s0x39eb18dc1d3ae109:0x18613d6dc3511853,🤡 Misc,
Nepal Travel Experience,Kukur tihar,https://www.google.com/maps/place/Nepal+Travel+Experience/data=!4m2!3m1!1s0x39eb19b8872ae147:0xc30d501debcf0799,🤡 Misc,
