Title,Note,URL,Tags,Comment
,,,🎏 Things to do;🏨 Places to stay;☕️ Cafes;🤡 Misc,
Mt. Giluwe,,https://www.google.com/maps/place/Mt.+Giluwe/data=!4m2!3m1!1s0x685a17a47521eb4b:0xe1c2f287d8364ae,🎏 Things to do,
Port Moresby Nature Park,,https://www.google.com/maps/place/Port+Moresby+Nature+Park/data=!4m2!3m1!1s0x69023a73a8debabf:0x463a665683521271,🎏 Things to do,
Papua New Guinea National Museum & Art Gallery,,https://www.google.com/maps/place/Papua+New+Guinea+National+Museum+%26+Art+Gallery/data=!4m2!3m1!1s0x690230b2a1d41111:0x1052b58afb8e605c,🎏 Things to do,
Mt Wilhelm,,https://www.google.com/maps/place/Mt+Wilhelm/data=!4m2!3m1!1s0x6858f66ea8524185:0x6667cdf0e678bfdd,🎏 Things to do,
Betty's Lodge,,https://www.google.com/maps/place/Betty's+Lodge/data=!4m2!3m1!1s0x6858f59b5b5e13d3:0x56baefc1841a7723,🏨 Places to stay,
Goroka,,https://www.google.com/maps/place/Goroka/data=!4m2!3m1!1s0x68587364e20e5af7:0x66d4608ad2f105f7,,
Mount Hagen Market,,https://www.google.com/maps/place/Mount+Hagen+Market/data=!4m2!3m1!1s0x685984ea4cdc5007:0xa0b5bf7bd53b652a,,
Shalom Mission Estates,,https://www.google.com/maps/place/Shalom+Mission+Estates/data=!4m2!3m1!1s0x6859855809fab8c1:0xb226217dd4bd8ead,🏨 Places to stay,
The Mill Coffee Shop,,https://www.google.com/maps/place/The+Mill+Coffee+Shop/data=!4m2!3m1!1s0x685985c747d6a5bf:0x1e986698943281aa,,
PNG Air Ticket Office,,https://www.google.com/maps/place/PNG+Air+Ticket+Office/data=!4m2!3m1!1s0x685985ec82c5db95:0x956c683785039903,,
Tavurvur Volcano,,https://www.google.com/maps/place/Tavurvur+Volcano/data=!4m2!3m1!1s0x68bf73b5e2e99a03:0x875545cacdbd93a8,,
