Title,Note,URL,Tags,Comment
,,,,
START Villa Morra,,https://www.google.com/maps/place/START+Villa+Morra/data=!4m2!3m1!1s0x945da89944e92a07:0x686feaf89fb2fb47,,
Five Hotel & Residences,,https://www.google.com/maps/place/Five+Hotel+%26+Residences/data=!4m2!3m1!1s0x945da898f7235555:0xbfb791e3b5f78501,,
Estancia Aventura,,https://www.google.com/maps/place/Estancia+Aventura/data=!4m2!3m1!1s0x945c2d4716bbb427:0xf295e26a2a059387,,
GABA Hobby Center,,https://www.google.com/maps/place/GABA+Hobby+Center/data=!4m2!3m1!1s0x94f685555130ab4d:0xde17a73cba0a86ab,,
Nissei,,https://www.google.com/maps/place/Nissei/data=!4m2!3m1!1s0x94f68ffffd6c06cd:0xcb5d2580570b6ab,,
Mega Eletrônicos,,https://www.google.com/maps/place/Mega+Eletr%C3%B4nicos/data=!4m2!3m1!1s0x94f69aaab18adfd7:0x7d46f66085312055,,
Consulado Honorário da Itália en Ciudad del Este y Canindeyu,,https://www.google.com/maps/place/Consulado+Honor%C3%A1rio+da+It%C3%A1lia+en+Ciudad+del+Este+y+Canindeyu/data=!4m2!3m1!1s0x94f69aaaf208d83b:0x3da5b9b04533fb7b,,
Cellshop - Importados Paraguay,,https://www.google.com/maps/place/Cellshop+-+Importados+Paraguay/data=!4m2!3m1!1s0x94f685554f06f963:0x64466f5af3a901a4,,
Templo Chen Tien,,https://www.google.com/maps/place/Templo+Chen+Tien/data=!4m2!3m1!1s0x94f69b247511175b:0xd46d852de3dc1f7,,
Roma Shopping,,https://www.google.com/maps/place/Roma+Shopping/data=!4m2!3m1!1s0x94f68554d771c60f:0x333a0adf41260f6a,,
Shopping China Importados,,https://www.google.com/maps/place/Shopping+China+Importados/data=!4m2!3m1!1s0x94f69001001969b1:0x428cf8a2134df515,,
Shopping Taipei,,https://www.google.com/maps/place/Shopping+Taipei/data=!4m2!3m1!1s0x94f685555c920933:0xac2b1310db16e55d,,
Sanatorio Central,,https://www.google.com/maps/place/Sanatorio+Central/data=!4m2!3m1!1s0x94f68542d31aee8f:0x2949f46d10fe1890,,
