Title,Note,URL,Tags,Comment
,,,,
qema Mancora,,https://www.google.com/maps/place/qema+Mancora/data=!4m2!3m1!1s0x903691ce1be51a39:0xdeaddb48129524a8,,
Selina Huaraz,,https://www.google.com/maps/place/Selina+Huaraz/data=!4m2!3m1!1s0x91a90d0ed85ae71f:0xbfcd41501fb5b327,,
qema Arequipa,,https://www.google.com/maps/place/qema+Arequipa/data=!4m2!3m1!1s0x91424a51dbf4faa9:0xcc899fe212e657f1,,
Hotel Puerto Antiguo,,https://www.google.com/maps/place/Hotel+Puerto+Antiguo/data=!4m2!3m1!1s0x9036928f4574e191:0x8f9e2d09d738f317,,
Manka Fusión Artesanal,,https://www.google.com/maps/place/Manka+Fusi%C3%B3n+Artesanal/data=!4m2!3m1!1s0x91a90d0fd920b417:0x8b3daa988138fbe5,,
Zona vip,,https://www.google.com/maps/place/Zona+vip/data=!4m2!3m1!1s0x91a90d0e2c170a95:0x92cf962400183430,,
Cala Tratoria,,https://www.google.com/maps/place/Cala+Tratoria/data=!4m2!3m1!1s0x916d9a83bd853409:0x5caf6c8edf82bd65,,
Wild Rover Beach Mancora,,https://www.google.com/maps/place/Wild+Rover+Beach+Mancora/data=!4m2!3m1!1s0x903691ffc90bc5b9:0xf6bb6e76c7b06fa3,,
RESTOBAR VENEZIA,,https://www.google.com/maps/place/RESTOBAR+VENEZIA/data=!4m2!3m1!1s0x9036930000960517:0x3d9fcec094426709,,
Laundry,,https://www.google.com/maps/place/Laundry/data=!4m2!3m1!1s0x916dd6744e3b86bf:0x75c77ffd09e74f91,,
Lavanderia inka,,https://www.google.com/maps/place/Lavanderia+inka/data=!4m2!3m1!1s0x916dd60cb23b4cd5:0x9913e7a7938b9c76,,
La Boulangerie de Paris - Machupicchu,,https://www.google.com/maps/place/La+Boulangerie+de+Paris+-+Machupicchu/data=!4m2!3m1!1s0x916d9a83bd70c2af:0xd28cc5678b7a80ae,,
Spa Bambú Machupicchu Cusco,,https://www.google.com/maps/place/Spa+Bamb%C3%BA+Machupicchu+Cusco/data=!4m2!3m1!1s0x916d9b3938ba2dcb:0x405eabf9f6a8e8c3,,
Choquequirao Archaeological Park,,https://www.google.com/maps/place/Choquequirao+Archaeological+Park/data=!4m2!3m1!1s0x916d0dc66e10a8bf:0xdf84c4fb0f3b34c1,,
Lake Salinas,,https://www.google.com/maps/place/Lake+Salinas/data=!4m2!3m1!1s0x9142fe57d3610699:0x4ab2d57b7446ee41,,
Colca Canyon,,https://www.google.com/maps/place/Colca+Canyon/data=!4m2!3m1!1s0x9169e734ffffffff:0xf48bc9d1b3a1cf02,,
Salt Mine of Maras,,https://www.google.com/maps/place/Salt+Mine+of+Maras/data=!4m2!3m1!1s0x916dc2c50bc8d515:0x2232a3f3560d29c9,,
Chango Club Cusco,,https://www.google.com/maps/place/Chango+Club+Cusco/data=!4m2!3m1!1s0x916dd673c9c47e11:0x38f0fefbed6613a0,,
Morena Peruvian Kitchen,,https://www.google.com/maps/place/Morena+Peruvian+Kitchen/data=!4m2!3m1!1s0x916dd673c0967bcb:0xfac43d1ccc1a2820,,
Carpe Diem Cucina Italiana,,https://www.google.com/maps/place/Carpe+Diem+Cucina+Italiana/data=!4m2!3m1!1s0x916dd673c0e57d55:0xfffe46e706c957f1,,
L'atelier Café Concept,,https://www.google.com/maps/place/L'atelier+Caf%C3%A9+Concept/data=!4m2!3m1!1s0x916dd672cf122121:0x52bc568b877387f1,,
Mirador de San Blas,,https://www.google.com/maps/place/Mirador+de+San+Blas/data=!4m2!3m1!1s0x916dd60d18fad1dd:0x11a108e8084e44b5,,
Mirador de Sán Cristobal,,https://www.google.com/maps/place/Mirador+de+S%C3%A1n+Cristobal/data=!4m2!3m1!1s0x916dd672423fffff:0x4e4e2fd101f699a2,,
Mercado Central de San Pedro,,https://www.google.com/maps/place/Mercado+Central+de+San+Pedro/data=!4m2!3m1!1s0x916dd67664356669:0x66d1176e24a485a0,,
Selina Plaza de Armas Cusco,,https://www.google.com/maps/place/Selina+Plaza+de+Armas+Cusco/data=!4m2!3m1!1s0x916dd7be82566ccb:0xf9d10b35c36402bc,,
Mural Cuzco,,https://www.google.com/maps/place/Mural+Cuzco/data=!4m2!3m1!1s0x916dd60aa60ada5d:0x54bbeba797d40b7b,,
Qorikancha,,https://www.google.com/maps/place/Qorikancha/data=!4m2!3m1!1s0x916dd60accf73e25:0x699118adc425673d,,
MERCADO ARTESANAL DE CUSCO PERÚ,,https://www.google.com/maps/place/MERCADO+ARTESANAL+DE+CUSCO+PER%C3%9A/data=!4m2!3m1!1s0x916dd5e1b4a93329:0x9d785ea5f75ce9be,,
Manolo,,https://www.google.com/maps/place/Manolo/data=!4m2!3m1!1s0x9105c81914989b8b:0x81958d9e60e51a,,
Central,,https://www.google.com/maps/place/Central/data=!4m2!3m1!1s0x9105b7e1872d5bd3:0x5f5d8fa5bbdab11c,,
Lima Cathedral,,https://www.google.com/maps/place/Lima+Cathedral/data=!4m2!3m1!1s0x9105c8b69b18788f:0x24a3f9a6ea440db,,
"Basílica and Convent of San Francisco, Lima",,"https://www.google.com/maps/place/Bas%C3%ADlica+and+Convent+of+San+Francisco,+Lima/data=!4m2!3m1!1s0x9105c8b3f9d649f5:0x690856dd27651ec5",,
Huaca Huallamarca,,https://www.google.com/maps/place/Huaca+Huallamarca/data=!4m2!3m1!1s0x9105c844b5a0401d:0x499c3199538c28e8,,
Artisan Gallery San Francisco,,https://www.google.com/maps/place/Artisan+Gallery+San+Francisco/data=!4m2!3m1!1s0x9105c8b404cfed1f:0x163b7c90d3b0cff7,,
Malala,,https://www.google.com/maps/place/Malala/data=!4m2!3m1!1s0x9105c9f3e13fbf09:0xe09d888ee35030ab,,
Lavandería CLEAN EXPRESS,,https://www.google.com/maps/place/Lavander%C3%ADa+CLEAN+EXPRESS/data=!4m2!3m1!1s0x9105c976b9de6f79:0x7e4b3d4717d0bbd4,,
NAIA Miraflores - formerly Selina Miraflores Lima,,https://www.google.com/maps/place/NAIA+Miraflores+-+formerly+Selina+Miraflores+Lima/data=!4m2!3m1!1s0x9105c81958b7d7df:0x45248ec993093c21,,
La Destilería,,https://www.google.com/maps/place/La+Destiler%C3%ADa/data=!4m2!3m1!1s0x9105c8187320b0a3:0xb0749465261ce862,,
Panchita - Miraflores,,https://www.google.com/maps/place/Panchita+-+Miraflores/data=!4m2!3m1!1s0x9105c81797728d45:0x7bd7379c9cb86aa8,,
Love Park,,https://www.google.com/maps/place/Love+Park/data=!4m2!3m1!1s0x9105c82109b00d75:0x4968160a9f272918,,
Navy Lighthouse,,https://www.google.com/maps/place/Navy+Lighthouse/data=!4m2!3m1!1s0x9105c824155b389f:0xd16de2f9bc56fc76,,
AMARCORD Trattoria,,https://www.google.com/maps/place/AMARCORD+Trattoria/data=!4m2!3m1!1s0x9105c9a990cb661f:0x3c0f4b03ec627468,,
Pastelería San Antonio,,https://www.google.com/maps/place/Pasteler%C3%ADa+San+Antonio/data=!4m2!3m1!1s0x9105c81d64ebef2f:0x538baadf63cca807,,
Mandala,,https://www.google.com/maps/place/Mandala/data=!4m2!3m1!1s0x9105c9c260526cd5:0x60b55da7ba273d2a,,
CompuPalace,,https://www.google.com/maps/place/CompuPalace/data=!4m2!3m1!1s0x9105c816d742d787:0x6c12c8fdd0b820b7,,
KUNA Larco,,https://www.google.com/maps/place/KUNA+Larco/data=!4m2!3m1!1s0x9105c819377344c5:0x88558db6bb26ad01,,
