Title,Note,URL,Tags,Comment
,,,🎏 Things to do;🏩 Places to stay;🍜 Eats;🍸 Bar;🤡 Misc;☕️ Cafes,
Greyhound Café Ayala Triangle,,https://www.google.com/maps/place/Greyhound+Caf%C3%A9+Ayala+Triangle/data=!4m2!3m1!1s0x3397c95b084391f9:0x51a3b06377afe478,,
Buscalan Tattoo and Apo Whang-Od,,https://www.google.com/maps/place/Buscalan+Tattoo+and+Apo+Whang-Od/data=!4m2!3m1!1s0x338fc78aea91e5cf:0x98c5cab846cd7860,🎏 Things to do,
EnClean Transportation,,https://www.google.com/maps/place/EnClean+Transportation/data=!4m2!3m1!1s0x338fd3cc074e0e39:0xe34e5fa169711569,🤡 Misc,
OYO 1100 Marian Palazz Hotel,,https://www.google.com/maps/place/OYO+1100+Marian+Palazz+Hotel/data=!4m2!3m1!1s0x3391a147300eca29:0x507fc52ac813d0d6,🏩 Places to stay,
Grumpy Joe Upper Session Road,,https://www.google.com/maps/place/Grumpy+Joe+Upper+Session+Road/data=!4m2!3m1!1s0x3391a1736daf45a7:0xcf4a0a2023ff0622,🍜 Eats,
Seollem Cafe,,https://www.google.com/maps/place/Seollem+Cafe/data=!4m2!3m1!1s0x3391a155a6d6f3bf:0xa943dca3f8a0358b,☕️ Cafes,
Victory Liner Inc. Baguio City,,https://www.google.com/maps/place/Victory+Liner+Inc.+Baguio+City/data=!4m2!3m1!1s0x3391a141533feabf:0x7b407af63940559f,🤡 Misc,
D' Rising Sun Transport System Inc.,,https://www.google.com/maps/place/D'+Rising+Sun+Transport+System+Inc./data=!4m2!3m1!1s0x3391a1975d8accb3:0x3aa8828c08abbcd3,🤡 Misc,
GL Trans Corporation (Baguio City Terminal),,https://www.google.com/maps/place/GL+Trans+Corporation+(Baguio+City+Terminal)/data=!4m2!3m1!1s0x3391a100325df609:0x3a422f87bbf37af5,🤡 Misc,
CUBAO BUS TERMINAL,,https://www.google.com/maps/place/CUBAO+BUS+TERMINAL/data=!4m2!3m1!1s0x3397b7000d3b1b27:0xcc4bc34b4cdde480,🤡 Misc,
Booze & Brews Bar & Café,,https://www.google.com/maps/place/Booze+%26+Brews+Bar+%26+Caf%C3%A9/data=!4m2!3m1!1s0x3397c9a9a3b50699:0xf014d434a5320a95,🍸 Bar,
LAC Nutrition For Life - Century City Mall,,https://www.google.com/maps/place/LAC+Nutrition+For+Life+-+Century+City+Mall/data=!4m2!3m1!1s0x3397c94da3589d7d:0x1612ed0c06f2b908,🤡 Misc,
Oltre - Specialty Coffee,,https://www.google.com/maps/place/Oltre+-+Specialty+Coffee/data=!4m2!3m1!1s0x3397c9004fc241f1:0xca03d950239c102e,☕️ Cafes,
Fifty Nine Flower Cafe,,https://www.google.com/maps/place/Fifty+Nine+Flower+Cafe/data=!4m2!3m1!1s0x3397c93d2ee4af2b:0x1cbc91803db0ee10,☕️ Cafes,
Nomu Cafe Jupiter,,https://www.google.com/maps/place/Nomu+Cafe+Jupiter/data=!4m2!3m1!1s0x3397c9ab955ccbaf:0x296060109e5f9f2e,☕️ Cafes,
El Mundo Cafe,,https://www.google.com/maps/place/El+Mundo+Cafe/data=!4m2!3m1!1s0x3397c9c0cbdfb301:0xbbfbf0adefa59003,☕️ Cafes,
Lub d Manila Makati,,https://www.google.com/maps/place/Lub+d+Manila+Makati/data=!4m2!3m1!1s0x3397c9ab81d906bd:0xb76546fadb04ecb,,
