Title,Note,URL,Tags,Comment
,,,,
Makinit Hot Springs,,https://www.google.com/maps/place/Makinit+Hot+Springs/data=!4m2!3m1!1s0x33b7073917dadbc7:0x61a9ad48630509e3,,
Nacpan Beach,,https://www.google.com/maps/place/Nacpan+Beach/data=!4m2!3m1!1s0x33b70778b8e77e77:0x1ca10e91bef9c5e0,,
Las Cabañas Beach,,https://www.google.com/maps/place/Las+Caba%C3%B1as+Beach/data=!4m2!3m1!1s0x33b655be1e99de95:0x314adfe0f19d76c5,,
Duli Beach,,https://www.google.com/maps/place/Duli+Beach/data=!4m2!3m1!1s0x33b707d499db6fa9:0xbd47b43b593e8eaf,,
Spin Designer Hostel,,https://www.google.com/maps/place/Spin+Designer+Hostel/data=!4m2!3m1!1s0x33b655156dd12a7b:0xb6f5849a1c23d89,,
Dolarog Beach,,https://www.google.com/maps/place/Dolarog+Beach/data=!4m2!3m1!1s0x33b655e964d93fdb:0x648bb2164bbcddea,,
Calitang Beach,,https://www.google.com/maps/place/Calitang+Beach/data=!4m2!3m1!1s0x33b707a4ef9d0035:0x2cb782830e7eca79,,
Outpost Beach Hostel,,https://www.google.com/maps/place/Outpost+Beach+Hostel/data=!4m2!3m1!1s0x33b6559ee370d0a5:0x78be6d8c7c210444,,
Kame House Backpackers,,https://www.google.com/maps/place/Kame+House+Backpackers/data=!4m2!3m1!1s0x33b6559ebe7b88b9:0xe6dba7116d4971a9,,
Caalan Beach,,https://www.google.com/maps/place/Caalan+Beach/data=!4m2!3m1!1s0x33b65547ec14307f:0x7578fc9843b25178,,
Lio Beach,,https://www.google.com/maps/place/Lio+Beach/data=!4m2!3m1!1s0x33b7aaa86995c247:0x6ef654479d4ccef2,,
Port Barton,,https://www.google.com/maps/place/Port+Barton/data=!4m2!3m1!1s0x33b5db5ff71414c9:0x940f092f74b1657a,,
Long Beach,,https://www.google.com/maps/place/Long+Beach/data=!4m2!3m1!1s0x33b5d631c107ce69:0xda38e5297790c9a,,
Sibaltan beach,,https://www.google.com/maps/place/Sibaltan+beach/data=!4m2!3m1!1s0x33b705103e0a03eb:0x610d5092dac7329a,,
Flag 5 - LON,,https://www.google.com/maps/place/Flag+5+-+LON/data=!4m2!3m1!1s0x33a189005db67a81:0xb8bf2294e864b3ba,,
Harana Surf Resort,,https://www.google.com/maps/place/Harana+Surf+Resort/data=!4m2!3m1!1s0x330409f22b04ef89:0xe5401d1811492da9,,
Lexias Hostel Workspace Siargao,,https://www.google.com/maps/place/Lexias+Hostel+Workspace+Siargao/data=!4m2!3m1!1s0x3304097875e0f1b9:0x283e836dc255e97c,,
Bravo Beach Resort Siargao,,https://www.google.com/maps/place/Bravo+Beach+Resort+Siargao/data=!4m2!3m1!1s0x3303f61b88f26039:0xfeaaeb2fefe65ba5,,
Balili Farm at Nacpan El Nido,,https://www.google.com/maps/place/Balili+Farm+at+Nacpan+El+Nido/data=!4m2!3m1!1s0x33b70782eb8cd6ff:0x8ec1d9b25c346c6d,,
ALTER SPACE Siargao Workspace and Coliving,,https://www.google.com/maps/place/ALTER+SPACE+Siargao+Workspace+and+Coliving/data=!4m2!3m1!1s0x330409771f5dcc05:0xabe6f8fe7e9fffca,,
Coco Space | Siargao Coworking Space & Community,,https://www.google.com/maps/place/Coco+Space+%7C+Siargao+Coworking+Space+%26+Community/data=!4m2!3m1!1s0x33040994248d7453:0x57a47f28b4effd04,,
