Title,Note,URL,Tags,Comment
,,,,
Century Hotel Doha,,https://www.google.com/maps/place/Century+Hotel+Doha/data=!4m2!3m1!1s0x3e45c5727db905a3:0xa5608bb10d162546,,
Cove by Imtiaz,,https://www.google.com/maps/place/Cove+by+Imtiaz/data=!4m2!3m1!1s0x3e5f65d97cf9d303:0x3de3b5fe9ceac886,,
Souq Waqif,,https://www.google.com/maps/place/Souq+Waqif/data=!4m2!3m1!1s0x3e45c53f0303db9d:0xd5ec570c61f4d708,,
Jungshi Handmade Paper Factory,,https://www.google.com/maps/place/Jungshi+Handmade+Paper+Factory/data=!4m2!3m1!1s0x39e1946b5483fb51:0x612c6d98d6609638,,
CHIX,,https://www.google.com/maps/place/CHIX/data=!4m2!3m1!1s0x3e45c30045057cf3:0xa191010b73867620,,
Aljazeera Kabab Restaurant - IRANI,,https://www.google.com/maps/place/Aljazeera+Kabab+Restaurant+-+IRANI/data=!4m2!3m1!1s0x3e45c57296907169:0x968d11963e3a9c23,,
Lamazani Grill,,https://www.google.com/maps/place/Lamazani+Grill/data=!4m2!3m1!1s0x3e45c569f6b20059:0x76d927383120fe42,,
CRUST BY RUSK RESTAURANT,,https://www.google.com/maps/place/CRUST+BY+RUSK+RESTAURANT/data=!4m2!3m1!1s0x3e45c5850d374583:0xd63f2b975329d2f9,,
QNB ATM Mathaf Tower,,https://www.google.com/maps/place/QNB+ATM+Mathaf+Tower/data=!4m2!3m1!1s0x3e45c512aa868cd7:0x95f698ddb60456d6,,
