Title,Note,URL,Tags,Comment
,,,,
Yekaterinburg,,https://www.google.com/maps/place/Yekaterinburg/data=!4m2!3m1!1s0x43c16e76c8d23b73:0xc69d1ded4d79b120,,
Cathedral of Christ the Saviour,,https://www.google.com/maps/place/Cathedral+of+Christ+the+Saviour/data=!4m2!3m1!1s0x46b54bac9fc13ca9:0x4b16fe357fece312,,
Gelendzhik,,https://www.google.com/maps/place/Gelendzhik/data=!4m2!3m1!1s0x40f18f4e2e7fb9ad:0x9c7bc0b3f2a23016,,
Belka Hostel,,https://www.google.com/maps/place/Belka+Hostel/data=!4m2!3m1!1s0x5da886da92d754a1:0x387f8eaff2513e45,,
Z Hostel,,https://www.google.com/maps/place/Z+Hostel/data=!4m2!3m1!1s0x5da83b4bea3d9937:0x5a6d85d99a26e03f,,
"Сибирская Пельменная ""Реальный Замес""",,https://www.google.com/maps/place/%D0%A1%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA%D0%B0%D1%8F+%D0%9F%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F+%22%D0%A0%D0%B5%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%97%D0%B0%D0%BC%D0%B5%D1%81%22/data=!4m2!3m1!1s0x5da83b367b18ba35:0xa4b13de692019944,,
Three dimensions,,https://www.google.com/maps/place/Three+dimensions/data=!4m2!3m1!1s0x5da887244c743ed1:0x33fc8e66c4dcd6c3,,
Memorial Eternal Flame,,https://www.google.com/maps/place/Memorial+Eternal+Flame/data=!4m2!3m1!1s0x5da824cb9ee8256d:0xe6bb10a0760340d9,,
Monument to Leonid Gaidai,,https://www.google.com/maps/place/Monument+to+Leonid+Gaidai/data=!4m2!3m1!1s0x5da83b3590714c69:0x2611bb8b4c5a3d8e,,
Skver Im. Kirova,,https://www.google.com/maps/place/Skver+Im.+Kirova/data=!4m2!3m1!1s0x5da824ca95fc99b1:0xf8b65e5bbb970c3c,,
Скульптура «Иркутская кошка»,,https://www.google.com/maps/place/%D0%A1%D0%BA%D1%83%D0%BB%D1%8C%D0%BF%D1%82%D1%83%D1%80%D0%B0+%C2%AB%D0%98%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA%D0%B0%D1%8F+%D0%BA%D0%BE%D1%88%D0%BA%D0%B0%C2%BB/data=!4m2!3m1!1s0x5da824b4accbbb55:0x1dfd436677076f3e,,
Бабр,,https://www.google.com/maps/place/%D0%91%D0%B0%D0%B1%D1%80/data=!4m2!3m1!1s0x5da83b4e3dda30b9:0xbbe2c29a50265208,,
Maket Tsentral'noy Chasti Goroda Irkutska,,https://www.google.com/maps/place/Maket+Tsentral'noy+Chasti+Goroda+Irkutska/data=!4m2!3m1!1s0x5da825879662a9b7:0x8236eb8657e514a9,,
12 Komnat,,https://www.google.com/maps/place/12+Komnat/data=!4m2!3m1!1s0x4696311ad56ac8ef:0xcce13f8c54d1dd0d,,
Strelka,,https://www.google.com/maps/place/Strelka/data=!4m2!3m1!1s0x46b54baa7dccc465:0xb4849a9d99e57f41,,
Corner Cafe&Kitchen,,https://www.google.com/maps/place/Corner+Cafe%26Kitchen/data=!4m2!3m1!1s0x46b54bb4e968e2b9:0x7acc23004142c7b6,,
Ulysses Pub,,https://www.google.com/maps/place/Ulysses+Pub/data=!4m2!3m1!1s0x46b54bb3c062510d:0x6b5858783d709f50,,
Special Music Sessions,,https://www.google.com/maps/place/Special+Music+Sessions/data=!4m2!3m1!1s0x46b54baa868a7d8f:0xcdfdcc3643601999,,
Moscow Point - Red October,,https://www.google.com/maps/place/Moscow+Point+-+Red+October/data=!4m2!3m1!1s0x46b54baaf42a2367:0x3a5de47251220f7c,,
Bulka Bakery,,https://www.google.com/maps/place/Bulka+Bakery/data=!4m2!3m1!1s0x46b54a23431a2175:0x7a7a5128c4ffabda,,
Port Artur,,https://www.google.com/maps/place/Port+Artur/data=!4m2!3m1!1s0x469631ac934e6ffd:0xec1e67eaf2257536,,
Narva,,https://www.google.com/maps/place/Narva/data=!4m2!3m1!1s0x4694482f109db363:0xec61841286d4246f,,
Giper Lenta,,https://www.google.com/maps/place/Giper+Lenta/data=!4m2!3m1!1s0x469630410670c221:0xc410898286d33c03,,
