Title,Note,URL,Tags,Comment
,,,🍸 Where to drink;🏚️ Where to stay;☕️ Cafe;🍲 Where to eat;🎏 Things to do,
Beishan Old Western Style House,,https://www.google.com/maps/place/Beishan+Old+Western+Style+House/data=!4m2!3m1!1s0x3414a2bb15e54485:0xfb936bd27e642f75,🏚️ Where to stay,
Xiamen International Cruise Center,,https://www.google.com/maps/place/Xiamen+International+Cruise+Center/data=!4m2!3m1!1s0x341484f2210176e3:0x4c5bed0b4cde567a,,
八八小屋心享民宿 - 團體包棟住宿 家庭親子 公司企業 學生閨蜜 旅遊人氣必住,,https://www.google.com/maps/place/%E5%85%AB%E5%85%AB%E5%B0%8F%E5%B1%8B%E5%BF%83%E4%BA%AB%E6%B0%91%E5%AE%BF+-+%E5%9C%98%E9%AB%94%E5%8C%85%E6%A3%9F%E4%BD%8F%E5%AE%BF+%E5%AE%B6%E5%BA%AD%E8%A6%AA%E5%AD%90+%E5%85%AC%E5%8F%B8%E4%BC%81%E6%A5%AD+%E5%AD%B8%E7%94%9F%E9%96%A8%E8%9C%9C+%E6%97%85%E9%81%8A%E4%BA%BA%E6%B0%A3%E5%BF%85%E4%BD%8F/data=!4m2!3m1!1s0x3414a257d7061e15:0xe9780353d0b23a67,🏚️ Where to stay,
Mi Hsiang Wu Canton Porridge,,https://www.google.com/maps/place/Mi+Hsiang+Wu+Canton+Porridge/data=!4m2!3m1!1s0x3414a26908de967b:0x598ac645330540a1,🍲 Where to eat,
Mudan,,https://www.google.com/maps/place/Mudan/data=!4m2!3m1!1s0x3442a909ba8837c1:0xfa3aec6775b6cf33,,
National Palace Museum,,https://www.google.com/maps/place/National+Palace+Museum/data=!4m2!3m1!1s0x3442ac3acd404a7d:0x5d6d7018397a09c1,🎏 Things to do,
Silin walking trail,,https://www.google.com/maps/place/Silin+walking+trail/data=!4m2!3m1!1s0x346e2193cc92b0cb:0x1e030e4e1e7de94f,🎏 Things to do,
Lion Mountain Historic Trail,,https://www.google.com/maps/place/Lion+Mountain+Historic+Trail/data=!4m2!3m1!1s0x34684ea555555555:0xab76c09cd8e014c3,🎏 Things to do,
Wufenpu Shopping District,,https://www.google.com/maps/place/Wufenpu+Shopping+District/data=!4m2!3m1!1s0x3442ab98bc85520b:0x5b6806889fa02f99,🎏 Things to do,
Gesetzte Markierung,,"https://www.google.com/maps/search/23.8698014,120.9273197",🎏 Things to do,
青龍山步道,,https://www.google.com/maps/place/%E9%9D%92%E9%BE%8D%E5%B1%B1%E6%AD%A5%E9%81%93/data=!4m2!3m1!1s0x3468d5c2ca52378b:0xeb2ccd1e8f76b97,🎏 Things to do,
Secret Coast Studio,,https://www.google.com/maps/place/Secret+Coast+Studio/data=!4m2!3m1!1s0x346f5090d7b12815:0x2e17bcb166cb5c,🍲 Where to eat,
外雙溪車輪釣蝦場,,https://www.google.com/maps/place/%E5%A4%96%E9%9B%99%E6%BA%AA%E8%BB%8A%E8%BC%AA%E9%87%A3%E8%9D%A6%E5%A0%B4/data=!4m2!3m1!1s0x3442ac354a1ed8f7:0xb2c07ef5042903e,🎏 Things to do,
Emack & Bolio's,,https://www.google.com/maps/place/Emack+%26+Bolio's/data=!4m2!3m1!1s0x3442abbbd465637f:0xad850b6d059c0098,🍲 Where to eat,
Alishan National Scenic Area,,https://www.google.com/maps/place/Alishan+National+Scenic+Area/data=!4m2!3m1!1s0x346edea144acf379:0x7e289d76b64185fb,🎏 Things to do,
沙拉灣瀑布 Saljavan Waterfall,,https://www.google.com/maps/place/%E6%B2%99%E6%8B%89%E7%81%A3%E7%80%91%E5%B8%83+Saljavan+Waterfall/data=!4m2!3m1!1s0x346e3087bc8e18c5:0xc0448544ec0905fd,🎏 Things to do,
中社觀光花市,,https://www.google.com/maps/place/%E4%B8%AD%E7%A4%BE%E8%A7%80%E5%85%89%E8%8A%B1%E5%B8%82/data=!4m2!3m1!1s0x34691aa35d34c91b:0x1be503eada28c92e,🎏 Things to do,
Donghe Township,,https://www.google.com/maps/place/Donghe+Township/data=!4m2!3m1!1s0x346fa037d3fafeb9:0xb7bfc554c9f202b1,,
921 Earthquake Museum of Taiwan,,https://www.google.com/maps/place/921+Earthquake+Museum+of+Taiwan/data=!4m2!3m1!1s0x34693ac6bbdcc543:0x732d62b3fdd5e662,🎏 Things to do,
Dongmen 3 Hostel 東門3號青年旅店,,https://www.google.com/maps/place/Dongmen+3+Hostel+%E6%9D%B1%E9%96%803%E8%99%9F%E9%9D%92%E5%B9%B4%E6%97%85%E5%BA%97/data=!4m2!3m1!1s0x3442a98292850745:0x7815048f5a718c9b,🏚️ Where to stay,
Sanmin Bat Cave,,https://www.google.com/maps/place/Sanmin+Bat+Cave/data=!4m2!3m1!1s0x346810ccacc48023:0xfa4c2fb1855f1701,🎏 Things to do,
Kaohsiung City,,https://www.google.com/maps/place/Kaohsiung+City/data=!4m2!3m1!1s0x346e43517a7a741b:0x4826a24a54732a37,🎏 Things to do,
