Title,Note,URL,Tags,Comment
,,,,
Nature Pine Residence,,https://www.google.com/maps/place/Nature+Pine+Residence/data=!4m2!3m1!1s0x30502f4a9b2ba467:0x4e28ebbdb96faebc,,
Roost Glamping,,https://www.google.com/maps/place/Roost+Glamping/data=!4m2!3m1!1s0x305029d490a67857:0x63bf89b59b4eae21,,
Thai Post Office - Rawai,,https://www.google.com/maps/place/Thai+Post+Office+-+Rawai/data=!4m2!3m1!1s0x305028b0b921ff59:0x64e984de7e8123b5,,
SFX Cinema Central Phuket,,https://www.google.com/maps/place/SFX+Cinema+Central+Phuket/data=!4m2!3m1!1s0x3050376a83ac41f3:0xf29d2ad590673691,,
Locanda Del Pescatore,,https://www.google.com/maps/place/Locanda+Del+Pescatore/data=!4m2!3m1!1s0x305029cb356149ed:0x4c4ab64c23e7ea9c,,
"Wat Chaloem Phra Kiat Phrachomklao Rachanusorn : วัดเฉลิมพระเกียรติ 
พระจอมเกล้า ราชานุสรณ์ (Sky Pagoda : เจดีย์ลอยฟ้า ยอดดอยพระบาท)",,https://www.google.com/maps/place/Wat+Chaloem+Phra+Kiat+Phrachomklao+Rachanusorn+:+%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%89%E0%B8%A5%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B8%95%E0%B8%B4+%0A%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%AD%E0%B8%A1%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2+%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2%E0%B8%99%E0%B8%B8%E0%B8%AA%E0%B8%A3%E0%B8%93%E0%B9%8C+(Sky+Pagoda+:+%E0%B9%80%E0%B8%88%E0%B8%94%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%A5%E0%B8%AD%E0%B8%A2%E0%B8%9F%E0%B9%89%E0%B8%B2+%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97)/data=!4m2!3m1!1s0x30d9980874f23a4b:0x70961b9df1038c42,,
DJI Experience Store - Central Chiangmai,,https://www.google.com/maps/place/DJI+Experience+Store+-+Central+Chiangmai/data=!4m2!3m1!1s0x30da258b96f938f7:0xdbc25b0265161a04,,
Riverside Arena,,https://www.google.com/maps/place/Riverside+Arena/data=!4m2!3m1!1s0x3b0873fffa978049:0x73b9554b1086f054,,
"Tiki Beach - Resort, Beach Bar, Restaurant, Co-working",,"https://www.google.com/maps/place/Tiki+Beach+-+Resort,+Beach+Bar,+Restaurant,+Co-working/data=!4m2!3m1!1s0x3054fe804e1fe0cf:0xeff1c4d76e0679fe",,
Namphung Phuket Boutique Resort,,https://www.google.com/maps/place/Namphung+Phuket+Boutique+Resort/data=!4m2!3m1!1s0x305028b9c612b153:0xd8b320243db95ddc,,
Selina,,https://www.google.com/maps/place/Selina/data=!4m2!3m1!1s0x30502f371faf9f13:0x8d35ccfab90ce31f,,
Z&Z Resort,,https://www.google.com/maps/place/Z%26Z+Resort/data=!4m2!3m1!1s0x30502f495e104471:0xfa39208f86900aa,,
The Beachfront Hotel,,https://www.google.com/maps/place/The+Beachfront+Hotel/data=!4m2!3m1!1s0x30502f3988f291e7:0x383659f17c90575a,,
Srithana Condominium 1,,https://www.google.com/maps/place/Srithana+Condominium+1/data=!4m2!3m1!1s0x30da3a895d737cb9:0xc454ed5277ee78c3,,
Blu Monkey Hub & Hotel Suratthani,,https://www.google.com/maps/place/Blu+Monkey+Hub+%26+Hotel+Suratthani/data=!4m2!3m1!1s0x3054066746f9caab:0x3dcb528461569b04,,
Little PP Hometel & Blue Sheep Cafe,,https://www.google.com/maps/place/Little+PP+Hometel+%26+Blue+Sheep+Cafe/data=!4m2!3m1!1s0x305406611d7b2443:0x8b5e147003c758fe,,
Villa suaha,,https://www.google.com/maps/place/Villa+suaha/data=!4m2!3m1!1s0x2dd239bf51e60997:0x1001659f99a1407d,,
BBHouse Khlongtan,,https://www.google.com/maps/place/BBHouse+Khlongtan/data=!4m2!3m1!1s0x30e29e3712399b67:0xe50ceea4de2d73b4,,
Furama Silom,,https://www.google.com/maps/place/Furama+Silom/data=!4m2!3m1!1s0x30e29f2d53eebdc1:0xe0a544b9c50a103b,,
Nai Han Beach,,https://www.google.com/maps/place/Nai+Han+Beach/data=!4m2!3m1!1s0x3050261c4be63ad5:0x2cce5da668fb7cc9,,
Freedom Beach,,https://www.google.com/maps/place/Freedom+Beach/data=!4m2!3m1!1s0x3050254a6c1e5305:0x113765570902ec76,,
Mai Khao Beach - Airport viewpoint,,https://www.google.com/maps/place/Mai+Khao+Beach+-+Airport+viewpoint/data=!4m2!3m1!1s0x30504623cab2d759:0xe812342a5e0ab895,,
Ko Surin Nuea,,https://www.google.com/maps/place/Ko+Surin+Nuea/data=!4m2!3m1!1s0x30575de16d811b97:0xacc677f4edc4059e,,
Chiang Mai,,https://www.google.com/maps/place/Chiang+Mai/data=!4m2!3m1!1s0x30da3a7e90bb6f5d:0x98d46270a59b4367,,
Pai,,https://www.google.com/maps/place/Pai/data=!4m2!3m1!1s0x30da81b0e91eaceb:0x40079e40c8939ddf,,
Tree House Hideaway บ้านต้นไม้แม่แมะ,,https://www.google.com/maps/place/Tree+House+Hideaway+%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B9%81%E0%B8%A1%E0%B8%B0/data=!4m2!3m1!1s0x30da0a59375844e7:0xff8d1fc5d8c5be85,,
Buatong Waterfall,,https://www.google.com/maps/place/Buatong+Waterfall/data=!4m2!3m1!1s0x30da1b006e65e405:0xdf8e5ac15cb648c0,,
Elephant POOPOOPAPER Park Chiang Mai,,https://www.google.com/maps/place/Elephant+POOPOOPAPER+Park+Chiang+Mai/data=!4m2!3m1!1s0x30da3dd3365f5ead:0x3b24390dc8dd3ecb,,
Nam Lod Cave,,https://www.google.com/maps/place/Nam+Lod+Cave/data=!4m2!3m1!1s0x30d06fd91af19d1d:0x6a19224c76e57e7a,,
Wat Sam Phran,,https://www.google.com/maps/place/Wat+Sam+Phran/data=!4m2!3m1!1s0x30e2ebb93e0a861b:0x853781baa02919a2,,
Phra Nakhon Si Ayutthaya,,https://www.google.com/maps/place/Phra+Nakhon+Si+Ayutthaya/data=!4m2!3m1!1s0x30e2736f5bfd8f7f:0x1019237450c4860,,
Khao Sok,,https://www.google.com/maps/place/Khao+Sok/data=!4m2!3m1!1s0x3050d796632c6ab1:0xf78cfe460d553128,,
Amphawa Floating Market,,https://www.google.com/maps/place/Amphawa+Floating+Market/data=!4m2!3m1!1s0x30e2d5bb67fc7c5b:0xb3bd665639e1ee07,,
Maeklong Railway Market,,https://www.google.com/maps/place/Maeklong+Railway+Market/data=!4m2!3m1!1s0x30e2d38e975b4ad7:0x3bd8d8510345a1ee,,
Rajadamnern Muay Thai Stadium,,https://www.google.com/maps/place/Rajadamnern+Muay+Thai+Stadium/data=!4m2!3m1!1s0x30e299404fda2a13:0x332c939228713e13,,
Khao San Road,,https://www.google.com/maps/place/Khao+San+Road/data=!4m2!3m1!1s0x30e2996d4ac8f54b:0xa7b35dcfd88ad769,,
Khao Yai National Park,,https://www.google.com/maps/place/Khao+Yai+National+Park/data=!4m2!3m1!1s0x311c2a495f2143d7:0x14b500fc4f22bfc,,
Mae Haad Beach,,https://www.google.com/maps/place/Mae+Haad+Beach/data=!4m2!3m1!1s0x305501fd3fa45143:0x26eda11ff06f8fda,,
Malibu Beach,,https://www.google.com/maps/place/Malibu+Beach/data=!4m2!3m1!1s0x3055022fb58c7933:0xeae7d17dab7349d8,,
BLACK SLOW BAR Coffee and bistro,,https://www.google.com/maps/place/BLACK+SLOW+BAR+Coffee+and+bistro/data=!4m2!3m1!1s0x3054fd424f9a5857:0xe4bf42bdf75b3f57,,
Sand & Tan,,https://www.google.com/maps/place/Sand+%26+Tan/data=!4m2!3m1!1s0x3054fd6521b7ca23:0x594651c6ecfb7cbf,,
Raga coffee and homemade bakery,,https://www.google.com/maps/place/Raga+coffee+and+homemade+bakery/data=!4m2!3m1!1s0x30502fcfcb9f9f81:0x3cd1ea9af1b02620,,
Secret Beach,,https://www.google.com/maps/place/Secret+Beach/data=!4m2!3m1!1s0x305501c41548cec1:0x62dd081c03f4b7a8,,
Scooter hire,,https://www.google.com/maps/place/Scooter+hire/data=!4m2!3m1!1s0x3054fd794d9ed8c7:0xfcefed9a9bca223d,,
Eat.Co,,https://www.google.com/maps/place/Eat.Co/data=!4m2!3m1!1s0x305501df0aced7f9:0x5a549716c45326f2,,
Salad Beach,,https://www.google.com/maps/place/Salad+Beach/data=!4m2!3m1!1s0x30550196562c3f53:0x503b2276bad1a55a,,
Nira's Home Bakery,,https://www.google.com/maps/place/Nira's+Home+Bakery/data=!4m2!3m1!1s0x3054fe80a5b36865:0xd4db5a9a313a078d,,
Carp Café,,https://www.google.com/maps/place/Carp+Caf%C3%A9/data=!4m2!3m1!1s0x30da31d9fbcf55e1:0x15e5f202c3426e71,,
Dantewada Land of Angels Waterfall Park,,https://www.google.com/maps/place/Dantewada+Land+of+Angels+Waterfall+Park/data=!4m2!3m1!1s0x30da116f82befd11:0x4525a6a260d70204,,
Chom Cafe and Restaurant,,https://www.google.com/maps/place/Chom+Cafe+and+Restaurant/data=!4m2!3m1!1s0x30da30c2b9c53dc5:0x1c4af489a66c8d9b,,
Lalitta Café,,https://www.google.com/maps/place/Lalitta+Caf%C3%A9/data=!4m2!3m1!1s0x30d70541a2d4d3b1:0xff4229648a60a85d,,
Pha Chor Tourist Center,,https://www.google.com/maps/place/Pha+Chor+Tourist+Center/data=!4m2!3m1!1s0x30dbb3fb0effaff1:0x9f052e7043f65d1a,,
7 Senses Gelato,,https://www.google.com/maps/place/7+Senses+Gelato/data=!4m2!3m1!1s0x30da3b40cade853f:0x7b062b27cb447467,,
Bumrungrad International Hospital,,https://www.google.com/maps/place/Bumrungrad+International+Hospital/data=!4m2!3m1!1s0x30e29ee677aa7f5b:0xf8a8de865c2e8a77,,
THINK SPACE B2S,,https://www.google.com/maps/place/THINK+SPACE+B2S/data=!4m2!3m1!1s0x30e29d8bf4e8769d:0xdfdadc08a435d57,,
B2S Think Space - Central Chidlom (5 Fl.),,https://www.google.com/maps/place/B2S+Think+Space+-+Central+Chidlom+(5+Fl.)/data=!4m2!3m1!1s0x30e29edb220d5299:0xf97dc0e08a39be82,,
centralwOrld,,https://www.google.com/maps/place/centralwOrld/data=!4m2!3m1!1s0x30e29ecfc2f455e1:0xc4ad0280d8906604,,
Kaif,,https://www.google.com/maps/place/Kaif/data=!4m2!3m1!1s0x3055038b316806b7:0xfe811424de0394b1,,
The Worlds End,,https://www.google.com/maps/place/The+Worlds+End/data=!4m2!3m1!1s0x3055023a656e6499:0x50a5262203dbc0a,,
Pura vida cafe,,https://www.google.com/maps/place/Pura+vida+cafe/data=!4m2!3m1!1s0x305501c035abe311:0xb09c375805375fc,,
What's cup!,,https://www.google.com/maps/place/What's+cup!/data=!4m2!3m1!1s0x305501935e5880fd:0x8eb20cdba1b44bd9,,
Bubba's Coffee Baan Tai,,https://www.google.com/maps/place/Bubba's+Coffee+Baan+Tai/data=!4m2!3m1!1s0x3054fdbee606b0a5:0x15c5621c2f5df162,,
Hundred Islands Coffee Bar,,https://www.google.com/maps/place/Hundred+Islands+Coffee+Bar/data=!4m2!3m1!1s0x3054fc330be6c15f:0x40da0dbe40ceab9a,,
Karma Kafe,,https://www.google.com/maps/place/Karma+Kafe/data=!4m2!3m1!1s0x305501df7a4f32c1:0xd52b732c8777e38,,
Luka Cafe,,https://www.google.com/maps/place/Luka+Cafe/data=!4m2!3m1!1s0x30e298ce76687585:0xd25dd21a100ebbfa,,
RISE COFFEE - Flagship Store,,https://www.google.com/maps/place/RISE+COFFEE+-+Flagship+Store/data=!4m2!3m1!1s0x30e29f4f42b19d1b:0x2880f77efa590434,,
(Not Just) Another Cup,,https://www.google.com/maps/place/(Not+Just)+Another+Cup/data=!4m2!3m1!1s0x30e298cd136833df:0x89cb4805ec8e6ea7,,
Ba hao 八號,,https://www.google.com/maps/place/Ba+hao+%E5%85%AB%E8%99%9F/data=!4m2!3m1!1s0x30e29926bd463245:0x176aee9cf55bca6e,,
Somboon Seafood,,https://www.google.com/maps/place/Somboon+Seafood/data=!4m2!3m1!1s0x30e2992e0a3fff7b:0xa15ebd27365300aa,,
Cabbages & Condoms,,https://www.google.com/maps/place/Cabbages+%26+Condoms/data=!4m2!3m1!1s0x30e29f8dc42fa115:0xb424205cb63898b8,,
