Title,Note,URL,Tags,Comment
,,,,
Louvre Abu Dhabi,,https://www.google.com/maps/place/Louvre+Abu+Dhabi/data=!4m2!3m1!1s0x3e5e6724630067f1:0x42191ffb02753df9,,
Barasti Beach,,https://www.google.com/maps/place/Barasti+Beach/data=!4m2!3m1!1s0x3e5f43496ad9c645:0xd23c7b8041a48451,,
Al Shindagha Museum,,https://www.google.com/maps/place/Al+Shindagha+Museum/data=!4m2!3m1!1s0x3e5f4382cb4fc3bf:0x4878787ac33f48ab,,
"Al Ansari Exchange, Al Barsha Main Branch",,"https://www.google.com/maps/place/Al+Ansari+Exchange,+Al+Barsha+Main+Branch/data=!4m2!3m1!1s0x3e5f6bc07705c227:0x7371503a90952c20",,
Jumeirah Mosque,,https://www.google.com/maps/place/Jumeirah+Mosque/data=!4m2!3m1!1s0x3e5f425496f47ed1:0xd880ed54682d125a,,
Qasr Al Hosn,,https://www.google.com/maps/place/Qasr+Al+Hosn/data=!4m2!3m1!1s0x3e5e6671079e3853:0x6142fa1df9085a2f,,
Al Fahidi Historical Neighbourhood,,https://www.google.com/maps/place/Al+Fahidi+Historical+Neighbourhood/data=!4m2!3m1!1s0x3e5f43375d9945a5:0x54a87e0ba72657fe,,
Manarat Al Saadiyat,,https://www.google.com/maps/place/Manarat+Al+Saadiyat/data=!4m2!3m1!1s0x3e5e674216942777:0x9a2aa665d9cb7e67,,
Dubai Gold Souk,,https://www.google.com/maps/place/Dubai+Gold+Souk/data=!4m2!3m1!1s0x3e5f43438edb60cd:0xbc047ee4e16b356d,,
Pierchic,,https://www.google.com/maps/place/Pierchic/data=!4m2!3m1!1s0x3e5f6a55313a7397:0x2d301592977a0488,,
Abu Dhabi Desert Safari,,https://www.google.com/maps/place/Abu+Dhabi+Desert+Safari/data=!4m2!3m1!1s0x3e5e6621eaaaaaab:0x1d4e2d6aed46e738,,
Princess Tower,,https://www.google.com/maps/place/Princess+Tower/data=!4m2!3m1!1s0x3e5f6b5046b7688f:0xf74b29d4eb462f8f,,
Sheikh Zayed Grand Mosque,,https://www.google.com/maps/place/Sheikh+Zayed+Grand+Mosque/data=!4m2!3m1!1s0x3e5e4273e8dafe49:0x248fbbcbefe2afc7,,
Masdar City 10MW Solar Photovoltaic Farm,,https://www.google.com/maps/place/Masdar+City+10MW+Solar+Photovoltaic+Farm/data=!4m2!3m1!1s0x3e5e46021103b4f3:0xa4370c7b0ce21802,,
"Lock, Stock & Barrel JBR",,"https://www.google.com/maps/place/Lock,+Stock+%26+Barrel+JBR/data=!4m2!3m1!1s0x3e5f14ab0b699ceb:0x11a82c4be5d190e",,
Dubai Design District,,https://www.google.com/maps/place/Dubai+Design+District/data=!4m2!3m1!1s0x3e5f68127b3134af:0x6f1a1389214ddbe5,,
Dubai Spice Souk,,https://www.google.com/maps/place/Dubai+Spice+Souk/data=!4m2!3m1!1s0x3e5f43412e9c1bf9:0x3668783743f4a66f,,
Ushuaïa Dubai Harbour Experience,,https://www.google.com/maps/place/Ushua%C3%AFa+Dubai+Harbour+Experience/data=!4m2!3m1!1s0x3e5f428479eaa713:0xbac814e00fbb348,,
Jumeirah Beach Residence,,https://www.google.com/maps/place/Jumeirah+Beach+Residence/data=!4m2!3m1!1s0x3e5f14aa5ff87ec7:0x93485470e77f2b7a,,
