Title,Note,URL,Tags,Comment
,,,,
SAZIHOME TAY HO HANOI,,https://www.google.com/maps/place/SAZIHOME+TAY+HO+HANOI/data=!4m2!3m1!1s0x3135ab59c01f9de7:0x86f7e18c825d2dd0,,
Phong Nha Amanda Homestay,,https://www.google.com/maps/place/Phong+Nha+Amanda+Homestay/data=!4m2!3m1!1s0x3138bb769b0965f9:0x2ed11041ed9ec0df,,
Lương Sơn Homestay Cao Bằng,,https://www.google.com/maps/place/L%C6%B0%C6%A1ng+S%C6%A1n+Homestay+Cao+B%E1%BA%B1ng/data=!4m2!3m1!1s0x36ca67513332044b:0x2e11f5b466370810,,
Tam Coc Lakeside Homestay,,https://www.google.com/maps/place/Tam+Coc+Lakeside+Homestay/data=!4m2!3m1!1s0x31367b268aa55b81:0xeb3b35eaf8d2788b,,
Enosta Space - Coworking & Coliving Space - An Nhon 3,,https://www.google.com/maps/place/Enosta+Space+-+Coworking+%26+Coliving+Space+-+An+Nhon+3/data=!4m2!3m1!1s0x314219fc541032b1:0x610f7367caf4c58a,,
Hub Hoi An Coworking,,https://www.google.com/maps/place/Hub+Hoi+An+Coworking/data=!4m2!3m1!1s0x31420dc360051239:0xad6d18765149f9aa,,
May Home Apartment - Da Nang,,https://www.google.com/maps/place/May+Home+Apartment+-+Da+Nang/data=!4m2!3m1!1s0x3142176ee91c552b:0x801f8cd8fc476186,,
Thành Đạt Hotel,,https://www.google.com/maps/place/Th%C3%A0nh+%C4%90%E1%BA%A1t+Hotel/data=!4m2!3m1!1s0x3139d46fcf5b2baf:0xe7542ec47bdfc977,,
Hoi An Tomorrow Village Boutique Villa,,https://www.google.com/maps/place/Hoi+An+Tomorrow+Village+Boutique+Villa/data=!4m2!3m1!1s0x31420d7b45595ccb:0x4aa5f7507b9022f4,,
Bom cafe,,https://www.google.com/maps/place/Bom+cafe/data=!4m2!3m1!1s0x3141a120fc2af11b:0xdf20410fe007b533,,
Lucky Sun Hotel,,https://www.google.com/maps/place/Lucky+Sun+Hotel/data=!4m2!3m1!1s0x317067629693f6bb:0xa72c2fe0e622031,,
Lotus Villa Đà Lạt,,https://www.google.com/maps/place/Lotus+Villa+%C4%90%C3%A0+L%E1%BA%A1t/data=!4m2!3m1!1s0x3171137d45e2a567:0x925195a98265749f,,
Louis Hotel,,https://www.google.com/maps/place/Louis+Hotel/data=!4m2!3m1!1s0x31752f162b7b7097:0xaeb70f60cb9368df,,
Hạ Long Bay,,https://www.google.com/maps/place/H%E1%BA%A1+Long+Bay/data=!4m2!3m1!1s0x314a5796518cee87:0x55c6b0bcc85478db,,
The Note Coffee,,https://www.google.com/maps/place/The+Note+Coffee/data=!4m2!3m1!1s0x3135abbfc294b397:0xd53005101f42b4af,,
Imperial Citadel of Thang Long,,https://www.google.com/maps/place/Imperial+Citadel+of+Thang+Long/data=!4m2!3m1!1s0x3135aba3381d7c49:0xb521a7d98f582937,,
Yen stream,,https://www.google.com/maps/place/Yen+stream/data=!4m2!3m1!1s0x3134332f5eef1f45:0xfc1897f4769dba11,,
Đ. Nghi Tàm,,https://www.google.com/maps/place/%C4%90.+Nghi+T%C3%A0m/data=!4m2!3m1!1s0x3135abaccd507b31:0x99f413bc9d4fbc98,,
Hoa Lư,,https://www.google.com/maps/place/Hoa+L%C6%B0/data=!4m2!3m1!1s0x313670ab6f10c8c1:0x888a79884edbe5cc,,
Tà Chải,,https://www.google.com/maps/place/T%C3%A0+Ch%E1%BA%A3i/data=!4m2!3m1!1s0x36cc5dfb67710137:0xef2b1fcb1f0a0911,,
Ban Gioc Waterfalls,,https://www.google.com/maps/place/Ban+Gioc+Waterfalls/data=!4m2!3m1!1s0x36ca643ca72ac71b:0xd00c006bac4a0f37,,
Thung lũng hoa hồ Tây,,https://www.google.com/maps/place/Thung+lu%CC%83ng+hoa+h%C3%B4%CC%80+T%C3%A2y/data=!4m2!3m1!1s0x3135aaf187a14047:0x668363dae64c6eda,,
