Title,Note,URL,Tags,Comment
,,,,
Victoria St,,https://www.google.com/maps/place/Victoria+St/data=!4m2!3m1!1s0x4887c79ac1b89f3d:0x7d7a2fe9fb8d7273,,
Royal Mile,,https://www.google.com/maps/place/Royal+Mile/data=!4m2!3m1!1s0x4887c785f515e389:0x364ad16cf392cb1e,,
Grassmarket,,https://www.google.com/maps/place/Grassmarket/data=!4m2!3m1!1s0x4887c79a4cd7a555:0xabcd5d648b2823e2,,
Dean Village,,https://www.google.com/maps/place/Dean+Village/data=!4m2!3m1!1s0x4887c788975e10a7:0x2b2679fe04214fce,,
St Giles' Cathedral,,https://www.google.com/maps/place/St+Giles'+Cathedral/data=!4m2!3m1!1s0x4887c7854ff703fd:0xaa24e716571e2ff2,,
Palace of Holyroodhouse,,https://www.google.com/maps/place/Palace+of+Holyroodhouse/data=!4m2!3m1!1s0x4887b87717a3a003:0x27abd4db1967f9d6,,
Ross Fountain,,https://www.google.com/maps/place/Ross+Fountain/data=!4m2!3m1!1s0x4887c797808e682b:0x676485ba2fc00001,,
Arthur's Seat,,https://www.google.com/maps/place/Arthur's+Seat/data=!4m2!3m1!1s0x4887b884112f22b9:0x218a466c41934cf0,,
Edinburgh Castle,,https://www.google.com/maps/place/Edinburgh+Castle/data=!4m2!3m1!1s0x4887c79a2099c0f7:0x469a1eebe54c0a58,,
Calton Hill,,https://www.google.com/maps/place/Calton+Hill/data=!4m2!3m1!1s0x4887c7896e46c799:0x9181b664f75766dd,,
St Bernard's Well,,https://www.google.com/maps/place/St+Bernard's+Well/data=!4m2!3m1!1s0x4887c7bc41e93df5:0x3cb962da4d09ca39,,
Fort Augustus,,https://www.google.com/maps/place/Fort+Augustus/data=!4m2!3m1!1s0x488f210df41b3beb:0x12170f9721af3cd0,,
Rannoch Moor Viewpoint,,https://www.google.com/maps/place/Rannoch+Moor+Viewpoint/data=!4m2!3m1!1s0x4889275e6c57c375:0x4e2727d1e0ed9b5d,,
Fort William,,https://www.google.com/maps/place/Fort+William/data=!4m2!3m1!1s0x48893323371c031b:0xcda03ee308544821,,
Ben Nevis,,https://www.google.com/maps/place/Ben+Nevis/data=!4m2!3m1!1s0x488932978af1e5f3:0x6e948b77ffad9a71,,
Glencoe,,https://www.google.com/maps/place/Glencoe/data=!4m2!3m1!1s0x488930ea7b29b375:0xd1dce0f3c21732e7,,
Armchair Books,,https://www.google.com/maps/place/Armchair+Books/data=!4m2!3m1!1s0x4887c7996e9f56e7:0xb02875199c8d07b2,,
Edinburgh Waverley,,https://www.google.com/maps/place/Edinburgh+Waverley/data=!4m2!3m1!1s0x4887c78fbc266833:0x9947329ba2a64fe4,,
Co-op Food - Edinburgh - Frederick Street,,https://www.google.com/maps/place/Co-op+Food+-+Edinburgh+-+Frederick+Street/data=!4m2!3m1!1s0x4887c79728a854f5:0xff8201ae9a953945,,
9-10 St Andrew Sq,,https://www.google.com/maps/place/9-10+St+Andrew+Sq/data=!4m2!3m1!1s0x4887c791b65f869f:0xf68636b8fd22b043,,
Bertie's Proper Fish & Chips,,https://www.google.com/maps/place/Bertie's+Proper+Fish+%26+Chips/data=!4m2!3m1!1s0x4887c7d4bfdce495:0x83ee8e95c4ddaf55,,
Oink Victoria Street,,https://www.google.com/maps/place/Oink+Victoria+Street/data=!4m2!3m1!1s0x4887c79af26d55b9:0x73de4541632ac44f,,
Makars Mash Bar,,https://www.google.com/maps/place/Makars+Mash+Bar/data=!4m2!3m1!1s0x4887c79a9f5a91c9:0xb3e26ede3bf354,,
The Piemaker,,https://www.google.com/maps/place/The+Piemaker/data=!4m2!3m1!1s0x4887c785acc77acd:0x326cfe59219bd83c,,
The Milkman,,https://www.google.com/maps/place/The+Milkman/data=!4m2!3m1!1s0x4887c78ff097b1df:0x2e3b67988666ce3f,,
Sainsbury's Petrol Station,,https://www.google.com/maps/place/Sainsbury's+Petrol+Station/data=!4m2!3m1!1s0x4887c656099b9f3f:0x5cc0fa5c07aa4312,,
The Wall Coffee & Design House,,https://www.google.com/maps/place/The+Wall+Coffee+%26+Design+House/data=!4m2!3m1!1s0x4887c78f8929364b:0x5af053e7fdef3d59,,
